t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
20.005,0,0,shard-0-0,1,1.000000,1.000000,1.000000,10505,8597,1.0,1.0,16384,2.052,0.275
20.005,0,1,shard-0-1,1,1.000000,1.000000,1.000000,10505,8597,1.0,1.0,16384,2.052,0.359
20.005,0,2,shard-0-2,1,1.000000,1.000000,1.000000,10505,8597,1.0,1.0,16384,2.052,0.448
20.005,1,0,shard-1-0,1,1.000000,1.000000,1.000000,9495,7787,1.0,1.0,16384,2.052,0.564
20.005,1,1,shard-1-1,1,1.000000,1.000000,1.000000,9495,7787,1.0,1.0,16384,2.052,0.645
20.005,1,2,shard-1-2,1,1.000000,1.000000,1.000000,9495,7787,1.0,1.0,16384,2.052,0.737
28.814,0,0,shard-0-0,1,1.000000,1.000000,1.000000,10505,10505,1.0,1.0,20000,0.888,0.39
28.814,0,1,shard-0-1,1,1.000000,1.000000,1.000000,10505,10505,1.0,1.0,20000,0.888,0.49
28.814,0,2,shard-0-2,1,1.000000,1.000000,1.000000,10505,10505,1.0,1.0,20000,0.888,0.579
28.814,1,0,shard-1-0,1,1.000000,1.000000,1.000000,9495,9495,1.0,1.0,20000,0.888,0.69
28.814,1,1,shard-1-1,1,1.000000,1.000000,1.000000,9495,9495,1.0,1.0,20000,0.888,0.767
28.814,1,2,shard-1-2,1,1.000000,1.000000,1.000000,9495,9495,1.0,1.0,20000,0.888,0.845
36.573,0,0,shard-0-0,1,1.000000,1.000000,1.000000,10505,10505,1.0,1.0,20000,0.518,0.096
36.573,0,1,shard-0-1,1,1.000000,1.000000,1.000000,10505,10505,1.0,1.0,20000,0.518,0.165
36.573,0,2,shard-0-2,1,1.000000,1.000000,1.000000,10505,10505,1.0,1.0,20000,0.518,0.237
36.573,1,0,shard-1-0,1,1.000000,1.000000,1.000000,9495,9495,1.0,1.0,20000,0.518,0.325
36.573,1,1,shard-1-1,1,1.000000,1.000000,1.000000,9495,9495,1.0,1.0,20000,0.518,0.425
36.573,1,2,shard-1-2,1,1.000000,1.000000,1.000000,9495,9495,1.0,1.0,20000,0.518,0.497
43.614,0,0,shard-0-0,1,1.000000,1.000000,1.000000,10505,10505,1.0,1.0,20000,1.379,0.092
43.614,0,1,shard-0-1,1,1.000000,1.000000,1.000000,10505,10505,1.0,1.0,20000,1.379,0.28
