t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
15.013,0,0,shard-0-0,1,0.967000,0.998000,1.000000,2471,1216,0.996,0.997,2288,0.825,0.13
15.013,0,1,shard-0-1,1,0.962000,0.997000,1.000000,2468,1216,0.996,0.9945,2288,0.825,0.178
15.013,0,2,shard-0-2,1,0.967000,0.998000,1.000000,2462,1216,0.996,0.9965,2288,0.825,0.198
15.013,1,0,shard-1-0,1,0.961000,0.987000,1.000000,2226,1072,0.997333,0.998,2288,0.825,0.231
15.013,1,1,shard-1-1,1,0.961000,0.987000,1.000000,2226,1072,0.997333,0.998,2288,0.825,0.265
15.013,1,2,shard-1-2,1,0.964000,0.987000,1.000000,2226,1072,0.997333,0.996,2288,0.825,0.282
22.14,0,0,shard-0-0,1,0.999000,1.000000,1.000000,4444,3566,0.988667,0.983,6848,0.559,0.074
22.14,0,1,shard-0-1,1,0.982000,1.000000,1.000000,4449,3566,0.988667,0.9915,6848,0.559,0.123
22.14,0,2,shard-0-2,1,0.982000,1.000000,1.000000,4449,3566,0.988667,0.9915,6848,0.559,0.174
22.14,1,0,shard-1-0,1,0.995000,1.000000,1.000000,4095,3282,1.0,1.0,6848,0.559,0.232
22.14,1,1,shard-1-1,1,0.995000,1.000000,1.000000,4095,3282,1.0,1.0,6848,0.559,0.283
22.14,1,2,shard-1-2,1,0.995000,1.000000,1.000000,4095,3282,1.0,1.0,6848,0.559,0.368
29.087,0,0,shard-0-0,1,0.992000,1.000000,1.000000,5835,5158,0.994,0.9955,9888,0.482,0.156
29.087,0,1,shard-0-1,1,0.992000,1.000000,1.000000,5851,5158,0.994,0.9955,9888,0.482,0.288
29.087,0,2,shard-0-2,1,0.983000,1.000000,1.000000,5844,5158,0.994,0.991,9888,0.482,0.424
29.087,1,0,shard-1-0,1,0.995000,1.000000,1.000000,5337,4730,1.0,1.0,9888,0.482,0.555
29.087,1,1,shard-1-1,1,0.995000,1.000000,1.000000,5337,4730,1.0,1.0,9888,0.482,0.654
29.087,1,2,shard-1-2,1,0.995000,1.000000,1.000000,5349,4730,1.0,1.0,9888,0.482,0.708
36.301,0,0,shard-0-0,1,1.000000,1.000000,1.000000,7695,6786,1.0,1.0,12976,0.616,0.131
36.301,0,1,shard-0-1,1,1.000000,1.000000,1.000000,7695,6786,1.0,1.0,12976,0.616,0.246
36.301,0,2,shard-0-2,1,1.000000,1.000000,1.000000,7695,6786,1.0,1.0,12976,0.616,0.329
36.301,1,0,shard-1-0,1,0.987000,1.000000,1.000000,7009,6190,0.997333,0.996,12976,0.616,0.417
36.301,1,1,shard-1-1,1,0.991000,1.000000,1.000000,7020,6190,0.997333,0.998,12976,0.616,0.496
36.301,1,2,shard-1-2,1,0.991000,1.000000,1.000000,7020,6190,0.997333,0.998,12976,0.616,0.667
43.615,0,0,shard-0-0,0,,,,,8006,1.0,,15280,,
43.615,0,1,shard-0-1,1,0.999000,1.000000,1.000000,8438,8006,1.0,,15280,0.752,0.261
43.615,0,2,shard-0-2,1,0.999000,1.000000,1.000000,8449,8006,1.0,,15280,0.752,0.51
43.615,1,0,shard-1-0,0,,,,,7274,0.998,,15280,,
43.615,1,1,shard-1-1,1,0.999000,1.000000,1.000000,7683,7274,0.998,,15280,0.752,0.612
43.615,1,2,shard-1-2,1,0.997000,1.000000,1.000000,7689,7274,0.998,,15280,0.752,0.7
51.083,0,0,shard-0-0,0,,,,,8621,1.0,,16432,,
51.083,0,1,shard-0-1,1,0.996000,1.000000,1.000000,8630,8621,1.0,,16432,2.078,0.092
51.083,0,2,shard-0-2,1,0.996000,1.000000,1.000000,8630,8621,1.0,,16432,2.078,0.183
51.083,1,0,shard-1-0,0,,,,,7811,0.997,,16432,,
51.083,1,1,shard-1-1,1,0.999000,1.000000,1.000000,7818,7811,0.997,,16432,2.078,0.282
51.083,1,2,shard-1-2,1,0.996000,1.000000,1.000000,7818,7811,0.997,,16432,2.078,0.489
59.664,0,0,shard-0-0,1,0.988000,1.000000,1.000000,10194,9320,1.0,1.0,17744,1.233,0.147
59.664,0,1,shard-0-1,1,0.988000,1.000000,1.000000,10194,9320,1.0,1.0,17744,1.233,0.252
59.664,0,2,shard-0-2,1,0.988000,1.000000,1.000000,10194,9320,1.0,1.0,17744,1.233,0.478
59.664,1,0,shard-1-0,1,0.999000,0.890000,0.902303,7608,8424,0.863333,0.7975,17744,1.233,0.986
59.664,1,1,shard-1-1,1,0.993000,1.000000,1.000000,9201,8424,0.863333,0.8975,17744,1.233,1.089
59.664,1,2,shard-1-2,1,0.988000,1.000000,1.000000,9210,8424,0.863333,0.895,17744,1.233,1.191
68.111,0,0,shard-0-0,1,0.995000,1.000000,1.000000,10532,10374,1.0,,19776,2.047,0.126
68.111,0,1,shard-0-1,0,,,,,10374,1.0,,19776,,
68.111,0,2,shard-0-2,1,0.995000,1.000000,1.000000,10515,10374,1.0,,19776,2.047,0.25
68.111,1,0,shard-1-0,1,0.995000,1.000000,1.000000,9495,9402,0.999,,19776,2.047,0.472
68.111,1,1,shard-1-1,0,,,,,9402,0.999,,19776,,
68.111,1,2,shard-1-2,1,0.996000,1.000000,1.000000,9495,9402,0.999,,19776,2.047,0.762
76.98,0,0,shard-0-0,1,0.987000,1.000000,1.000000,10811,10592,0.999,,20176,1.415,0.528
76.98,0,1,shard-0-1,0,,,,,10592,0.999,,20176,,
