t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
12.001,0,0,shard-0-0,1,0.979000,1.000000,1.000000,15307,11386,0.994667,0.994,21696,0.43,0.158
12.001,0,1,shard-0-1,1,0.983000,1.000000,1.000000,15307,11386,0.994667,0.996,21696,0.43,0.266
12.001,0,2,shard-0-2,1,0.987000,1.000000,1.000000,15307,11386,0.994667,0.994,21696,0.43,0.39
12.001,1,0,shard-1-0,1,0.986000,1.000000,1.000000,13877,10310,0.995333,0.9935,21696,0.43,0.516
12.001,1,1,shard-1-1,1,0.990000,0.999000,1.000000,13877,10310,0.995333,0.996,21696,0.43,0.617
12.001,1,2,shard-1-2,1,0.991000,1.000000,1.000000,13877,10310,0.995333,0.9965,21696,0.43,0.738
19.196,0,0,shard-0-0,1,0.997000,1.000000,1.000000,23565,19801,1.0,1.0,37728,0.798,0.227
19.196,0,1,shard-0-1,1,0.997000,1.000000,1.000000,23565,19801,1.0,1.0,37728,0.798,0.426
19.196,0,2,shard-0-2,1,0.997000,1.000000,1.000000,23565,19801,1.0,1.0,37728,0.798,0.63
19.196,1,0,shard-1-0,1,0.995000,1.000000,1.000000,21285,17927,0.998667,0.999,37728,0.798,0.821
19.196,1,1,shard-1-1,1,0.997000,1.000000,1.000000,21267,17927,0.998667,0.998,37728,0.798,0.992
19.196,1,2,shard-1-2,1,0.995000,1.000000,1.000000,21285,17927,0.998667,0.999,37728,0.798,1.125
27.143,0,0,shard-0-0,1,0.991000,1.000000,1.000000,33884,29136,0.998667,0.9985,55488,0.674,0.331
27.143,0,1,shard-0-1,1,0.989000,1.000000,1.000000,33934,29136,0.998667,0.9985,55488,0.674,0.586
27.143,0,2,shard-0-2,1,0.990000,1.000000,1.000000,33934,29136,0.998667,0.999,55488,0.674,0.829
27.143,1,0,shard-1-0,1,0.994000,1.000000,1.000000,30706,26352,1.0,1.0,55488,0.674,1.145
27.143,1,1,shard-1-1,1,0.994000,1.000000,1.000000,30706,26352,1.0,1.0,55488,0.674,1.415
27.143,1,2,shard-1-2,1,0.994000,1.000000,1.000000,30706,26352,1.0,1.0,55488,0.674,1.666
35.529,0,0,shard-0-0,0,,,,,39378,0.997,,74944,,
35.529,0,1,shard-0-1,1,0.993000,1.000000,1.000000,41245,39378,0.997,,74944,1.93,0.445
35.529,0,2,shard-0-2,1,0.996000,1.000000,1.000000,41167,39378,0.997,,74944,1.93,0.769
35.529,1,0,shard-1-0,0,,,,,35566,0.998,,74944,,
35.529,1,1,shard-1-1,1,0.997000,1.000000,1.000000,37155,35566,0.998,,74944,1.93,1.104
35.529,1,2,shard-1-2,1,0.997000,1.000000,1.000000,37137,35566,0.998,,74944,1.93,1.396
44.919,0,0,shard-0-0,0,,,,,41347,0.999,,78656,,
44.919,0,1,shard-0-1,1,0.995000,0.999000,1.000000,41494,41347,0.999,,78656,1.647,0.404
44.919,0,2,shard-0-2,1,0.996000,1.000000,1.000000,41508,41347,0.999,,78656,1.647,0.76
44.919,1,0,shard-1-0,0,,,,,37309,0.999,,78656,,
44.919,1,1,shard-1-1,1,0.998000,1.000000,1.000000,37422,37309,0.999,,78656,1.647,1.15
44.919,1,2,shard-1-2,1,0.997000,1.000000,1.000000,37435,37309,0.999,,78656,1.647,1.507
54.13,0,0,shard-0-0,1,0.997000,0.982000,0.977402,41298,42217,0.972,,80256,2.024,0.431
54.13,0,1,shard-0-1,1,0.996000,0.999000,1.000000,42759,42217,0.972,,80256,2.024,0.766
54.13,0,2,shard-0-2,0,,,,,42217,0.972,,80256,,
54.13,1,0,shard-1-0,1,0.998000,0.987000,0.981650,37370,38039,0.973,,80256,2.024,1.134
54.13,1,1,shard-1-1,1,0.995000,1.000000,1.000000,38521,38039,0.973,,80256,2.024,1.432
54.13,1,2,shard-1-2,0,,,,,38039,0.973,,80256,,
63.653,0,0,shard-0-0,1,0.992000,1.000000,1.000000,43247,42754,0.997,,81280,1.055,0.519
63.653,0,1,shard-0-1,1,0.989000,0.997000,1.000000,43226,42754,0.997,,81280,1.055,0.849
63.653,0,2,shard-0-2,0,,,,,42754,0.997,,81280,,
63.653,1,0,shard-1-0,1,0.998000,0.972000,0.969242,37370,38526,0.963,,81280,1.055,1.218
63.653,1,1,shard-1-1,1,0.997000,1.000000,1.000000,38900,38526,0.963,,81280,1.055,1.567
63.653,1,2,shard-1-2,0,,,,,38526,0.963,,81280,,
72.336,0,0,shard-0-0,0,,,,,44498,0.944,,84544,,
72.336,0,1,shard-0-1,1,0.993000,0.997000,1.000000,44866,44498,0.944,,84544,1.635,0.488
72.336,0,2,shard-0-2,1,0.997000,0.951000,0.959661,42738,44498,0.944,,84544,1.635,0.837
72.336,1,0,shard-1-0,0,,,,,40046,0.947,,84544,,
72.336,1,1,shard-1-1,1,0.997000,1.000000,1.000000,40459,40046,0.947,,84544,1.635,1.272
72.336,1,2,shard-1-2,1,0.998000,0.959000,0.961894,38549,40046,0.947,,84544,1.635,1.589
81.627,0,0,shard-0-0,1,0.991000,1.000000,1.000000,45537,44797,0.949,0.9565,85152,2.722,0.441
81.627,0,1,shard-0-1,1,0.992000,0.997000,1.000000,45186,44797,0.949,0.96,85152,2.722,0.75
81.627,0,2,shard-0-2,1,0.992000,0.941000,0.953256,42738,44797,0.949,0.9305,85152,2.722,1.095
81.627,1,0,shard-1-0,1,0.998000,0.916000,0.925313,37370,40355,0.935333,0.9355,85152,2.722,1.488
81.627,1,1,shard-1-1,1,0.995000,0.999000,1.000000,41062,40355,0.935333,0.92,85152,2.722,1.826
