t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
12.006,0,0,shard-0-0,1,0.945000,1.000000,1.000000,3519,2688,0.992667,0.9945,5120,1.174,0.263
12.006,0,1,shard-0-1,1,0.949000,1.000000,1.000000,3534,2688,0.992667,0.992,5120,1.174,0.482
12.006,0,2,shard-0-2,1,0.939000,1.000000,1.000000,3503,2688,0.992667,0.9915,5120,1.174,0.673
12.006,1,0,shard-1-0,1,0.941000,1.000000,1.000000,3233,2432,0.99,0.985,5120,1.174,0.885
12.006,1,1,shard-1-1,1,0.956000,1.000000,1.000000,3232,2432,0.99,0.9925,5120,1.174,0.983
12.006,1,2,shard-1-2,1,0.956000,1.000000,1.000000,3232,2432,0.99,0.9925,5120,1.174,1.135
20.356,0,0,shard-0-0,1,0.989000,1.000000,1.000000,4830,4277,0.996667,0.9975,8192,1.28,0.16
20.356,0,1,shard-0-1,1,0.984000,1.000000,1.000000,4845,4277,0.996667,0.995,8192,1.28,0.306
20.356,0,2,shard-0-2,1,0.989000,1.000000,1.000000,4845,4277,0.996667,0.9975,8192,1.28,0.415
20.356,1,0,shard-1-0,1,0.982000,1.000000,1.000000,4464,3915,0.998667,0.998,8192,1.28,0.523
20.356,1,1,shard-1-1,1,0.984000,1.000000,1.000000,4466,3915,0.998667,0.999,8192,1.28,0.612
20.356,1,2,shard-1-2,1,0.984000,1.000000,1.000000,4481,3915,0.998667,0.999,8192,1.28,0.727
28.376,0,0,shard-0-0,1,0.981000,1.000000,1.000000,6429,6045,0.991333,0.9935,11520,1.994,0.865
28.376,0,1,shard-0-1,1,0.976000,1.000000,1.000000,6429,6045,0.991333,0.9905,11520,1.994,1.147
28.376,0,2,shard-0-2,1,0.988000,1.000000,1.000000,6429,6045,0.991333,0.99,11520,1.994,1.286
28.376,1,0,shard-1-0,1,0.986000,1.000000,1.000000,5827,5475,0.996667,0.997,11520,1.994,1.438
28.376,1,1,shard-1-1,1,0.985000,1.000000,1.000000,5827,5475,0.996667,0.9975,11520,1.994,1.578
28.376,1,2,shard-1-2,1,0.981000,1.000000,1.000000,5827,5475,0.996667,0.9955,11520,1.994,1.694
38.094,0,0,shard-0-0,1,0.994000,1.000000,1.000000,8581,7653,1.0,,14624,2.018,0.14
38.094,0,1,shard-0-1,0,,,,,7653,1.0,,14624,,
