t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
12.001,0,0,shard-0-0,1,0.967000,1.000000,1.000000,4986,2976,0.982667,0.985,5696,1.775,0.121
12.001,0,1,shard-0-1,1,0.941000,1.000000,1.000000,5003,2976,0.982667,0.976,5696,1.775,0.178
12.001,0,2,shard-0-2,1,0.963000,1.000000,1.000000,4986,2976,0.982667,0.987,5696,1.775,0.229
12.001,1,0,shard-1-0,1,0.977000,1.000000,1.000000,4582,2720,0.990667,0.987,5696,1.775,0.29
12.001,1,1,shard-1-1,1,0.963000,1.000000,1.000000,4597,2720,0.990667,0.992,5696,1.775,0.322
12.001,1,2,shard-1-2,1,0.965000,1.000000,1.000000,4597,2720,0.990667,0.993,5696,1.775,0.353
20.138,0,0,shard-0-0,1,0.994000,1.000000,1.000000,7122,6618,1.0,,12640,2.023,0.039
20.138,0,1,shard-0-1,0,,,,,6618,1.0,,12640,,
20.138,0,2,shard-0-2,1,0.994000,1.000000,1.000000,7122,6618,1.0,,12640,2.023,0.078
20.138,1,0,shard-1-0,1,0.991000,1.000000,1.000000,6478,6022,1.0,,12640,2.023,0.127
20.138,1,1,shard-1-1,0,,,,,6022,1.0,,12640,,
20.138,1,2,shard-1-2,1,0.991000,1.000000,1.000000,6478,6022,1.0,,12640,2.023,0.188
28.375,0,0,shard-0-0,1,0.974000,1.000000,1.000000,8951,8049,0.988667,0.9845,15360,1.884,0.165
28.375,0,1,shard-0-1,1,0.987000,1.000000,1.000000,8905,8049,0.988667,0.9915,15360,1.884,0.277
28.375,0,2,shard-0-2,1,0.990000,1.000000,1.000000,8936,8049,0.988667,0.99,15360,1.884,0.372
28.375,1,0,shard-1-0,1,0.986000,1.000000,1.000000,8121,7311,0.848,0.884,15360,1.884,0.524
28.375,1,1,shard-1-1,1,1.000000,0.857000,0.861578,6299,7311,0.848,0.7745,15360,1.884,0.623
28.375,1,2,shard-1-2,1,0.991000,1.000000,1.000000,8121,7311,0.848,0.8855,15360,1.884,0.725
37.004,0,0,shard-0-0,0,,,,,9744,0.999,,18560,,
37.004,0,1,shard-0-1,1,0.990000,1.000000,1.000000,9837,9744,0.999,,18560,1.962,0.483
37.004,0,2,shard-0-2,1,0.989000,1.000000,1.000000,9837,9744,0.999,,18560,1.962,1.118
37.004,1,0,shard-1-0,0,,,,,8816,0.765,,18560,,
37.004,1,1,shard-1-1,1,1.000000,0.772000,0.765540,6749,8816,0.765,,18560,1.962,1.638
37.004,1,2,shard-1-2,1,0.991000,1.000000,1.000000,8883,8816,0.765,,18560,1.962,1.81
46.813,0,0,shard-0-0,0,,,,,9939,,,18944,,
46.813,0,1,shard-0-1,0,,,,,9939,,,18944,,
46.813,0,2,shard-0-2,1,0.986000,1.000000,1.000000,10024,9939,,,18944,2.341,0.622
46.813,1,0,shard-1-0,0,,,,,0,,,18944,,
46.813,1,1,shard-1-1,0,,,,,0,,,18944,,
46.813,1,2,shard-1-2,0,,,,,0,,,18944,,
55.791,0,0,shard-0-0,1,0.994000,1.000000,1.000000,11538,10351,0.928,0.946,19712,0.959,0.483
55.791,0,1,shard-0-1,1,0.998000,0.967000,0.961839,9992,10351,0.928,0.892,19712,0.959,0.698
55.791,0,2,shard-0-2,1,0.994000,1.000000,1.000000,11506,10351,0.928,0.946,19712,0.959,1.078
55.791,1,0,shard-1-0,1,1.000000,0.942000,0.946694,8862,9361,0.762333,0.8135,19712,0.959,3.43
55.791,1,1,shard-1-1,1,1.000000,0.726000,0.720970,6749,9361,0.762333,0.715,19712,0.959,3.735
55.791,1,2,shard-1-2,1,0.992000,1.000000,1.000000,10382,9361,0.762333,0.7585,19712,0.959,4.166
66.989,0,0,shard-0-0,0,,,,,11666,0.881,,22176,,
66.989,0,1,shard-0-1,1,0.998000,0.884000,0.854792,9992,11666,0.881,,22176,2.076,0.26
66.989,0,2,shard-0-2,1,0.996000,1.000000,1.000000,11762,11666,0.881,,22176,2.076,0.484
66.989,1,0,shard-1-0,0,,,,,10510,0.643,,22176,,
66.989,1,1,shard-1-1,1,1.000000,0.649000,0.642150,6749,10510,0.643,,22176,2.076,0.648
66.989,1,2,shard-1-2,1,0.990000,1.000000,1.000000,10623,10510,0.643,,22176,2.076,0.817
75.916,0,0,shard-0-0,1,0.994000,1.000000,1.000000,13216,12158,1.0,,23136,2.033,0.452
75.916,0,1,shard-0-1,0,,,,,12158,1.0,,23136,,
75.916,0,2,shard-0-2,1,0.994000,1.000000,1.000000,13216,12158,1.0,,23136,2.033,0.713
75.916,1,0,shard-1-0,1,0.996000,0.887000,0.885589,9734,10978,0.835,,23136,2.033,0.892
75.916,1,1,shard-1-1,0,,,,,10978,0.835,,23136,,
75.916,1,2,shard-1-2,1,0.990000,1.000000,1.000000,11948,10978,0.835,,23136,2.033,1.088
85.062,0,0,shard-0-0,1,0.991000,1.000000,1.000000,14718,13601,0.792,,25888,0.814,0.229
85.062,0,1,shard-0-1,1,0.999000,0.841000,0.826851,11266,13601,0.792,,25888,0.814,0.497
85.062,0,2,shard-0-2,0,,,,,13601,0.792,,25888,,
85.062,1,0,shard-1-0,1,0.987000,1.000000,1.000000,13379,12287,0.523,,25888,0.814,0.708
85.062,1,1,shard-1-1,1,1.000000,0.568000,0.549280,6749,12287,0.523,,25888,0.814,0.801
85.062,1,2,shard-1-2,0,,,,,12287,0.523,,25888,,
92.695,0,0,shard-0-0,1,0.995000,1.000000,1.000000,14770,14645,0.858667,0.891,27904,1.157,0.187
92.695,0,1,shard-0-1,1,0.999000,0.792000,0.767907,11266,14645,0.858667,0.792,27904,1.157,0.353
92.695,0,2,shard-0-2,1,0.996000,0.993000,0.993035,14639,14645,0.858667,0.893,27904,1.157,0.528
92.695,1,0,shard-1-0,1,0.989000,1.000000,1.000000,13459,13259,0.678667,0.756,27904,1.157,0.722
92.695,1,1,shard-1-1,1,1.000000,0.526000,0.509013,6749,13259,0.678667,0.522,27904,1.157,0.886
92.695,1,2,shard-1-2,1,0.991000,0.994000,0.995475,13347,13259,0.678667,0.758,27904,1.157,1.092
100.968,0,0,shard-0-0,0,,,,,14543,0.868,,27904,,
100.968,0,1,shard-0-1,1,0.996000,0.868000,0.855051,12531,14543,0.868,,27904,2.134,0.284
100.968,0,2,shard-0-2,1,0.996000,1.000000,1.000000,14639,14543,0.868,,27904,2.134,0.479
100.968,1,0,shard-1-0,0,,,,,13199,0.524,,27904,,
100.968,1,1,shard-1-1,1,1.000000,0.529000,0.511327,6749,13199,0.524,,27904,2.134,0.643
100.968,1,2,shard-1-2,1,0.991000,1.000000,1.000000,13347,13199,0.524,,27904,2.134,0.788
109.961,0,0,shard-0-0,1,0.994000,1.000000,1.000000,17264,15781,0.836,0.877,30048,0.912,0.244
109.961,0,1,shard-0-1,1,0.996000,0.812000,0.787973,12531,15781,0.836,0.754,30048,0.912,0.378
109.961,0,2,shard-0-2,1,0.994000,1.000000,1.000000,17264,15781,0.836,0.877,30048,0.912,0.57
