t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
15.002,0,0,shard-0-0,1,1.000000,1.000000,1.000000,22068,17626,1.0,1.0,33600,0.473,0.15
15.002,0,1,shard-0-1,1,1.000000,1.000000,1.000000,22068,17626,1.0,1.0,33600,0.473,0.225
15.002,0,2,shard-0-2,1,1.000000,1.000000,1.000000,22034,17626,1.0,1.0,33600,0.473,0.302
15.002,1,0,shard-1-0,1,0.990000,1.000000,1.000000,19918,15974,0.993333,0.995,33600,0.473,0.387
15.002,1,1,shard-1-1,1,0.980000,1.000000,1.000000,19918,15974,0.993333,0.99,33600,0.473,0.454
15.002,1,2,shard-1-2,1,0.990000,1.000000,1.000000,19918,15974,0.993333,0.995,33600,0.473,0.522
17.02,0,0,shard-0-0,1,1.000000,1.000000,1.000000,24073,20487,1.0,1.0,39008,0.339,0.156
17.02,0,1,shard-0-1,1,1.000000,1.000000,1.000000,24073,20487,1.0,1.0,39008,0.339,0.244
17.02,0,2,shard-0-2,1,1.000000,1.000000,1.000000,24073,20487,1.0,1.0,39008,0.339,0.345
17.02,1,0,shard-1-0,1,1.000000,1.000000,1.000000,21719,18521,1.0,1.0,39008,0.339,0.465
17.02,1,1,shard-1-1,1,1.000000,0.990000,1.000000,21719,18521,1.0,1.0,39008,0.339,0.558
17.02,1,2,shard-1-2,1,1.000000,1.000000,1.000000,21719,18521,1.0,1.0,39008,0.339,0.651
19.038,0,0,shard-0-0,1,0.990000,1.000000,1.000000,26120,22676,0.993333,0.995,43104,0.378,0.181
19.038,0,1,shard-0-1,1,0.990000,1.000000,1.000000,26120,22676,0.993333,0.995,43104,0.378,0.282
19.038,0,2,shard-0-2,1,0.980000,1.000000,1.000000,26143,22676,0.993333,0.99,43104,0.378,0.409
19.038,1,0,shard-1-0,1,0.990000,1.000000,1.000000,23681,20428,1.0,1.0,43104,0.378,0.519
19.038,1,1,shard-1-1,1,0.990000,1.000000,1.000000,23672,20428,1.0,1.0,43104,0.378,0.65
19.038,1,2,shard-1-2,1,0.990000,1.000000,1.000000,23681,20428,1.0,1.0,43104,0.378,0.754
21.205,0,0,shard-0-0,1,0.990000,1.000000,1.000000,27349,24879,1.0,1.0,47392,0.42,0.161
21.205,0,1,shard-0-1,1,0.990000,1.000000,1.000000,27349,24879,1.0,1.0,47392,0.42,0.287
21.205,0,2,shard-0-2,1,0.990000,1.000000,1.000000,27349,24879,1.0,1.0,47392,0.42,0.387
21.205,1,0,shard-1-0,1,1.000000,1.000000,1.000000,24779,22513,1.0,1.0,47392,0.42,0.508
21.205,1,1,shard-1-1,1,1.000000,1.000000,1.000000,24779,22513,1.0,1.0,47392,0.42,0.604
21.205,1,2,shard-1-2,1,1.000000,1.000000,1.000000,24779,22513,1.0,1.0,47392,0.42,0.725
23.395,0,0,shard-0-0,1,1.000000,1.000000,1.000000,29213,26845,1.0,1.0,51136,0.549,0.131
23.395,0,1,shard-0-1,1,1.000000,1.000000,1.000000,29213,26845,1.0,1.0,51136,0.549,0.194
23.395,0,2,shard-0-2,1,1.000000,1.000000,1.000000,29213,26845,1.0,1.0,51136,0.549,0.256
23.395,1,0,shard-1-0,1,1.000000,1.000000,1.000000,26435,24291,1.0,1.0,51136,0.549,0.334
23.395,1,1,shard-1-1,1,1.000000,1.000000,1.000000,26435,24291,1.0,1.0,51136,0.549,0.389
23.395,1,2,shard-1-2,1,1.000000,1.000000,1.000000,26435,24291,1.0,1.0,51136,0.549,0.446
25.427,0,0,shard-0-0,1,1.000000,1.000000,1.000000,29348,28075,1.0,1.0,53504,0.383,0.1
25.427,0,1,shard-0-1,1,1.000000,1.000000,1.000000,29348,28075,1.0,1.0,53504,0.383,0.18
25.427,0,2,shard-0-2,1,1.000000,1.000000,1.000000,29348,28075,1.0,1.0,53504,0.383,0.291
25.427,1,0,shard-1-0,1,1.000000,1.000000,1.000000,26588,25429,1.0,1.0,53504,0.383,0.392
25.427,1,1,shard-1-1,1,1.000000,1.000000,1.000000,26588,25429,1.0,1.0,53504,0.383,0.478
25.427,1,2,shard-1-2,1,1.000000,1.000000,1.000000,26588,25429,1.0,1.0,53504,0.383,0.564
27.404,0,0,shard-0-0,1,1.000000,1.000000,1.000000,31252,29229,1.0,1.0,55680,0.475,0.182
27.404,0,1,shard-0-1,1,1.000000,1.000000,1.000000,31327,29229,1.0,1.0,55680,0.475,0.323
27.404,0,2,shard-0-2,1,1.000000,1.000000,1.000000,31252,29229,1.0,1.0,55680,0.475,0.478
27.404,1,0,shard-1-0,1,1.000000,1.000000,1.000000,28364,26451,1.0,1.0,55680,0.475,0.626
27.404,1,1,shard-1-1,1,1.000000,1.000000,1.000000,28364,26451,1.0,1.0,55680,0.475,0.73
27.404,1,2,shard-1-2,1,1.000000,1.000000,1.000000,28364,26451,1.0,1.0,55680,0.475,0.849
29.756,0,0,shard-0-0,1,1.000000,1.000000,1.000000,33285,30247,1.0,1.0,57696,0.403,0.325
29.756,0,1,shard-0-1,1,1.000000,1.000000,1.000000,33267,30247,1.0,1.0,57696,0.403,0.526
29.756,0,2,shard-0-2,1,1.000000,1.000000,1.000000,33248,30247,1.0,1.0,57696,0.403,0.705
29.756,1,0,shard-1-0,1,1.000000,1.000000,1.000000,30125,27449,1.0,1.0,57696,0.403,0.932
29.756,1,1,shard-1-1,1,1.000000,1.000000,1.000000,30139,27449,1.0,1.0,57696,0.403,1.051
29.756,1,2,shard-1-2,1,1.000000,1.000000,1.000000,30112,27449,1.0,1.0,57696,0.403,1.191
32.384,0,0,shard-0-0,1,1.000000,1.000000,1.000000,34538,32690,1.0,1.0,62336,0.505,0.205
32.384,0,1,shard-0-1,1,1.000000,1.000000,1.000000,34538,32690,1.0,1.0,62336,0.505,0.354
