t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
15.001,0,0,shard-0-0,1,0.970000,1.000000,1.000000,23254,18605,1.0,1.0,35488,0.471,0.133
15.001,0,1,shard-0-1,1,0.970000,1.000000,1.000000,23269,18605,1.0,1.0,35488,0.471,0.204
15.001,0,2,shard-0-2,1,0.970000,1.000000,1.000000,23238,18605,1.0,1.0,35488,0.471,0.282
15.001,1,0,shard-1-0,1,1.000000,1.000000,1.000000,20970,16883,0.993333,0.99,35488,0.471,0.363
15.001,1,1,shard-1-1,1,0.990000,1.000000,1.000000,20987,16883,0.993333,0.995,35488,0.471,0.425
15.001,1,2,shard-1-2,1,0.990000,1.000000,1.000000,20970,16883,0.993333,0.995,35488,0.471,0.476
16.981,0,0,shard-0-0,1,1.000000,1.000000,1.000000,25394,21637,1.0,1.0,41184,0.298,0.091
16.981,0,1,shard-0-1,1,1.000000,1.000000,1.000000,25394,21637,1.0,1.0,41184,0.298,0.165
16.981,0,2,shard-0-2,1,1.000000,1.000000,1.000000,25394,21637,1.0,1.0,41184,0.298,0.243
16.981,1,0,shard-1-0,1,0.990000,1.000000,1.000000,23022,19547,1.0,1.0,41184,0.298,0.334
16.981,1,1,shard-1-1,1,0.990000,1.000000,1.000000,23022,19547,1.0,1.0,41184,0.298,0.426
16.981,1,2,shard-1-2,1,0.990000,1.000000,1.000000,23022,19547,1.0,1.0,41184,0.298,0.528
18.825,0,0,shard-0-0,1,1.000000,1.000000,1.000000,27798,23685,1.0,1.0,45056,0.344,0.119
18.825,0,1,shard-0-1,1,1.000000,1.000000,1.000000,27798,23685,1.0,1.0,45056,0.344,0.22
18.825,0,2,shard-0-2,1,1.000000,1.000000,1.000000,27798,23685,1.0,1.0,45056,0.344,0.318
18.825,1,0,shard-1-0,1,0.990000,1.000000,1.000000,25162,21371,1.0,1.0,45056,0.344,0.466
18.825,1,1,shard-1-1,1,0.990000,1.000000,1.000000,25162,21371,1.0,1.0,45056,0.344,0.581
18.825,1,2,shard-1-2,1,0.990000,1.000000,1.000000,25162,21371,1.0,1.0,45056,0.344,0.69
20.889,0,0,shard-0-0,1,0.990000,1.000000,1.000000,30394,26120,0.993333,0.99,49792,0.822,0.191
20.889,0,1,shard-0-1,1,1.000000,1.000000,1.000000,30230,26120,0.993333,0.995,49792,0.822,0.325
20.889,0,2,shard-0-2,1,1.000000,1.000000,1.000000,30264,26120,0.993333,0.995,49792,0.822,0.501
20.889,1,0,shard-1-0,1,0.990000,1.000000,1.000000,27464,23672,0.993333,0.99,49792,0.822,0.717
20.889,1,1,shard-1-1,1,1.000000,1.000000,1.000000,27434,23672,0.993333,0.995,49792,0.822,0.863
20.889,1,2,shard-1-2,1,1.000000,1.000000,1.000000,27434,23672,0.993333,0.995,49792,0.822,1.049
23.799,0,0,shard-0-0,1,1.000000,1.000000,1.000000,32471,29984,1.0,1.0,57216,0.488,0.154
23.799,0,1,shard-0-1,1,1.000000,1.000000,1.000000,32524,29984,1.0,1.0,57216,0.488,0.25
23.799,0,2,shard-0-2,1,1.000000,1.000000,1.000000,32488,29984,1.0,1.0,57216,0.488,0.362
23.799,1,0,shard-1-0,1,0.990000,1.000000,1.000000,29449,27232,1.0,1.0,57216,0.488,0.554
23.799,1,1,shard-1-1,1,0.990000,1.000000,1.000000,29433,27232,1.0,1.0,57216,0.488,0.683
23.799,1,2,shard-1-2,1,0.990000,1.000000,1.000000,29449,27232,1.0,1.0,57216,0.488,0.787
26.108,0,0,shard-0-0,1,1.000000,1.000000,1.000000,34890,31538,1.0,1.0,60128,0.421,0.159
26.108,0,1,shard-0-1,1,1.000000,1.000000,1.000000,34872,31538,1.0,1.0,60128,0.421,0.274
26.108,0,2,shard-0-2,1,1.000000,1.000000,1.000000,34872,31538,1.0,1.0,60128,0.421,0.421
26.108,1,0,shard-1-0,1,0.980000,1.000000,1.000000,31528,28590,1.0,1.0,60128,0.421,0.617
26.108,1,1,shard-1-1,1,0.980000,1.000000,1.000000,31542,28590,1.0,1.0,60128,0.421,0.744
26.108,1,2,shard-1-2,1,0.980000,1.000000,1.000000,31528,28590,1.0,1.0,60128,0.421,0.85
28.409,0,0,shard-0-0,1,0.990000,1.000000,1.000000,37562,33652,0.993333,0.995,64128,0.479,0.166
28.409,0,1,shard-0-1,1,1.000000,1.000000,1.000000,37526,33652,0.993333,0.99,64128,0.479,0.291
28.409,0,2,shard-0-2,1,0.990000,1.000000,1.000000,37599,33652,0.993333,0.995,64128,0.479,0.415
28.409,1,0,shard-1-0,1,0.990000,1.000000,1.000000,33912,30476,1.0,1.0,64128,0.479,0.547
28.409,1,1,shard-1-1,1,0.990000,1.000000,1.000000,33926,30476,1.0,1.0,64128,0.479,0.667
28.409,1,2,shard-1-2,1,0.990000,1.000000,1.000000,33953,30476,1.0,1.0,64128,0.479,0.761
30.671,0,0,shard-0-0,1,1.000000,1.000000,1.000000,40166,36236,1.0,1.0,68960,1.464,0.266
30.671,0,1,shard-0-1,1,1.000000,1.000000,1.000000,40267,36236,1.0,1.0,68960,1.464,0.43
30.671,0,2,shard-0-2,1,1.000000,1.000000,1.000000,40200,36236,1.0,1.0,68960,1.464,0.586
30.671,1,0,shard-1-0,1,1.000000,1.000000,1.000000,36240,32724,1.0,1.0,68960,1.464,0.809
30.671,1,1,shard-1-1,1,1.000000,1.000000,1.000000,36268,32724,1.0,1.0,68960,1.464,0.98
30.671,1,2,shard-1-2,1,1.000000,1.000000,1.000000,36240,32724,1.0,1.0,68960,1.464,1.151
34.338,0,0,shard-0-0,1,0.990000,1.000000,1.000000,41377,40090,1.0,1.0,76288,1.089,0.298
34.338,0,1,shard-0-1,1,0.990000,1.000000,1.000000,41361,40090,1.0,1.0,76288,1.089,0.503
34.338,0,2,shard-0-2,1,0.990000,1.000000,1.000000,41361,40090,1.0,1.0,76288,1.089,0.688
34.338,1,0,shard-1-0,1,1.000000,1.000000,1.000000,37295,36198,1.0,1.0,76288,1.089,0.951
34.338,1,1,shard-1-1,1,1.000000,1.000000,1.000000,37199,36198,1.0,1.0,76288,1.089,1.137
34.338,1,2,shard-1-2,1,1.000000,1.000000,1.000000,37267,36198,1.0,1.0,76288,1.089,1.334
37.826,0,0,shard-0-0,1,1.000000,1.000000,1.000000,42275,41233,1.0,1.0,78432,0.933,0.306
37.826,0,1,shard-0-1,1,1.000000,1.000000,1.000000,42275,41233,1.0,1.0,78432,0.933,0.505
37.826,0,2,shard-0-2,1,1.000000,1.000000,1.000000,42275,41233,1.0,1.0,78432,0.933,0.717
37.826,1,0,shard-1-0,1,1.000000,1.000000,1.000000,38141,37199,1.0,1.0,78432,0.933,0.989
