t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
15.013,0,0,shard-0-0,1,1.000000,1.000000,1.000000,8241,7505,1.0,1.0,14336,0.782,0.09
15.013,0,1,shard-0-1,1,1.000000,1.000000,1.000000,8241,7505,1.0,1.0,14336,0.782,0.124
15.013,0,2,shard-0-2,1,1.000000,1.000000,1.000000,8259,7505,1.0,1.0,14336,0.782,0.183
15.013,1,0,shard-1-0,1,0.990000,1.000000,1.000000,7471,6831,0.993333,0.995,14336,0.782,0.26
15.013,1,1,shard-1-1,1,0.990000,1.000000,1.000000,7471,6831,0.993333,0.995,14336,0.782,0.313
15.013,1,2,shard-1-2,1,0.980000,1.000000,1.000000,7485,6831,0.993333,0.99,14336,0.782,0.348
17.169,0,0,shard-0-0,1,1.000000,1.000000,1.000000,9631,7935,1.0,1.0,15136,0.301,0.051
17.169,0,1,shard-0-1,1,1.000000,1.000000,1.000000,9646,7935,1.0,1.0,15136,0.301,0.083
17.169,0,2,shard-0-2,1,1.000000,1.000000,1.000000,9646,7935,1.0,1.0,15136,0.301,0.136
17.169,1,0,shard-1-0,1,0.990000,1.000000,1.000000,8690,7201,0.993333,0.995,15136,0.301,0.186
17.169,1,1,shard-1-1,1,0.990000,1.000000,1.000000,8703,7201,0.993333,0.995,15136,0.301,0.225
17.169,1,2,shard-1-2,1,0.980000,1.000000,1.000000,8690,7201,0.993333,0.99,15136,0.301,0.256
18.738,0,0,shard-0-0,1,1.000000,1.000000,1.000000,11228,8288,1.0,1.0,15808,0.283,0.053
18.738,0,1,shard-0-1,1,1.000000,1.000000,1.000000,11262,8288,1.0,1.0,15808,0.283,0.093
18.738,0,2,shard-0-2,1,1.000000,1.000000,1.000000,11262,8288,1.0,1.0,15808,0.283,0.141
18.738,1,0,shard-1-0,1,0.970000,1.000000,1.000000,10161,7520,0.993333,0.995,15808,0.283,0.173
18.738,1,1,shard-1-1,1,0.980000,1.000000,1.000000,10161,7520,0.993333,0.99,15808,0.283,0.222
18.738,1,2,shard-1-2,1,0.970000,1.000000,1.000000,10161,7520,0.993333,0.995,15808,0.283,0.257
20.296,0,0,shard-0-0,1,1.000000,1.000000,1.000000,12659,9646,1.0,1.0,18336,0.201,0.068
20.296,0,1,shard-0-1,1,1.000000,1.000000,1.000000,12692,9646,1.0,1.0,18336,0.201,0.11
20.296,0,2,shard-0-2,1,1.000000,1.000000,1.000000,12692,9646,1.0,1.0,18336,0.201,0.166
20.296,1,0,shard-1-0,1,0.990000,1.000000,1.000000,11419,8690,1.0,1.0,18336,0.201,0.238
20.296,1,1,shard-1-1,1,0.990000,1.000000,1.000000,11436,8690,1.0,1.0,18336,0.201,0.297
20.296,1,2,shard-1-2,1,0.990000,1.000000,1.000000,11436,8690,1.0,1.0,18336,0.201,0.363
21.887,0,0,shard-0-0,1,0.970000,1.000000,1.000000,14090,11183,1.0,1.0,21280,0.301,0.111
21.887,0,1,shard-0-1,1,0.970000,1.000000,1.000000,14037,11183,1.0,1.0,21280,0.301,0.185
21.887,0,2,shard-0-2,1,0.970000,1.000000,1.000000,14090,11183,1.0,1.0,21280,0.301,0.268
21.887,1,0,shard-1-0,1,1.000000,1.000000,1.000000,12758,10097,1.0,1.0,21280,0.301,0.352
21.887,1,1,shard-1-1,1,1.000000,1.000000,1.000000,12758,10097,1.0,1.0,21280,0.301,0.435
21.887,1,2,shard-1-2,1,1.000000,1.000000,1.000000,12729,10097,1.0,1.0,21280,0.301,0.503
23.718,0,0,shard-0-0,1,0.990000,1.000000,1.000000,15061,12913,1.0,1.0,24576,0.48,0.11
23.718,0,1,shard-0-1,1,0.990000,1.000000,1.000000,15062,12913,1.0,1.0,24576,0.48,0.209
23.718,0,2,shard-0-2,1,0.990000,1.000000,1.000000,15064,12913,1.0,1.0,24576,0.48,0.273
23.718,1,0,shard-1-0,1,1.000000,1.000000,1.000000,13684,11663,1.0,1.0,24576,0.48,0.353
23.718,1,1,shard-1-1,1,1.000000,1.000000,1.000000,13646,11663,1.0,1.0,24576,0.48,0.408
23.718,1,2,shard-1-2,1,1.000000,1.000000,1.000000,13643,11663,1.0,1.0,24576,0.48,0.47
25.694,0,0,shard-0-0,1,1.000000,1.000000,1.000000,16558,14354,1.0,1.0,27360,0.415,0.082
