t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
15.001,0,0,shard-0-0,1,0.995000,1.000000,1.000000,2298,1983,0.998667,0.9985,3892,0.595,0.02
15.001,0,1,shard-0-1,1,0.995000,1.000000,1.000000,2298,1983,0.998667,0.999,3892,0.595,0.032
15.001,0,2,shard-0-2,1,0.994000,1.000000,1.000000,2298,1983,0.998667,0.9985,3892,0.595,0.044
15.001,1,0,shard-1-0,1,1.000000,1.000000,1.000000,2186,1909,0.999333,0.999,3892,0.595,0.09
15.001,1,1,shard-1-1,1,1.000000,1.000000,1.000000,2186,1909,0.999333,0.9995,3892,0.595,0.103
15.001,1,2,shard-1-2,1,1.000000,1.000000,1.000000,2187,1909,0.999333,0.9995,3892,0.595,0.131
21.73,0,0,shard-0-0,1,0.996000,1.000000,1.000000,3255,2957,0.998667,0.9985,5734,0.844,0.022
21.73,0,1,shard-0-1,1,0.996000,1.000000,1.000000,3255,2957,0.998667,0.999,5734,0.844,0.042
21.73,0,2,shard-0-2,1,0.996000,1.000000,1.000000,3255,2957,0.998667,0.9985,5734,0.844,0.058
21.73,1,0,shard-1-0,1,0.995000,1.000000,1.000000,3050,2777,1.0,1.0,5734,0.844,0.078
21.73,1,1,shard-1-1,1,0.995000,1.000000,1.000000,3051,2777,1.0,1.0,5734,0.844,0.098
21.73,1,2,shard-1-2,1,0.995000,1.000000,1.000000,3051,2777,1.0,1.0,5734,0.844,0.121
28.698,0,0,shard-0-0,1,0.995000,1.000000,1.000000,4201,3923,0.998,0.9985,7561,0.707,0.059
28.698,0,1,shard-0-1,1,0.996000,1.000000,1.000000,4201,3923,0.998,0.9975,7561,0.707,0.117
28.698,0,2,shard-0-2,1,0.995000,1.000000,1.000000,4202,3923,0.998,0.998,7561,0.707,0.179
28.698,1,0,shard-1-0,1,0.996000,1.000000,1.000000,3891,3638,0.999333,0.999,7561,0.707,0.203
28.698,1,1,shard-1-1,1,0.996000,1.000000,1.000000,3891,3638,0.999333,0.9995,7561,0.707,0.227
28.698,1,2,shard-1-2,1,0.996000,1.000000,1.000000,3891,3638,0.999333,0.9995,7561,0.707,0.267
35.677,0,0,shard-0-0,1,0.997000,1.000000,1.000000,5199,4901,0.998667,0.999,9383,0.787,0.042
35.677,0,1,shard-0-1,1,0.997000,1.000000,1.000000,5199,4901,0.998667,0.9985,9383,0.787,0.067
35.677,0,2,shard-0-2,1,0.997000,1.000000,1.000000,5199,4901,0.998667,0.9985,9383,0.787,0.099
35.677,1,0,shard-1-0,1,0.996000,0.999000,1.000000,4749,4482,0.998667,0.998,9383,0.787,0.128
35.677,1,1,shard-1-1,1,0.996000,0.999000,1.000000,4749,4482,0.998667,0.999,9383,0.787,0.15
35.677,1,2,shard-1-2,1,0.996000,0.999000,1.000000,4749,4482,0.998667,0.999,9383,0.787,0.168
42.639,0,0,shard-0-0,1,1.000000,1.000000,1.000000,6002,5742,0.998667,0.998,11028,0.628,0.067
42.639,0,1,shard-0-1,1,1.000000,1.000000,1.000000,6002,5742,0.998667,0.999,11028,0.628,0.108
42.639,0,2,shard-0-2,1,1.000000,1.000000,1.000000,6002,5742,0.998667,0.999,11028,0.628,0.161
42.639,1,0,shard-1-0,1,0.995000,0.998000,1.000000,5525,5286,1.0,1.0,11028,0.628,0.219
42.639,1,1,shard-1-1,1,0.994000,0.998000,1.000000,5525,5286,1.0,1.0,11028,0.628,0.288
42.639,1,2,shard-1-2,1,0.993000,0.998000,1.000000,5525,5286,1.0,1.0,11028,0.628,0.38
49.654,0,0,shard-0-0,1,0.999000,1.000000,1.000000,6953,6676,1.0,1.0,12812,0.676,0.073
49.654,0,1,shard-0-1,1,1.000000,1.000000,1.000000,6953,6676,1.0,1.0,12812,0.676,0.117
49.654,0,2,shard-0-2,1,0.999000,1.000000,1.000000,6953,6676,1.0,1.0,12812,0.676,0.232
49.654,1,0,shard-1-0,1,1.000000,1.000000,1.000000,6414,6136,0.960667,0.9705,12812,0.676,0.283
