t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
15.001,0,0,shard-0-0,1,0.993000,1.000000,1.000000,2218,1944,1.0,1.0,3805,0.373,0.038
15.001,0,1,shard-0-1,1,0.993000,1.000000,1.000000,2218,1944,1.0,1.0,3805,0.373,0.055
15.001,0,2,shard-0-2,1,0.993000,1.000000,1.000000,2218,1944,1.0,1.0,3805,0.373,0.072
15.001,1,0,shard-1-0,1,0.994000,1.000000,1.000000,2116,1861,1.0,1.0,3805,0.373,0.098
15.001,1,1,shard-1-1,1,0.994000,1.000000,1.000000,2116,1861,1.0,1.0,3805,0.373,0.127
15.001,1,2,shard-1-2,1,0.994000,1.000000,1.000000,2117,1861,1.0,1.0,3805,0.373,0.135
21.511,0,0,shard-0-0,1,0.996000,1.000000,1.000000,3140,2853,0.999333,0.999,5542,0.316,0.035
21.511,0,1,shard-0-1,1,0.995000,1.000000,1.000000,3140,2853,0.999333,0.9995,5542,0.316,0.06
21.511,0,2,shard-0-2,1,0.995000,1.000000,1.000000,3140,2853,0.999333,0.9995,5542,0.316,0.077
21.511,1,0,shard-1-0,1,0.997000,1.000000,1.000000,2943,2689,1.0,1.0,5542,0.316,0.104
21.511,1,1,shard-1-1,1,0.997000,1.000000,1.000000,2943,2689,1.0,1.0,5542,0.316,0.119
21.511,1,2,shard-1-2,1,0.997000,1.000000,1.000000,2943,2689,1.0,1.0,5542,0.316,0.137
27.964,0,0,shard-0-0,1,0.997000,1.000000,1.000000,4062,3757,1.0,1.0,7246,0.319,0.024
27.964,0,1,shard-0-1,1,0.997000,1.000000,1.000000,4062,3757,1.0,1.0,7246,0.319,0.053
27.964,0,2,shard-0-2,1,0.997000,1.000000,1.000000,4062,3757,1.0,1.0,7246,0.319,0.078
27.964,1,0,shard-1-0,1,0.997000,1.000000,1.000000,3768,3489,1.0,1.0,7246,0.319,0.105
27.964,1,1,shard-1-1,1,0.997000,1.000000,1.000000,3768,3489,1.0,1.0,7246,0.319,0.123
27.964,1,2,shard-1-2,1,0.997000,1.000000,1.000000,3768,3489,1.0,1.0,7246,0.319,0.141
34.428,0,0,shard-0-0,1,0.995000,1.000000,1.000000,4985,4685,0.999333,0.999,8997,0.424,0.026
34.428,0,1,shard-0-1,1,0.996000,1.000000,1.000000,4985,4685,0.999333,0.9995,8997,0.424,0.053
34.428,0,2,shard-0-2,1,0.996000,1.000000,1.000000,4985,4685,0.999333,0.9995,8997,0.424,0.082
34.428,1,0,shard-1-0,1,0.998000,1.000000,1.000000,4569,4312,1.0,1.0,8997,0.424,0.114
34.428,1,1,shard-1-1,1,0.998000,1.000000,1.000000,4569,4312,1.0,1.0,8997,0.424,0.138
34.428,1,2,shard-1-2,1,0.998000,1.000000,1.000000,4569,4312,1.0,1.0,8997,0.424,0.168
41.023,0,0,shard-0-0,1,0.998000,1.000000,1.000000,5802,5590,1.0,1.0,10722,0.346,0.03
41.023,0,1,shard-0-1,1,0.998000,1.000000,1.000000,5803,5590,1.0,1.0,10722,0.346,0.06
41.023,0,2,shard-0-2,1,0.998000,1.000000,1.000000,5803,5590,1.0,1.0,10722,0.346,0.092
41.023,1,0,shard-1-0,1,0.996000,0.999000,1.000000,5370,5132,1.0,1.0,10722,0.346,0.13
41.023,1,1,shard-1-1,1,0.996000,0.999000,1.000000,5370,5132,1.0,1.0,10722,0.346,0.158
41.023,1,2,shard-1-2,1,0.996000,0.999000,1.000000,5370,5132,1.0,1.0,10722,0.346,0.205
47.58,0,0,shard-0-0,1,0.998000,1.000000,1.000000,6741,6435,1.0,1.0,12136,0.342,0.049
47.58,0,1,shard-0-1,1,0.998000,1.000000,1.000000,6741,6435,1.0,1.0,12136,0.342,0.092
47.58,0,2,shard-0-2,1,0.998000,1.000000,1.000000,6741,6435,1.0,1.0,12136,0.342,0.156
47.58,1,0,shard-1-0,0,,,,,5701,1.0,,12136,,
47.58,1,1,shard-1-1,1,0.949000,0.999000,1.000000,6229,5701,1.0,,12136,0.342,0.199
47.58,1,2,shard-1-2,1,0.949000,0.998000,1.000000,6229,5701,1.0,,12136,0.342,0.239
54.167,0,0,shard-0-0,1,0.997000,1.000000,1.000000,7564,7386,0.999333,0.999,13923,0.533,0.106
54.167,0,1,shard-0-1,1,0.998000,1.000000,1.000000,7564,7386,0.999333,0.9995,13923,0.533,0.197
54.167,0,2,shard-0-2,1,0.998000,1.000000,1.000000,7564,7386,0.999333,0.9995,13923,0.533,0.351
54.167,1,0,shard-1-0,1,0.998000,0.951000,0.947682,6366,6537,0.936,0.905,13923,0.533,0.465
54.167,1,1,shard-1-1,1,0.951000,1.000000,1.000000,7016,6537,0.936,0.952,13923,0.533,0.554
54.167,1,2,shard-1-2,1,0.949000,1.000000,1.000000,7018,6537,0.936,0.951,13923,0.533,0.63
61.338,0,0,shard-0-0,1,0.995000,1.000000,1.000000,8334,8137,0.999333,0.999,15456,0.494,0.086
61.338,0,1,shard-0-1,1,0.996000,1.000000,1.000000,8334,8137,0.999333,0.9995,15456,0.494,0.173
61.338,0,2,shard-0-2,1,0.996000,1.000000,1.000000,8334,8137,0.999333,0.9995,15456,0.494,0.266
61.338,1,0,shard-1-0,1,0.999000,0.958000,0.953272,7196,7319,0.943333,0.9155,15456,0.494,0.339
61.338,1,1,shard-1-1,1,0.954000,1.000000,1.000000,7846,7319,0.943333,0.957,15456,0.494,0.391
61.338,1,2,shard-1-2,1,0.955000,1.000000,1.000000,7846,7319,0.943333,0.9575,15456,0.494,0.45
68.293,0,0,shard-0-0,1,0.999000,1.000000,1.000000,9116,8880,0.999333,0.9995,16844,1.004,0.343
68.293,0,1,shard-0-1,1,0.998000,1.000000,1.000000,9116,8880,0.999333,0.999,16844,1.004,0.438
68.293,0,2,shard-0-2,1,0.999000,1.000000,1.000000,9117,8880,0.999333,0.9995,16844,1.004,0.561
68.293,1,0,shard-1-0,1,0.998000,0.959000,0.957057,7793,7964,0.949333,0.924,16844,1.004,0.755
68.293,1,1,shard-1-1,1,0.961000,1.000000,1.000000,8442,7964,0.949333,0.962,16844,1.004,0.889
68.293,1,2,shard-1-2,1,0.961000,1.000000,1.000000,8442,7964,0.949333,0.962,16844,1.004,1.04
76.368,0,0,shard-0-0,1,0.997000,1.000000,1.000000,9997,9726,1.0,1.0,18249,0.417,0.066
76.368,0,1,shard-0-1,1,0.997000,1.000000,1.000000,9997,9726,1.0,1.0,18249,0.417,0.14
76.368,0,2,shard-0-2,1,0.997000,1.000000,1.000000,9997,9726,1.0,1.0,18249,0.417,0.211
76.368,1,0,shard-1-0,0,,,,,8523,0.977,,18249,,
76.368,1,1,shard-1-1,1,0.962000,1.000000,1.000000,9020,8523,0.977,,18249,0.417,0.325
76.368,1,2,shard-1-2,1,0.961000,0.977000,0.977121,8828,8523,0.977,,18249,0.417,0.378
83.177,0,0,shard-0-0,0,,,,,10643,0.999,,19763,,
83.177,0,1,shard-0-1,1,0.996000,1.000000,1.000000,10927,10643,0.999,,19763,0.911,0.718
83.177,0,2,shard-0-2,1,0.997000,1.000000,1.000000,10927,10643,0.999,,19763,0.911,1.052
83.177,1,0,shard-1-0,1,0.996000,0.920000,0.915241,8528,9120,0.915667,0.8835,19763,0.911,1.211
83.177,1,1,shard-1-1,1,0.962000,1.000000,1.000000,9608,9120,0.915667,0.934,19763,0.911,1.33
83.177,1,2,shard-1-2,1,0.959000,0.979000,0.978618,9416,9120,0.915667,0.9295,19763,0.911,1.485
