t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
10.001,0,0,shard-0-0,1,0.982000,1.000000,1.000000,1529,1247,1.0,1.0,2420,1.064,0.068
10.001,0,1,shard-0-1,1,0.982000,1.000000,1.000000,1529,1247,1.0,1.0,2420,1.064,0.126
10.001,0,2,shard-0-2,1,0.982000,1.000000,1.000000,1529,1247,1.0,1.0,2420,1.064,0.177
10.001,1,0,shard-1-0,1,0.995000,0.998000,1.000000,1443,1173,1.0,1.0,2420,1.064,0.223
10.001,1,1,shard-1-1,1,0.994000,0.999000,1.000000,1443,1173,1.0,1.0,2420,1.064,0.261
10.001,1,2,shard-1-2,1,0.994000,0.998000,1.000000,1443,1173,1.0,1.0,2420,1.064,0.317
16.385,0,0,shard-0-0,1,0.995000,1.000000,1.000000,2355,2046,0.998667,0.999,3862,0.826,0.027
16.385,0,1,shard-0-1,1,0.994000,1.000000,1.000000,2355,2046,0.998667,0.9985,3862,0.826,0.07
16.385,0,2,shard-0-2,1,0.994000,1.000000,1.000000,2355,2046,0.998667,0.9985,3862,0.826,0.114
16.385,1,0,shard-1-0,1,0.992000,1.000000,1.000000,2069,1816,0.956,0.934,3862,0.826,0.142
16.385,1,1,shard-1-1,1,0.930000,1.000000,1.000000,2222,1816,0.956,0.967,3862,0.826,0.188
16.385,1,2,shard-1-2,1,0.930000,1.000000,1.000000,2222,1816,0.956,0.967,3862,0.826,0.205
22.42,0,0,shard-0-0,1,0.992000,1.000000,1.000000,3018,2740,1.0,1.0,5222,0.877,0.033
22.42,0,1,shard-0-1,1,0.990000,1.000000,1.000000,3018,2740,1.0,1.0,5222,0.877,0.06
22.42,0,2,shard-0-2,1,0.990000,1.000000,1.000000,3018,2740,1.0,1.0,5222,0.877,0.083
22.42,1,0,shard-1-0,1,0.994000,1.000000,1.000000,2725,2482,0.963333,0.945,5222,0.877,0.128
22.42,1,1,shard-1-1,1,0.948000,1.000000,1.000000,2879,2482,0.963333,0.9725,5222,0.877,0.143
22.42,1,2,shard-1-2,1,0.948000,1.000000,1.000000,2879,2482,0.963333,0.9725,5222,0.877,0.177
28.476,0,0,shard-0-0,1,0.997000,1.000000,1.000000,3764,3480,1.0,1.0,6604,0.949,0.04
28.476,0,1,shard-0-1,1,0.997000,1.000000,1.000000,3764,3480,1.0,1.0,6604,0.949,0.074
28.476,0,2,shard-0-2,1,0.997000,1.000000,1.000000,3764,3480,1.0,1.0,6604,0.949,0.129
28.476,1,0,shard-1-0,1,0.997000,1.000000,1.000000,3386,3124,0.974333,0.962,6604,0.949,0.226
28.476,1,1,shard-1-1,1,0.956000,1.000000,1.000000,3539,3124,0.974333,0.9805,6604,0.949,0.285
28.476,1,2,shard-1-2,1,0.956000,1.000000,1.000000,3540,3124,0.974333,0.9805,6604,0.949,0.459
34.894,0,0,shard-0-0,1,0.997000,1.000000,1.000000,4481,4178,0.998,0.9975,7936,0.8,0.031
34.894,0,1,shard-0-1,1,0.997000,1.000000,1.000000,4481,4178,0.998,0.998,7936,0.8,0.062
34.894,0,2,shard-0-2,1,0.997000,1.000000,1.000000,4481,4178,0.998,0.9985,7936,0.8,0.088
34.894,1,0,shard-1-0,1,0.991000,1.000000,1.000000,3994,3758,0.978,0.967,7936,0.8,0.122
34.894,1,1,shard-1-1,1,0.956000,1.000000,1.000000,4147,3758,0.978,0.9835,7936,0.8,0.179
34.894,1,2,shard-1-2,1,0.956000,1.000000,1.000000,4147,3758,0.978,0.9835,7936,0.8,0.21
40.911,0,0,shard-0-0,1,0.991000,1.000000,1.000000,5232,4998,0.945,0.9585,9476,1.115,0.047
40.911,0,1,shard-0-1,1,0.991000,0.926000,0.930772,4830,4998,0.945,0.9185,9476,1.115,0.091
40.911,0,2,shard-0-2,1,0.991000,1.000000,1.000000,5232,4998,0.945,0.958,9476,1.115,0.126
40.911,1,0,shard-1-0,1,0.995000,1.000000,1.000000,4738,4478,0.968,,9476,1.115,0.181
40.911,1,1,shard-1-1,1,0.969000,1.000000,1.000000,4892,4478,0.968,,9476,1.115,0.243
40.911,1,2,shard-1-2,0,,,,,4478,0.968,,9476,,
47.282,0,0,shard-0-0,1,0.999000,1.000000,1.000000,6040,5756,0.95,0.9625,10999,0.791,0.047
47.282,0,1,shard-0-1,1,0.997000,0.924000,0.929812,5637,5756,0.95,0.9255,10999,0.791,0.089
47.282,0,2,shard-0-2,1,0.998000,1.000000,1.000000,6041,5756,0.95,0.962,10999,0.791,0.148
47.282,1,0,shard-1-0,1,0.996000,1.000000,1.000000,5495,5243,0.895333,0.912,10999,0.791,0.23
47.282,1,1,shard-1-1,1,0.971000,1.000000,1.000000,5648,5243,0.895333,0.918,10999,0.791,0.262
47.282,1,2,shard-1-2,1,0.971000,0.906000,0.913408,4953,5243,0.895333,0.856,10999,0.791,0.296
53.383,0,0,shard-0-0,1,0.996000,1.000000,1.000000,6809,6544,0.932333,0.9465,12488,0.783,0.088
53.383,0,1,shard-0-1,1,0.996000,0.932000,0.938264,6405,6544,0.932333,0.923,12488,0.783,0.167
53.383,0,2,shard-0-2,1,0.996000,0.964000,0.951406,6471,6544,0.932333,0.9275,12488,0.783,0.228
53.383,1,0,shard-1-0,0,,,,,5944,0.886,,12488,,
53.383,1,1,shard-1-1,1,0.973000,1.000000,1.000000,6370,5944,0.886,,12488,0.783,0.28
53.383,1,2,shard-1-2,1,0.972000,0.875000,0.883075,5675,5944,0.886,,12488,0.783,0.313
59.484,0,0,shard-0-0,1,1.000000,1.000000,1.000000,7534,7303,0.939667,0.952,13674,1.255,0.234
59.484,0,1,shard-0-1,1,1.000000,0.941000,0.944680,7130,7303,0.939667,0.936,13674,1.255,0.33
59.484,0,2,shard-0-2,1,1.000000,0.962000,0.953581,7195,7303,0.939667,0.931,13674,1.255,0.511
59.484,1,0,shard-1-0,1,0.998000,1.000000,1.000000,6633,6371,0.901333,0.903,13674,1.255,0.607
59.484,1,1,shard-1-1,1,0.934000,1.000000,1.000000,7120,6371,0.901333,0.919,13674,1.255,0.64
59.484,1,2,shard-1-2,1,0.927000,0.878000,0.890912,6425,6371,0.901333,0.882,13674,1.255,0.689
66.456,0,0,shard-0-0,0,,,,,8018,0.93,,15176,,
66.456,0,1,shard-0-1,1,0.981000,0.945000,0.949613,7881,8018,0.93,,15176,0.694,0.082
66.456,0,2,shard-0-2,1,0.983000,0.965000,0.957720,7947,8018,0.93,,15176,0.694,0.143
66.456,1,0,shard-1-0,1,0.997000,1.000000,1.000000,7436,7158,0.901,0.896,15176,0.694,0.255
66.456,1,1,shard-1-1,1,0.942000,1.000000,1.000000,7923,7158,0.901,0.918,15176,0.694,0.306
66.456,1,2,shard-1-2,1,0.937000,0.887000,0.902906,7228,7158,0.901,0.889,15176,0.694,0.349
72.513,0,0,shard-0-0,1,0.965000,0.997000,0.993389,8673,8471,0.931,,16365,0.762,0.063
72.513,0,1,shard-0-1,1,0.923000,0.946000,0.952308,8599,8471,0.931,,16365,0.762,0.135
72.513,0,2,shard-0-2,0,,,,,8471,0.931,,16365,,
72.513,1,0,shard-1-0,1,0.999000,1.000000,1.000000,8152,7894,0.918333,0.913,16365,0.762,0.201
72.513,1,1,shard-1-1,1,0.949000,1.000000,1.000000,8639,7894,0.918333,0.9335,16365,0.762,0.259
72.513,1,2,shard-1-2,1,0.943000,0.896000,0.911958,7945,7894,0.918333,0.9085,16365,0.762,0.32
