t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
9.998,0,0,shard-0-0,1,0.989000,1.000000,1.000000,1507,1199,0.999333,0.9995,2333,0.813,0.023
9.998,0,1,shard-0-1,1,0.989000,1.000000,1.000000,1507,1199,0.999333,0.9995,2333,0.813,0.036
9.998,0,2,shard-0-2,1,0.989000,1.000000,1.000000,1507,1199,0.999333,0.999,2333,0.813,0.046
9.998,1,0,shard-1-0,1,0.988000,1.000000,1.000000,1418,1134,1.0,1.0,2333,0.813,0.062
9.998,1,1,shard-1-1,1,0.988000,1.000000,1.000000,1418,1134,1.0,1.0,2333,0.813,0.071
9.998,1,2,shard-1-2,1,0.988000,1.000000,1.000000,1418,1134,1.0,1.0,2333,0.813,0.106
15.92,0,0,shard-0-0,1,0.991000,0.999000,1.000000,2286,1990,0.997333,0.9975,3911,0.66,0.021
15.92,0,1,shard-0-1,1,0.990000,0.999000,1.000000,2286,1990,0.997333,0.998,3911,0.66,0.036
15.92,0,2,shard-0-2,1,0.991000,0.999000,1.000000,2286,1990,0.997333,0.9965,3911,0.66,0.053
15.92,1,0,shard-1-0,1,0.998000,1.000000,1.000000,2177,1921,1.0,1.0,3911,0.66,0.076
15.92,1,1,shard-1-1,1,0.998000,1.000000,1.000000,2177,1921,1.0,1.0,3911,0.66,0.092
15.92,1,2,shard-1-2,1,0.999000,1.000000,1.000000,2177,1921,1.0,1.0,3911,0.66,0.106
21.689,0,0,shard-0-0,1,0.993000,1.000000,1.000000,3120,2815,1.0,1.0,5469,0.685,0.04
21.689,0,1,shard-0-1,1,0.993000,1.000000,1.000000,3121,2815,1.0,1.0,5469,0.685,0.065
21.689,0,2,shard-0-2,1,0.993000,1.000000,1.000000,3121,2815,1.0,1.0,5469,0.685,0.08
21.689,1,0,shard-1-0,1,0.997000,0.999000,1.000000,2926,2654,0.999333,0.999,5469,0.685,0.106
21.689,1,1,shard-1-1,1,0.996000,1.000000,1.000000,2926,2654,0.999333,0.9995,5469,0.685,0.132
21.689,1,2,shard-1-2,1,0.994000,1.000000,1.000000,2926,2654,0.999333,0.9995,5469,0.685,0.151
27.528,0,0,shard-0-0,1,0.998000,1.000000,1.000000,3878,3584,0.998667,0.998,6949,1.044,0.039
27.528,0,1,shard-0-1,1,0.998000,1.000000,1.000000,3878,3584,0.998667,0.999,6949,1.044,0.06
27.528,0,2,shard-0-2,1,0.998000,1.000000,1.000000,3878,3584,0.998667,0.999,6949,1.044,0.091
27.528,1,0,shard-1-0,1,0.993000,1.000000,1.000000,3608,3365,1.0,1.0,6949,1.044,0.117
27.528,1,1,shard-1-1,1,0.994000,1.000000,1.000000,3608,3365,1.0,1.0,6949,1.044,0.141
27.528,1,2,shard-1-2,1,0.995000,1.000000,1.000000,3608,3365,1.0,1.0,6949,1.044,0.167
