t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
10.003,0,0,shard-0-0,1,0.987000,1.000000,1.000000,1520,1228,1.0,1.0,2385,0.497,0.242
10.003,0,1,shard-0-1,1,0.987000,1.000000,1.000000,1520,1228,1.0,1.0,2385,0.497,0.259
10.003,0,2,shard-0-2,1,0.985000,1.000000,1.000000,1520,1228,1.0,1.0,2385,0.497,0.298
10.003,1,0,shard-1-0,1,0.993000,1.000000,1.000000,1433,1157,1.0,1.0,2385,0.497,0.344
10.003,1,1,shard-1-1,1,0.994000,0.998000,1.000000,1435,1157,1.0,1.0,2385,0.497,0.368
10.003,1,2,shard-1-2,1,0.993000,0.999000,1.000000,1435,1157,1.0,1.0,2385,0.497,0.416
15.924,0,0,shard-0-0,1,0.992000,1.000000,1.000000,2214,1950,0.995556,0.993333,3815,0.623,0.096
15.924,0,1,shard-0-1,1,0.993000,1.000000,1.000000,2214,1950,0.995556,0.996667,3815,0.623,0.2
15.924,0,2,shard-0-2,1,0.994000,1.000000,1.000000,2214,1950,0.995556,0.996667,3815,0.623,0.24
15.924,1,0,shard-1-0,1,0.993000,1.000000,1.000000,2112,1865,0.995556,0.996667,3815,0.623,0.258
15.924,1,1,shard-1-1,1,0.993000,1.000000,1.000000,2112,1865,0.995556,0.993333,3815,0.623,0.286
15.924,1,2,shard-1-2,1,0.993000,1.000000,1.000000,2112,1865,0.995556,0.996667,3815,0.623,0.324
21.869,0,0,shard-0-0,1,0.997000,1.000000,1.000000,3037,2730,1.0,1.0,5305,0.744,0.025
21.869,0,1,shard-0-1,1,0.997000,1.000000,1.000000,3037,2730,1.0,1.0,5305,0.744,0.039
21.869,0,2,shard-0-2,1,0.997000,1.000000,1.000000,3037,2730,1.0,1.0,5305,0.744,0.057
21.869,1,0,shard-1-0,1,0.998000,1.000000,1.000000,2851,2575,1.0,1.0,5305,0.744,0.103
21.869,1,1,shard-1-1,1,0.998000,1.000000,1.000000,2851,2575,1.0,1.0,5305,0.744,0.126
21.869,1,2,shard-1-2,1,0.998000,1.000000,1.000000,2851,2575,1.0,1.0,5305,0.744,0.16
27.777,0,0,shard-0-0,1,0.998000,1.000000,1.000000,3853,3535,1.0,1.0,6859,0.508,0.078
27.777,0,1,shard-0-1,1,0.998000,1.000000,1.000000,3853,3535,1.0,1.0,6859,0.508,0.126
27.777,0,2,shard-0-2,1,0.998000,1.000000,1.000000,3853,3535,1.0,1.0,6859,0.508,0.179
27.777,1,0,shard-1-0,1,0.991000,1.000000,1.000000,3575,3324,1.0,1.0,6859,0.508,0.232
27.777,1,1,shard-1-1,1,0.991000,1.000000,1.000000,3575,3324,1.0,1.0,6859,0.508,0.277
27.777,1,2,shard-1-2,1,0.990000,1.000000,1.000000,3575,3324,1.0,1.0,6859,0.508,0.325
33.615,0,0,shard-0-0,1,0.998000,1.000000,1.000000,4669,4386,1.0,1.0,8421,0.4,0.062
33.615,0,1,shard-0-1,1,0.998000,1.000000,1.000000,4669,4386,1.0,1.0,8421,0.4,0.083
33.615,0,2,shard-0-2,1,0.998000,1.000000,1.000000,4669,4386,1.0,1.0,8421,0.4,0.115
33.615,1,0,shard-1-0,1,0.997000,1.000000,1.000000,4292,4035,1.0,1.0,8421,0.4,0.179
33.615,1,1,shard-1-1,1,0.997000,1.000000,1.000000,4292,4035,1.0,1.0,8421,0.4,0.202
33.615,1,2,shard-1-2,1,0.997000,1.000000,1.000000,4292,4035,1.0,1.0,8421,0.4,0.224
39.243,0,0,shard-0-0,1,1.000000,1.000000,1.000000,5488,5186,1.0,1.0,9927,0.432,0.075
39.243,0,1,shard-0-1,1,1.000000,1.000000,1.000000,5488,5186,1.0,1.0,9927,0.432,0.1
39.243,0,2,shard-0-2,1,1.000000,1.000000,1.000000,5488,5186,1.0,1.0,9927,0.432,0.123
39.243,1,0,shard-1-0,1,0.991000,0.999000,1.000000,5025,4741,1.0,1.0,9927,0.432,0.149
39.243,1,1,shard-1-1,1,0.992000,0.999000,1.000000,5026,4741,1.0,1.0,9927,0.432,0.183
39.243,1,2,shard-1-2,1,0.992000,0.999000,1.000000,5026,4741,1.0,1.0,9927,0.432,0.206
44.887,0,0,shard-0-0,1,0.999000,1.000000,1.000000,6206,5919,1.0,1.0,11402,0.426,0.212
44.887,0,1,shard-0-1,1,0.999000,1.000000,1.000000,6206,5919,1.0,1.0,11402,0.426,0.262
44.887,0,2,shard-0-2,1,0.999000,1.000000,1.000000,6206,5919,1.0,1.0,11402,0.426,0.311
44.887,1,0,shard-1-0,1,0.993000,0.998000,1.000000,5749,5483,1.0,1.0,11402,0.426,0.345
44.887,1,1,shard-1-1,1,0.994000,0.999000,1.000000,5749,5483,1.0,1.0,11402,0.426,0.369
44.887,1,2,shard-1-2,1,0.993000,0.998000,1.000000,5749,5483,1.0,1.0,11402,0.426,0.399
50.715,0,0,shard-0-0,1,1.000000,1.000000,1.000000,7034,6742,1.0,1.0,12978,0.392,0.175
50.715,0,1,shard-0-1,1,1.000000,1.000000,1.000000,7034,6742,1.0,1.0,12978,0.392,0.276
50.715,0,2,shard-0-2,1,1.000000,1.000000,1.000000,7034,6742,1.0,1.0,12978,0.392,0.332
50.715,1,0,shard-1-0,1,0.999000,1.000000,1.000000,6507,6236,1.0,1.0,12978,0.392,0.372
50.715,1,1,shard-1-1,1,0.999000,1.000000,1.000000,6507,6236,1.0,1.0,12978,0.392,0.415
50.715,1,2,shard-1-2,1,0.999000,1.000000,1.000000,6507,6236,1.0,1.0,12978,0.392,0.45
56.564,0,0,shard-0-0,1,0.998000,1.000000,1.000000,7803,7521,1.0,1.0,14496,0.394,0.117
56.564,0,1,shard-0-1,1,0.998000,1.000000,1.000000,7803,7521,1.0,1.0,14496,0.394,0.207
56.564,0,2,shard-0-2,1,0.998000,1.000000,1.000000,7805,7521,1.0,1.0,14496,0.394,0.274
56.564,1,0,shard-1-0,1,0.996000,1.000000,1.000000,7268,6975,1.0,1.0,14496,0.394,0.319
56.564,1,1,shard-1-1,1,0.996000,1.000000,1.000000,7268,6975,1.0,1.0,14496,0.394,0.427
56.564,1,2,shard-1-2,1,0.996000,1.000000,1.000000,7269,6975,1.0,1.0,14496,0.394,0.538
62.856,0,0,shard-0-0,1,0.997000,1.000000,1.000000,8445,8326,1.0,1.0,16153,1.388,0.193
62.856,0,1,shard-0-1,1,0.996000,1.000000,1.000000,8445,8326,1.0,1.0,16153,1.388,0.382
62.856,0,2,shard-0-2,1,0.996000,1.000000,1.000000,8445,8326,1.0,1.0,16153,1.388,0.482
62.856,1,0,shard-1-0,1,0.999000,1.000000,1.000000,7944,7827,1.0,1.0,16153,1.388,0.657
62.856,1,1,shard-1-1,1,0.999000,1.000000,1.000000,7944,7827,1.0,1.0,16153,1.388,0.828
62.856,1,2,shard-1-2,1,0.999000,1.000000,1.000000,7944,7827,1.0,1.0,16153,1.388,0.939
70.322,0,0,shard-0-0,1,1.000000,1.000000,1.000000,8946,8838,1.0,1.0,17219,3.872,1.972
70.322,0,1,shard-0-1,1,0.999000,1.000000,1.000000,8946,8838,1.0,1.0,17219,3.872,2.143
70.322,0,2,shard-0-2,1,0.999000,1.000000,1.000000,8946,8838,1.0,1.0,17219,3.872,2.58
