t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
10.002,0,0,shard-0-0,1,0.985000,1.000000,1.000000,1526,1259,1.0,1.0,2445,0.449,0.038
10.002,0,1,shard-0-1,1,0.985000,1.000000,1.000000,1527,1259,1.0,1.0,2445,0.449,0.065
10.002,0,2,shard-0-2,1,0.985000,1.000000,1.000000,1528,1259,1.0,1.0,2445,0.449,0.097
10.002,1,0,shard-1-0,1,0.996000,1.000000,1.000000,1443,1186,1.0,1.0,2445,0.449,0.165
10.002,1,1,shard-1-1,1,0.996000,1.000000,1.000000,1442,1186,1.0,1.0,2445,0.449,0.218
10.002,1,2,shard-1-2,1,0.996000,1.000000,1.000000,1442,1186,1.0,1.0,2445,0.449,0.262
15.711,0,0,shard-0-0,1,0.998000,1.000000,1.000000,2355,2035,1.0,1.0,3971,0.379,0.014
15.711,0,1,shard-0-1,1,0.998000,1.000000,1.000000,2357,2035,1.0,1.0,3971,0.379,0.025
15.711,0,2,shard-0-2,1,0.998000,1.000000,1.000000,2357,2035,1.0,1.0,3971,0.379,0.037
15.711,1,0,shard-1-0,0,,,,,1936,1.0,,3971,,
15.711,1,1,shard-1-1,1,0.871000,1.000000,1.000000,2224,1936,1.0,,3971,0.379,0.049
15.711,1,2,shard-1-2,1,0.872000,1.000000,1.000000,2224,1936,1.0,,3971,0.379,0.058
21.15,0,0,shard-0-0,1,0.998000,1.000000,1.000000,3129,2830,0.995556,0.996667,5147,0.326,0.044
21.15,0,1,shard-0-1,1,0.997000,1.000000,1.000000,3129,2830,0.995556,0.993333,5147,0.326,0.076
21.15,0,2,shard-0-2,1,0.998000,1.000000,1.000000,3129,2830,0.995556,0.996667,5147,0.326,0.093
21.15,1,0,shard-1-0,1,0.990000,0.872000,0.863617,2267,2317,0.813333,0.72,5147,0.326,0.112
21.15,1,1,shard-1-1,1,0.886000,1.000000,1.000000,2928,2317,0.813333,0.86,5147,0.326,0.125
21.15,1,2,shard-1-2,1,0.886000,1.000000,1.000000,2929,2317,0.813333,0.86,5147,0.326,0.14
26.619,0,0,shard-0-0,1,0.995000,1.000000,1.000000,3545,3325,0.946667,0.92,6388,0.443,0.039
26.619,0,1,shard-0-1,1,0.902000,1.000000,1.000000,3960,3325,0.946667,0.96,6388,0.443,0.056
26.619,0,2,shard-0-2,1,0.902000,1.000000,1.000000,3960,3325,0.946667,0.96,6388,0.443,0.074
26.619,1,0,shard-1-0,1,0.995000,0.903000,0.895854,3011,3063,0.92,0.88,6388,0.443,0.095
26.619,1,1,shard-1-1,1,0.913000,1.000000,1.000000,3673,3063,0.92,0.94,6388,0.443,0.116
26.619,1,2,shard-1-2,1,0.913000,1.000000,1.000000,3673,3063,0.92,0.94,6388,0.443,0.131
32.198,0,0,shard-0-0,1,0.995000,1.000000,1.000000,4244,3986,0.968889,0.953333,7704,0.724,0.082
32.198,0,1,shard-0-1,1,0.916000,1.000000,1.000000,4659,3986,0.968889,0.976667,7704,0.724,0.137
32.198,0,2,shard-0-2,1,0.917000,1.000000,1.000000,4659,3986,0.968889,0.976667,7704,0.724,0.193
32.198,1,0,shard-1-0,1,0.997000,0.919000,0.914201,3580,3718,0.915556,0.873333,7704,0.724,0.279
32.198,1,1,shard-1-1,1,0.925000,1.000000,1.000000,4242,3718,0.915556,0.936667,7704,0.724,0.348
32.198,1,2,shard-1-2,1,0.925000,1.000000,1.000000,4242,3718,0.915556,0.936667,7704,0.724,0.377
38.305,0,0,shard-0-0,1,0.997000,1.000000,1.000000,5048,4756,0.973333,0.96,8975,0.36,0.033
38.305,0,1,shard-0-1,1,0.936000,0.999000,1.000000,5463,4756,0.973333,0.98,8975,0.36,0.054
38.305,0,2,shard-0-2,1,0.936000,0.999000,1.000000,5463,4756,0.973333,0.98,8975,0.36,0.079
38.305,1,0,shard-1-0,1,0.998000,0.927000,0.924390,4078,4219,0.866667,,8975,0.36,0.104
38.305,1,1,shard-1-1,1,0.936000,1.000000,1.000000,4740,4219,0.866667,,8975,0.36,0.128
38.305,1,2,shard-1-2,0,,,,,4219,0.866667,,8975,,
43.795,0,0,shard-0-0,1,0.997000,1.000000,1.000000,5838,5531,0.937778,0.906667,10244,0.348,0.039
43.795,0,1,shard-0-1,1,0.946000,0.999000,1.000000,6253,5531,0.937778,0.953333,10244,0.348,0.074
43.795,0,2,shard-0-2,1,0.946000,0.999000,1.000000,6253,5531,0.937778,0.953333,10244,0.348,0.108
43.795,1,0,shard-1-0,1,0.999000,0.933000,0.932315,4558,4713,0.871111,0.853333,10244,0.348,0.131
43.795,1,1,shard-1-1,1,0.942000,1.000000,1.000000,5220,4713,0.871111,0.89,10244,0.348,0.181
43.795,1,2,shard-1-2,1,0.936000,0.902000,0.901761,4758,4713,0.871111,0.87,10244,0.348,0.206
49.353,0,0,shard-0-0,1,0.997000,1.000000,1.000000,6563,6282,0.96,0.94,11500,0.295,0.057
49.353,0,1,shard-0-1,1,0.950000,1.000000,1.000000,6978,6282,0.96,0.97,11500,0.295,0.094
49.353,0,2,shard-0-2,1,0.950000,1.000000,1.000000,6978,6282,0.96,0.97,11500,0.295,0.145
49.353,1,0,shard-1-0,1,0.996000,0.943000,0.938865,5082,5218,0.846667,,11500,0.295,0.177
49.353,1,1,shard-1-1,0,,,,,5218,0.846667,,11500,,
49.353,1,2,shard-1-2,1,0.941000,0.911000,0.911269,5283,5218,0.846667,,11500,0.295,0.199
54.852,0,0,shard-0-0,1,0.997000,1.000000,1.000000,7312,7046,0.964444,0.946667,12665,0.379,0.045
54.852,0,1,shard-0-1,1,0.955000,1.000000,1.000000,7727,7046,0.964444,0.973333,12665,0.379,0.082
54.852,0,2,shard-0-2,1,0.956000,1.000000,1.000000,7727,7046,0.964444,0.973333,12665,0.379,0.122
54.852,1,0,shard-1-0,1,0.970000,0.947000,0.943228,5786,5619,0.855556,0.85,12665,0.379,0.174
54.852,1,1,shard-1-1,1,0.948000,0.970000,0.957466,5818,5619,0.855556,0.856667,12665,0.379,0.262
54.852,1,2,shard-1-2,1,0.918000,0.916000,0.917601,5987,5619,0.855556,0.86,12665,0.379,0.292
60.529,0,0,shard-0-0,1,0.997000,0.999000,1.000000,8046,7772,0.951111,0.926667,14182,0.379,0.042
60.529,0,1,shard-0-1,1,0.963000,0.999000,1.000000,8461,7772,0.951111,0.963333,14182,0.379,0.087
60.529,0,2,shard-0-2,1,0.963000,0.999000,1.000000,8461,7772,0.951111,0.963333,14182,0.379,0.135
60.529,1,0,shard-1-0,1,0.973000,0.951000,0.950234,6554,6410,0.82,0.823333,14182,0.379,0.18
60.529,1,1,shard-1-1,1,0.949000,0.895000,0.867395,6112,6410,0.82,0.79,14182,0.379,0.216
60.529,1,2,shard-1-2,1,0.926000,0.923000,0.927769,6754,6410,0.82,0.846667,14182,0.379,0.284
66.206,0,0,shard-0-0,1,0.999000,0.999000,1.000000,8748,8467,0.968889,0.953333,15603,0.445,0.053
66.206,0,1,shard-0-1,1,0.968000,0.999000,1.000000,9163,8467,0.968889,0.976667,15603,0.445,0.104
66.206,0,2,shard-0-2,1,0.968000,0.999000,1.000000,9163,8467,0.968889,0.976667,15603,0.445,0.164
66.206,1,0,shard-1-0,1,0.975000,0.954000,0.955297,7269,7136,0.846667,,15603,0.445,0.218
66.206,1,1,shard-1-1,0,,,,,7136,0.846667,,15603,,
66.206,1,2,shard-1-2,1,0.934000,0.928000,0.935118,7469,7136,0.846667,,15603,0.445,0.258
71.92,0,0,shard-0-0,1,0.999000,1.000000,1.000000,9481,9215,0.96,0.94,17091,0.406,0.05
71.92,0,1,shard-0-1,1,0.970000,1.000000,1.000000,9896,9215,0.96,0.97,17091,0.406,0.095
71.92,0,2,shard-0-2,1,0.970000,1.000000,1.000000,9897,9215,0.96,0.97,17091,0.406,0.14
71.92,1,0,shard-1-0,1,0.973000,0.960000,0.959497,7974,7876,0.822222,0.83,17091,0.406,0.183
71.92,1,1,shard-1-1,1,0.949000,0.857000,0.838243,7186,7876,0.822222,0.796667,17091,0.406,0.227
71.92,1,2,shard-1-2,1,0.935000,0.932000,0.941214,8175,7876,0.822222,0.84,17091,0.406,0.264
77.591,0,0,shard-0-0,1,0.997000,1.000000,1.000000,10232,9969,0.955556,0.933333,18416,0.772,0.143
77.591,0,1,shard-0-1,1,0.969000,1.000000,1.000000,10647,9969,0.955556,0.966667,18416,0.772,0.21
77.591,0,2,shard-0-2,1,0.969000,1.000000,1.000000,10647,9969,0.955556,0.966667,18416,0.772,0.29
77.591,1,0,shard-1-0,1,0.976000,0.961000,0.962235,8480,8447,0.866667,0.863333,18416,0.772,0.354
77.591,1,1,shard-1-1,1,0.957000,0.873000,0.849177,7691,8447,0.866667,0.853333,18416,0.772,0.396
77.591,1,2,shard-1-2,1,0.942000,0.936000,0.945188,8680,8447,0.866667,0.883333,18416,0.772,0.485
83.86,0,0,shard-0-0,1,0.998000,1.000000,1.000000,11012,10712,0.968889,0.953333,19498,0.384,0.062
83.86,0,1,shard-0-1,1,0.971000,1.000000,1.000000,11427,10712,0.968889,0.976667,19498,0.384,0.115
83.86,0,2,shard-0-2,1,0.972000,1.000000,1.000000,11427,10712,0.968889,0.976667,19498,0.384,0.168
83.86,1,0,shard-1-0,1,0.975000,0.961000,0.963692,8736,8786,0.822222,0.83,19498,0.384,0.217
83.86,1,1,shard-1-1,1,0.959000,0.880000,0.854314,7849,8786,0.822222,0.796667,19498,0.384,0.287
83.86,1,2,shard-1-2,1,0.943000,0.938000,0.947303,8936,8786,0.822222,0.84,19498,0.384,0.331
89.584,0,0,shard-0-0,0,,,,,11388,1.0,,20437,,
89.584,0,1,shard-0-1,1,0.943000,1.000000,1.000000,12246,11388,1.0,,20437,0.354,0.096
89.584,0,2,shard-0-2,1,0.943000,1.000000,1.000000,12246,11388,1.0,,20437,0.354,0.238
89.584,1,0,shard-1-0,1,0.975000,0.961000,0.964747,9000,9049,0.846667,0.866667,20437,0.354,0.459
89.584,1,1,shard-1-1,1,0.958000,0.862000,0.848050,8111,9049,0.846667,0.803333,20437,0.354,0.612
89.584,1,2,shard-1-2,1,0.943000,0.942000,0.948834,9201,9049,0.846667,0.87,20437,0.354,0.714
95.674,0,0,shard-0-0,1,1.000000,0.968000,0.964811,11585,11907,0.915556,0.873333,21547,0.371,0.062
95.674,0,1,shard-0-1,1,0.947000,1.000000,1.000000,13013,11907,0.915556,0.936667,21547,0.371,0.131
95.674,0,2,shard-0-2,1,0.947000,1.000000,1.000000,13013,11907,0.915556,0.936667,21547,0.371,0.196
95.674,1,0,shard-1-0,1,0.979000,0.962000,0.966909,9776,9640,0.837778,0.856667,21547,0.371,0.268
95.674,1,1,shard-1-1,1,0.963000,0.874000,0.857365,8886,9640,0.837778,0.803333,21547,0.371,0.31
95.674,1,2,shard-1-2,1,0.953000,0.944000,0.951971,9976,9640,0.837778,0.853333,21547,0.371,0.362
