t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
10.003,0,0,shard-0-0,1,0.970000,1.000000,1.000000,1030,824,0.998,0.9975,1563,2.164,0.091
10.003,0,1,shard-0-1,1,0.973000,1.000000,1.000000,1030,824,0.998,0.998,1563,2.164,0.165
10.003,0,2,shard-0-2,1,0.972000,1.000000,1.000000,1030,824,0.998,0.9985,1563,2.164,0.252
10.003,1,0,shard-1-0,1,0.967000,1.000000,1.000000,956,739,0.998,0.998,1563,2.164,0.368
10.003,1,1,shard-1-1,1,0.965000,1.000000,1.000000,956,739,0.998,0.998,1563,2.164,0.443
10.003,1,2,shard-1-2,1,0.967000,1.000000,1.000000,956,739,0.998,0.998,1563,2.164,0.503
17.685,0,0,shard-0-0,1,0.988000,1.000000,1.000000,1587,1385,0.999333,0.9995,2694,1.342,0.21
17.685,0,1,shard-0-1,1,0.988000,1.000000,1.000000,1587,1385,0.999333,0.9995,2694,1.342,0.3
17.685,0,2,shard-0-2,1,0.989000,1.000000,1.000000,1587,1385,0.999333,0.999,2694,1.342,0.632
17.685,1,0,shard-1-0,1,0.989000,0.999000,1.000000,1502,1309,1.0,1.0,2694,1.342,0.907
17.685,1,1,shard-1-1,1,0.989000,0.999000,1.000000,1502,1309,1.0,1.0,2694,1.342,1.101
17.685,1,2,shard-1-2,1,0.989000,0.999000,1.000000,1502,1309,1.0,1.0,2694,1.342,1.269
25.3,0,0,shard-0-0,1,0.995000,1.000000,1.000000,1829,1697,0.906,0.859,3594,0.532,0.075
25.3,0,1,shard-0-1,1,0.899000,1.000000,1.000000,2207,1697,0.906,0.9295,3594,0.532,0.126
25.3,0,2,shard-0-2,1,0.899000,1.000000,1.000000,2207,1697,0.906,0.9295,3594,0.532,0.167
25.3,1,0,shard-1-0,1,0.984000,1.000000,1.000000,2085,1897,0.998667,0.999,3594,0.532,0.201
25.3,1,1,shard-1-1,1,0.985000,1.000000,1.000000,2086,1897,0.998667,0.9985,3594,0.532,0.3
25.3,1,2,shard-1-2,1,0.983000,1.000000,1.000000,2088,1897,0.998667,0.9985,3594,0.532,0.353
31.196,0,0,shard-0-0,1,0.992000,0.959000,0.958244,2407,2323,0.834667,0.8375,4778,1.996,0.382
31.196,0,1,shard-0-1,1,0.914000,1.000000,1.000000,2787,2323,0.834667,0.859,4778,1.996,0.548
31.196,0,2,shard-0-2,1,0.901000,0.876000,0.884632,2337,2323,0.834667,0.8075,4778,1.996,0.713
31.196,1,0,shard-1-0,1,0.997000,1.000000,1.000000,2620,2455,0.999333,0.9995,4778,1.996,0.875
31.196,1,1,shard-1-1,1,0.996000,1.000000,1.000000,2620,2455,0.999333,0.999,4778,1.996,1.075
31.196,1,2,shard-1-2,1,0.997000,1.000000,1.000000,2620,2455,0.999333,0.9995,4778,1.996,1.215
39.427,0,0,shard-0-0,1,0.987000,0.878000,0.879707,2571,2868,0.798,0.7685,5823,2.278,0.178
39.427,0,1,shard-0-1,1,0.926000,1.000000,1.000000,3250,2868,0.798,0.8285,5823,2.278,0.383
39.427,0,2,shard-0-2,1,0.913000,0.845000,0.838563,2787,2868,0.798,0.797,5823,2.278,0.592
39.427,1,0,shard-1-0,1,0.994000,1.000000,1.000000,3051,2955,0.998667,0.999,5823,2.278,0.82
39.427,1,1,shard-1-1,1,0.992000,1.000000,1.000000,3052,2955,0.998667,0.998,5823,2.278,0.961
39.427,1,2,shard-1-2,1,0.994000,1.000000,1.000000,3053,2955,0.998667,0.999,5823,2.278,1.119
47.839,0,0,shard-0-0,1,0.997000,0.824000,0.820475,2968,3370,0.785,,6744,0.783,0.127
47.839,0,1,shard-0-1,1,0.943000,0.999000,1.000000,3855,3370,0.785,,6744,0.783,0.296
47.839,0,2,shard-0-2,0,,,,,3370,0.785,,6744,,
47.839,1,0,shard-1-0,1,0.996000,1.000000,1.000000,3564,3374,0.999333,0.9995,6744,0.783,0.486
47.839,1,1,shard-1-1,1,0.995000,1.000000,1.000000,3564,3374,0.999333,0.999,6744,0.783,0.654
47.839,1,2,shard-1-2,1,0.996000,1.000000,1.000000,3564,3374,0.999333,0.9995,6744,0.783,0.772
54.41,0,0,shard-0-0,1,0.994000,0.845000,0.843750,3446,3872,0.811,,7699,1.166,0.3
54.41,0,1,shard-0-1,1,0.948000,1.000000,1.000000,4334,3872,0.811,,7699,1.166,0.699
54.41,0,2,shard-0-2,0,,,,,3872,0.811,,7699,,
54.41,1,0,shard-1-0,1,0.997000,1.000000,1.000000,3988,3827,0.999333,0.999,7699,1.166,1.04
54.41,1,1,shard-1-1,1,0.996000,1.000000,1.000000,3989,3827,0.999333,0.9995,7699,1.166,1.198
54.41,1,2,shard-1-2,1,0.996000,1.000000,1.000000,3991,3827,0.999333,0.9995,7699,1.166,1.508
62.094,0,0,shard-0-0,1,0.993000,0.862000,0.860567,3798,4339,0.799,0.7835,8576,2.366,0.236
62.094,0,1,shard-0-1,1,0.951000,1.000000,1.000000,4688,4339,0.799,0.83,8576,2.366,0.486
62.094,0,2,shard-0-2,1,0.935000,0.819000,0.789122,3777,4339,0.799,0.7835,8576,2.366,0.808
62.094,1,0,shard-1-0,1,0.995000,1.000000,1.000000,4293,4237,1.0,1.0,8576,2.366,1.071
62.094,1,1,shard-1-1,1,0.995000,1.000000,1.000000,4293,4237,1.0,1.0,8576,2.366,1.311
62.094,1,2,shard-1-2,1,0.995000,1.000000,1.000000,4293,4237,1.0,1.0,8576,2.366,1.621
71.098,0,0,shard-0-0,1,0.995000,0.873000,0.867962,4032,4582,0.839,,9102,1.733,0.316
71.098,0,1,shard-0-1,1,0.954000,1.000000,1.000000,4919,4582,0.839,,9102,1.733,0.677
71.098,0,2,shard-0-2,0,,,,,4582,0.839,,9102,,
71.098,1,0,shard-1-0,1,0.995000,1.000000,1.000000,4619,4520,0.998667,0.9985,9102,1.733,1.054
71.098,1,1,shard-1-1,1,0.993000,1.000000,1.000000,4618,4520,0.998667,0.9985,9102,1.733,1.437
71.098,1,2,shard-1-2,1,0.994000,1.000000,1.000000,4619,4520,0.998667,0.999,9102,1.733,1.608
79.517,0,0,shard-0-0,1,0.998000,0.879000,0.875566,4422,4862,0.812,0.801,9734,1.268,0.131
79.517,0,1,shard-0-1,1,0.960000,1.000000,1.000000,5309,4862,0.812,0.8425,9734,1.268,0.258
79.517,0,2,shard-0-2,1,0.945000,0.814000,0.783834,4261,4862,0.812,0.7925,9734,1.268,0.4
79.517,1,0,shard-1-0,1,0.996000,1.000000,1.000000,5077,4872,1.0,1.0,9734,1.268,0.525
79.517,1,1,shard-1-1,1,0.996000,1.000000,1.000000,5080,4872,1.0,1.0,9734,1.268,0.599
79.517,1,2,shard-1-2,1,0.996000,1.000000,1.000000,5080,4872,1.0,1.0,9734,1.268,0.673
86.435,0,0,shard-0-0,1,0.991000,0.890000,0.884740,4771,5249,0.824,0.8135,10439,3.132,0.344
86.435,0,1,shard-0-1,1,0.953000,1.000000,1.000000,5658,5249,0.824,0.8525,10439,3.132,0.587
86.435,0,2,shard-0-2,1,0.941000,0.833000,0.799771,4610,5249,0.824,0.806,10439,3.132,1.109
86.435,1,0,shard-1-0,1,1.000000,0.998000,0.999229,5267,5190,0.966333,0.95,10439,3.132,1.975
86.435,1,1,shard-1-1,1,0.959000,0.999000,1.000000,5512,5190,0.966333,0.9745,10439,3.132,2.298
86.435,1,2,shard-1-2,1,0.959000,0.999000,1.000000,5512,5190,0.966333,0.9745,10439,3.132,2.453
97.039,0,0,shard-0-0,1,0.970000,0.895000,0.889800,5157,5490,0.830667,0.823,11039,2.32,1.429
97.039,0,1,shard-0-1,1,0.960000,0.994000,0.995628,5853,5490,0.830667,0.8505,11039,2.32,1.739
97.039,0,2,shard-0-2,1,0.924000,0.843000,0.808561,4998,5490,0.830667,0.8185,11039,2.32,1.882
97.039,1,0,shard-1-0,1,0.996000,0.991000,0.992972,5621,5549,0.967,0.9515,11039,2.32,2.139
97.039,1,1,shard-1-1,1,0.958000,1.000000,1.000000,5865,5549,0.967,0.975,11039,2.32,2.31
97.039,1,2,shard-1-2,1,0.956000,1.000000,1.000000,5866,5549,0.967,0.9745,11039,2.32,2.387
