t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
10.001,0,0,shard-0-0,1,0.989000,1.000000,1.000000,1496,1187,0.999333,0.9995,2311,0.33,0.014
10.001,0,1,shard-0-1,1,0.989000,1.000000,1.000000,1496,1187,0.999333,0.9995,2311,0.33,0.029
10.001,0,2,shard-0-2,1,0.988000,1.000000,1.000000,1497,1187,0.999333,0.999,2311,0.33,0.039
10.001,1,0,shard-1-0,1,0.986000,1.000000,1.000000,1404,1124,0.998667,0.999,2311,0.33,0.061
10.001,1,1,shard-1-1,1,0.987000,1.000000,1.000000,1404,1124,0.998667,0.9985,2311,0.33,0.078
10.001,1,2,shard-1-2,1,0.987000,1.000000,1.000000,1406,1124,0.998667,0.9985,2311,0.33,0.085
15.423,0,0,shard-0-0,1,0.986000,0.999000,1.000000,2242,1953,0.999333,0.9995,3818,0.53,0.035
15.423,0,1,shard-0-1,1,0.985000,0.999000,1.000000,2242,1953,0.999333,0.999,3818,0.53,0.05
15.423,0,2,shard-0-2,1,0.986000,0.999000,1.000000,2242,1953,0.999333,0.9995,3818,0.53,0.077
15.423,1,0,shard-1-0,1,0.987000,1.000000,1.000000,2136,1865,1.0,1.0,3818,0.53,0.099
15.423,1,1,shard-1-1,1,0.987000,0.999000,1.000000,2136,1865,1.0,1.0,3818,0.53,0.113
15.423,1,2,shard-1-2,1,0.987000,1.000000,1.000000,2136,1865,1.0,1.0,3818,0.53,0.13
21.085,0,0,shard-0-0,1,0.995000,1.000000,1.000000,2997,2697,1.0,1.0,5233,0.373,0.036
21.085,0,1,shard-0-1,1,0.995000,1.000000,1.000000,2997,2697,1.0,1.0,5233,0.373,0.075
21.085,0,2,shard-0-2,1,0.995000,1.000000,1.000000,2997,2697,1.0,1.0,5233,0.373,0.094
21.085,1,0,shard-1-0,1,0.996000,1.000000,1.000000,2817,2536,0.998667,0.999,5233,0.373,0.126
21.085,1,1,shard-1-1,1,0.996000,1.000000,1.000000,2818,2536,0.998667,0.999,5233,0.373,0.145
21.085,1,2,shard-1-2,1,0.994000,1.000000,1.000000,2818,2536,0.998667,0.998,5233,0.373,0.159
26.622,0,0,shard-0-0,1,0.994000,0.999000,1.000000,3662,3397,0.998667,0.9985,6583,0.682,0.056
26.622,0,1,shard-0-1,1,0.992000,0.999000,1.000000,3662,3397,0.998667,0.9985,6583,0.682,0.215
