t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
101.624,0,0,shard-0-0,1,0.996000,0.999000,1.000000,52940,52865,0.999333,0.9995,100512,0.803,0.478
101.624,0,1,shard-0-1,1,0.996000,0.999000,1.000000,53014,52865,0.999333,0.9995,100512,0.803,0.893
101.624,0,2,shard-0-2,1,0.995000,0.998000,1.000000,52940,52865,0.999333,0.999,100512,0.803,1.317
101.624,1,0,shard-1-0,1,0.995000,0.996000,1.000000,47732,47647,0.998,0.9975,100512,0.803,1.792
101.624,1,1,shard-1-1,1,0.997000,0.998000,1.000000,47732,47647,0.998,0.9985,100512,0.803,2.205
101.624,1,2,shard-1-2,1,0.998000,0.999000,1.000000,47732,47647,0.998,0.998,100512,0.803,2.589
110.103,0,0,shard-0-0,1,0.993000,0.998000,1.000000,57215,55228,0.998,0.997,104992,1.584,0.569
110.103,0,1,shard-0-1,1,0.995000,0.999000,1.000000,57155,55228,0.998,0.9985,104992,1.584,0.993
110.103,0,2,shard-0-2,1,0.995000,0.999000,1.000000,57196,55228,0.998,0.9985,104992,1.584,1.388
110.103,1,0,shard-1-0,1,0.995000,0.997000,1.000000,51585,49764,0.997333,0.9975,104992,1.584,1.898
110.103,1,1,shard-1-1,1,0.998000,0.998000,1.000000,51517,49764,0.997333,0.997,104992,1.584,2.264
110.103,1,2,shard-1-2,1,0.997000,0.999000,1.000000,51572,49764,0.997333,0.9975,104992,1.584,2.615
119.42,0,0,shard-0-0,1,0.995000,0.998000,1.000000,60664,58916,0.998667,0.998,111936,1.549,0.66
119.42,0,1,shard-0-1,1,0.995000,0.998000,1.000000,60633,58916,0.998667,0.999,111936,1.549,1.119
119.42,0,2,shard-0-2,1,0.995000,0.998000,1.000000,60664,58916,0.998667,0.999,111936,1.549,1.669
119.42,1,0,shard-1-0,1,0.997000,0.998000,1.000000,54613,53020,0.999333,0.999,111936,1.549,2.197
119.42,1,1,shard-1-1,1,0.998000,0.999000,1.000000,54552,53020,0.999333,0.9995,111936,1.549,2.689
119.42,1,2,shard-1-2,1,0.998000,0.999000,1.000000,54632,53020,0.999333,0.9995,111936,1.549,3.101
129.178,0,0,shard-0-0,1,0.993000,0.996000,1.000000,63576,61760,0.998667,0.998,117440,1.602,0.593
129.178,0,1,shard-0-1,1,0.995000,0.998000,1.000000,63595,61760,0.998667,0.999,117440,1.602,1.127
129.178,0,2,shard-0-2,1,0.995000,0.998000,1.000000,63544,61760,0.998667,0.999,117440,1.602,1.624
129.178,1,0,shard-1-0,1,0.993000,0.998000,1.000000,57240,55680,0.998,0.997,117440,1.602,2.291
129.178,1,1,shard-1-1,1,0.996000,0.999000,1.000000,57167,55680,0.998,0.9985,117440,1.602,2.816
129.178,1,2,shard-1-2,1,0.996000,0.999000,1.000000,57212,55680,0.998,0.9985,117440,1.602,3.269
139.152,0,0,shard-0-0,1,0.990000,0.996000,1.000000,67559,65765,0.996,0.997,124992,1.403,0.648
139.152,0,1,shard-0-1,1,0.991000,0.998000,1.000000,67559,65765,0.996,0.996,124992,1.403,1.184
139.152,0,2,shard-0-2,1,0.992000,0.995000,1.000000,67559,65765,0.996,0.995,124992,1.403,1.697
139.152,1,0,shard-1-0,1,0.999000,0.999000,1.000000,60761,59227,1.0,1.0,124992,1.403,2.343
139.152,1,1,shard-1-1,1,0.999000,1.000000,1.000000,60761,59227,1.0,1.0,124992,1.403,2.831
139.152,1,2,shard-1-2,1,0.999000,1.000000,1.000000,60761,59227,1.0,1.0,124992,1.403,3.303
148.958,0,0,shard-0-0,1,0.995000,0.997000,1.000000,70598,69307,0.996667,0.9975,131680,1.514,0.62
148.958,0,1,shard-0-1,1,0.996000,0.998000,1.000000,70598,69307,0.996667,0.997,131680,1.514,1.221
148.958,0,2,shard-0-2,1,0.991000,0.993000,1.000000,70583,69307,0.996667,0.9955,131680,1.514,1.786
148.958,1,0,shard-1-0,1,0.998000,1.000000,1.000000,63514,62373,0.999333,0.9995,131680,1.514,2.441
148.958,1,1,shard-1-1,1,0.997000,1.000000,1.000000,63514,62373,0.999333,0.999,131680,1.514,2.912
148.958,1,2,shard-1-2,1,0.998000,1.000000,1.000000,63514,62373,0.999333,0.9995,131680,1.514,3.404
158.992,0,0,shard-0-0,1,0.990000,0.995000,1.000000,74973,72889,0.998,0.998,138336,1.447,0.732
158.992,0,1,shard-0-1,1,0.991000,0.996000,1.000000,74958,72889,0.998,0.9985,138336,1.447,1.289
158.992,0,2,shard-0-2,1,0.990000,0.995000,1.000000,74908,72889,0.998,0.9975,138336,1.447,1.937
158.992,1,0,shard-1-0,1,0.996000,0.999000,1.000000,67256,65447,0.999333,0.999,138336,1.447,2.617
158.992,1,1,shard-1-1,1,0.997000,1.000000,1.000000,67314,65447,0.999333,0.9995,138336,1.447,3.151
158.992,1,2,shard-1-2,1,0.997000,1.000000,1.000000,67256,65447,0.999333,0.9995,138336,1.447,3.683
