t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
101.638,0,99612,100512,4,green,ok
101.638,1,97818,100526,4,green,ok
101.638,2,98049,100544,4,green,ok
106.833,0,99612,104864,6,yellow,ok
106.833,1,99909,104864,5,yellow,ok
106.833,2,100068,104881,6,yellow,ok
111.911,0,103770,109218,6,yellow,ok
111.911,1,104212,109199,5,yellow,ok
111.911,2,103940,109233,6,yellow,ok
117.033,0,107935,112608,6,yellow,ok
117.033,1,106508,112672,6,yellow,ok
117.033,2,106322,112685,6,yellow,ok
122.31,0,110042,115601,5,yellow,ok
122.31,1,108530,115552,6,yellow,ok
122.31,2,110689,115617,5,yellow,ok
127.616,0,114178,118560,5,yellow,ok
127.616,1,110785,118560,6,yellow,ok
127.616,2,113494,118560,6,yellow,ok
132.689,0,118392,122286,5,yellow,ok
132.689,1,116077,122334,6,yellow,ok
132.689,2,117702,122368,6,yellow,ok
137.859,0,122567,126521,7,yellow,ok
137.859,1,118306,126558,6,yellow,ok
137.859,2,119795,126624,6,yellow,ok
142.937,0,124780,129600,7,yellow,ok
142.937,1,120517,129600,6,yellow,ok
142.937,2,123902,129632,5,yellow,ok
148.299,0,127226,132947,7,yellow,ok
148.299,1,126458,132994,6,yellow,ok
148.299,2,128580,133024,5,yellow,ok
153.477,0,130326,135616,6,yellow,ok
153.477,1,128732,135688,7,yellow,ok
153.477,2,130732,135744,6,yellow,ok
158.882,0,133905,141600,7,yellow,ok
158.882,1,134133,141600,5,yellow,ok
158.882,2,134849,141600,5,yellow,ok
