t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
99.988,0,0,shard-0-0,1,0.999000,0.999000,1.000000,52815,52815,0.998667,0.9985,100416,0.627,0.298
99.988,0,1,shard-0-1,1,0.999000,0.999000,1.000000,52815,52815,0.998667,0.9985,100416,0.627,0.497
99.988,0,2,shard-0-2,1,1.000000,1.000000,1.000000,52815,52815,0.998667,0.999,100416,0.627,0.688
99.988,1,0,shard-1-0,1,0.998000,0.998000,1.000000,47601,47601,0.998,0.998,100416,0.627,0.975
99.988,1,1,shard-1-1,1,0.996000,0.996000,1.000000,47601,47601,0.998,0.998,100416,0.627,1.227
99.988,1,2,shard-1-2,1,0.996000,0.996000,1.000000,47601,47601,0.998,0.998,100416,0.627,1.468
107.139,0,0,shard-0-0,1,0.995000,0.999000,1.000000,54232,53531,0.998,0.9975,101792,1.907,0.587
107.139,0,1,shard-0-1,1,0.996000,0.999000,1.000000,54212,53531,0.998,0.998,101792,1.907,0.945
107.139,0,2,shard-0-2,1,0.997000,1.000000,1.000000,54212,53531,0.998,0.9985,101792,1.907,1.177
107.139,1,0,shard-1-0,1,0.997000,0.998000,1.000000,48892,48261,0.998667,0.999,101792,1.907,1.515
107.139,1,1,shard-1-1,1,0.996000,0.996000,1.000000,48892,48261,0.998667,0.9985,101792,1.907,1.797
107.139,1,2,shard-1-2,1,0.996000,0.996000,1.000000,48892,48261,0.998667,0.9985,101792,1.907,2.18
116.307,0,0,shard-0-0,1,0.999000,0.999000,1.000000,56506,55228,0.998667,0.999,104992,0.808,0.335
116.307,0,1,shard-0-1,1,0.999000,0.999000,1.000000,56471,55228,0.998667,0.998,104992,0.808,0.625
116.307,0,2,shard-0-2,1,0.999000,0.999000,1.000000,56506,55228,0.998667,0.999,104992,0.808,0.857
116.307,1,0,shard-1-0,1,0.998000,0.998000,1.000000,50889,49764,0.998,0.998,104992,0.808,1.116
116.307,1,1,shard-1-1,1,0.996000,0.997000,1.000000,50918,49764,0.998,0.998,104992,0.808,1.299
116.307,1,2,shard-1-2,1,0.996000,0.997000,1.000000,50918,49764,0.998,0.998,104992,0.808,1.493
123.654,0,0,shard-0-0,1,0.998000,0.999000,1.000000,56806,56614,0.998,0.9985,107616,0.985,0.526
123.654,0,1,shard-0-1,1,0.999000,0.999000,1.000000,56819,56614,0.998,0.997,107616,0.985,1.002
123.654,0,2,shard-0-2,1,0.998000,0.999000,1.000000,56825,56614,0.998,0.9985,107616,0.985,1.478
123.654,1,0,shard-1-0,1,0.997000,0.998000,1.000000,51207,51002,0.998,0.9985,107616,0.985,1.98
123.654,1,1,shard-1-1,1,0.996000,0.997000,1.000000,51194,51002,0.998,0.998,107616,0.985,2.358
123.654,1,2,shard-1-2,1,0.997000,0.997000,1.000000,51194,51002,0.998,0.9975,107616,0.985,2.771
132.482,0,0,shard-0-0,1,0.999000,0.999000,1.000000,59046,57940,0.998,0.9985,110112,1.001,0.332
132.482,0,1,shard-0-1,1,0.999000,0.999000,1.000000,59046,57940,0.998,0.9975,110112,1.001,0.769
132.482,0,2,shard-0-2,1,0.998000,0.999000,1.000000,59029,57940,0.998,0.998,110112,1.001,1.076
132.482,1,0,shard-1-0,1,0.998000,0.999000,1.000000,53114,52172,0.998,0.9985,110112,1.001,1.321
132.482,1,1,shard-1-1,1,0.996000,0.998000,1.000000,53114,52172,0.998,0.9975,110112,1.001,1.632
132.482,1,2,shard-1-2,1,0.997000,0.998000,1.000000,53114,52172,0.998,0.998,110112,1.001,1.882
140.406,0,0,shard-0-0,1,0.994000,0.997000,1.000000,60602,59328,0.995333,0.995,112736,1.847,0.637
140.406,0,1,shard-0-1,1,0.993000,0.999000,1.000000,60700,59328,0.995333,0.9945,112736,1.847,1.047
140.406,0,2,shard-0-2,1,0.995000,0.999000,1.000000,60646,59328,0.995333,0.9965,112736,1.847,1.487
140.406,1,0,shard-1-0,1,0.998000,0.999000,1.000000,54566,53408,0.998,0.9985,112736,1.847,2.083
140.406,1,1,shard-1-1,1,0.997000,0.998000,1.000000,54582,53408,0.998,0.998,112736,1.847,2.576
140.406,1,2,shard-1-2,1,0.996000,0.997000,1.000000,54582,53408,0.998,0.9975,112736,1.847,2.993
150.344,0,0,shard-0-0,1,0.993000,0.997000,1.000000,66521,63655,0.998667,0.999,120992,1.706,0.681
150.344,0,1,shard-0-1,1,0.993000,0.997000,1.000000,66593,63655,0.998667,0.999,120992,1.706,1.214
150.344,0,2,shard-0-2,1,0.991000,0.995000,1.000000,66551,63655,0.998667,0.998,120992,1.706,1.697
150.344,1,0,shard-1-0,1,0.997000,0.999000,1.000000,59881,57337,0.998667,0.9985,120992,1.706,2.459
150.344,1,1,shard-1-1,1,0.996000,0.999000,1.000000,59847,57337,0.998667,0.999,120992,1.706,2.94
150.344,1,2,shard-1-2,1,0.995000,0.998000,1.000000,59881,57337,0.998667,0.9985,120992,1.706,3.405
