t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
99.999,0,98161,100416,4,green,ok
99.999,1,98291,100416,4,green,ok
99.999,2,99206,100416,4,green,ok
105.143,0,98161,102656,5,yellow,ok
105.143,1,98291,102656,5,yellow,ok
105.143,2,99206,102656,4,yellow,ok
110.379,0,98161,103360,6,yellow,ok
110.379,1,98291,103394,6,yellow,ok
110.379,2,99206,103392,5,yellow,ok
115.419,0,102753,107395,5,yellow,ok
115.419,1,102825,107389,5,yellow,ok
115.419,2,103525,107424,4,yellow,ok
121.786,0,102753,108000,6,yellow,ok
121.786,1,102825,108013,6,yellow,ok
121.786,2,103525,108019,5,yellow,ok
126.934,0,104924,108451,5,yellow,ok
126.934,1,105038,108480,5,yellow,ok
126.934,2,103525,108533,6,yellow,ok
132.276,0,107524,112160,5,yellow,ok
132.276,1,107706,112256,4,yellow,ok
132.276,2,107917,112274,4,yellow,ok
138.492,0,107524,112849,6,yellow,ok
138.492,1,107581,112881,6,yellow,ok
138.492,2,107917,112896,5,yellow,ok
143.659,0,112318,116672,5,yellow,ok
143.659,1,112442,116704,5,yellow,ok
143.659,2,112661,116719,4,yellow,ok
148.823,0,114320,123168,6,yellow,ok
148.823,1,114491,123168,6,yellow,ok
148.823,2,114823,123168,6,yellow,ok
153.876,0,119134,127360,7,yellow,ok
153.876,1,119000,127360,7,yellow,ok
153.876,2,120043,127360,7,yellow,ok
159.096,0,121572,132288,7,yellow,ok
159.096,1,121646,132303,7,yellow,ok
159.096,2,124393,132305,7,yellow,ok
