t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
98.119,0,99761,100320,4,green,ok
98.119,1,99868,100320,4,green,ok
98.119,2,99198,100320,4,green,ok
103.143,0,99761,104800,6,yellow,ok
103.143,1,99868,104785,5,yellow,ok
103.143,2,101209,104800,5,yellow,ok
108.213,0,105983,108864,7,yellow,ok
108.213,1,106495,108878,6,yellow,ok
108.213,2,105361,108882,5,yellow,ok
113.336,0,108062,112224,6,yellow,ok
113.336,1,108275,112256,5,yellow,ok
113.336,2,107364,112276,5,yellow,ok
118.473,0,112622,116945,6,yellow,ok
118.473,1,112380,117024,5,yellow,ok
118.473,2,111560,117000,5,yellow,ok
123.713,0,113125,118976,5,yellow,ok
123.713,1,116419,118976,5,yellow,ok
129.28,0,118182,122357,5,yellow,ok
129.28,1,118462,122432,5,yellow,ok
129.28,2,118462,122432,5,yellow,ok
134.36,0,120264,122644,4,green,ok
134.36,1,120598,122752,4,green,ok
134.36,2,120264,122644,4,green,ok
139.746,0,122411,124562,4,green,ok
139.746,1,122728,124576,4,green,ok
139.746,2,122728,124623,4,green,ok
144.809,0,124442,126784,4,green,ok
144.809,1,124740,126784,4,green,ok
151.849,0,126455,130028,4,green,ok
151.849,1,126748,130048,4,green,ok
151.849,2,126383,130097,4,green,ok
157.015,0,128477,131040,5,yellow,ok
157.015,1,128807,130953,4,green,ok
162.078,0,130543,131040,4,green,ok
162.078,1,128807,130953,4,green,ok
168.19,0,130543,133920,4,green,ok
168.19,1,130973,133952,4,green,ok
168.19,2,280839,133987,16,yellow,ok
173.257,0,130543,135410,6,yellow,ok
173.257,1,130973,135406,5,yellow,ok
173.257,2,279172,135505,18,yellow,ok
178.708,0,132572,139029,6,yellow,ok
178.708,1,135123,139072,5,yellow,ok
178.708,2,283442,139072,17,yellow,ok
183.75,0,136719,142912,7,yellow,ok
183.75,1,137217,142912,6,yellow,ok
183.75,2,281307,142868,19,yellow,ok
188.908,0,139721,145868,7,yellow,ok
188.908,1,139304,145856,6,yellow,ok
188.908,2,285289,145907,19,yellow,ok
194.051,0,143306,148800,5,yellow,ok
194.051,1,141317,148800,6,yellow,ok
194.051,2,285289,148864,19,yellow,ok
199.296,0,143306,151008,6,yellow,ok
199.296,1,143918,151072,6,yellow,ok
199.296,2,285289,151072,19,yellow,ok
204.399,0,146226,154560,6,yellow,ok
204.399,1,148469,154560,6,yellow,ok
204.399,2,285289,154560,19,yellow,ok
209.526,0,148278,156800,6,yellow,ok
209.526,1,148373,156879,6,yellow,ok
209.526,2,285289,156928,19,yellow,ok
214.849,0,153863,161344,5,yellow,ok
214.849,1,153045,161408,5,yellow,ok
214.849,2,142675,161376,8,yellow,ok
