t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
95.378,0,98563,100352,4,green,ok
95.378,1,99356,100365,4,green,ok
95.378,2,97616,100384,4,green,ok
100.456,0,98563,103392,5,yellow,ok
100.456,1,99356,103392,5,yellow,ok
105.561,0,102742,104224,4,green,ok
105.561,1,103598,104224,4,green,ok
112.595,0,102742,107136,5,yellow,ok
112.595,1,103598,107136,4,green,ok
117.699,0,104772,111726,6,yellow,ok
117.699,2,104772,111744,6,yellow,ok
123.003,0,106861,112512,6,yellow,ok
123.003,2,108882,112832,5,yellow,ok
129.078,0,110884,115232,5,yellow,ok
129.078,1,710412,115165,56,yellow,ok
129.078,2,710412,115165,56,yellow,ok
134.141,0,112965,115316,4,green,ok
134.141,1,107809,115316,6,yellow,ok
141.185,0,112965,115374,4,green,ok
141.185,1,112354,115374,4,green,ok
146.334,0,112965,117733,6,yellow,ok
146.334,1,114380,117733,5,yellow,ok
146.334,2,112965,117749,6,yellow,ok
151.377,0,117169,119168,4,green,ok
151.377,2,117169,119200,4,green,ok
157.547,0,119216,124227,5,yellow,ok
157.547,1,119216,124260,5,yellow,ok
157.547,2,119216,124271,5,yellow,ok
163.084,0,119216,125888,6,yellow,ok
163.084,2,118146,125920,6,yellow,ok
170.202,0,123399,125998,5,yellow,ok
170.202,1,123399,125998,5,yellow,ok
170.202,2,125695,125998,5,yellow,ok
175.282,1,126329,126720,7,yellow,ok
175.282,2,126329,126720,7,yellow,ok
182.318,0,126329,127136,6,yellow,ok
182.318,1,126329,127136,6,yellow,ok
182.318,2,126329,127136,6,yellow,ok
187.698,1,126827,127808,4,green,ok
187.698,2,126827,127862,4,green,ok
193.999,0,129255,133216,5,yellow,ok
193.999,1,129255,133216,5,yellow,ok
193.999,2,128925,133151,5,yellow,ok
199.121,2,195716,133469,8,yellow,ok
208.177,0,133365,135735,4,green,ok
208.177,1,134249,135735,4,green,ok
208.177,2,133365,135735,4,green,ok
213.381,0,133365,136885,4,green,ok
213.381,1,134744,136885,4,green,ok
213.381,2,133365,136885,4,green,ok
