t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
92.385,0,0,shard-0-0,1,0.993000,0.995000,1.000000,53127,52883,0.998,0.998,100544,1.505,0.554
92.385,0,1,shard-0-1,1,0.992000,0.994000,1.000000,53051,52883,0.998,0.9985,100544,1.505,0.951
92.385,0,2,shard-0-2,1,0.993000,0.996000,1.000000,53069,52883,0.998,0.9975,100544,1.505,1.359
92.385,1,0,shard-1-0,1,0.994000,0.998000,1.000000,47845,47661,0.997333,0.9975,100544,1.505,1.848
92.385,1,1,shard-1-1,1,0.994000,0.997000,1.000000,47845,47661,0.997333,0.9975,100544,1.505,2.257
92.385,1,2,shard-1-2,1,0.993000,0.997000,1.000000,47845,47661,0.997333,0.997,100544,1.505,2.615
101.596,0,0,shard-0-0,1,0.995000,0.998000,1.000000,56979,55178,0.998,0.998,104896,1.281,0.736
101.596,0,1,shard-0-1,1,0.994000,0.997000,1.000000,56948,55178,0.998,0.9985,104896,1.281,1.497
101.596,0,2,shard-0-2,1,0.993000,0.996000,1.000000,56915,55178,0.998,0.9975,104896,1.281,1.905
101.596,1,0,shard-1-0,1,0.988000,0.995000,1.000000,51373,49718,0.996667,0.995,104896,1.281,2.424
101.596,1,1,shard-1-1,1,0.993000,0.997000,1.000000,51324,49718,0.996667,0.9975,104896,1.281,2.868
101.596,1,2,shard-1-2,1,0.993000,0.996000,1.000000,51324,49718,0.996667,0.9975,104896,1.281,3.296
111.261,0,0,shard-0-0,1,0.994000,0.997000,1.000000,60368,58425,0.998667,0.999,111008,1.857,0.672
111.261,0,1,shard-0-1,1,0.994000,0.996000,1.000000,60468,58425,0.998667,0.998,111008,1.857,1.141
111.261,0,2,shard-0-2,1,0.994000,0.997000,1.000000,60402,58425,0.998667,0.999,111008,1.857,1.665
111.261,1,0,shard-1-0,1,0.989000,0.999000,1.000000,54352,52583,0.996,0.9965,111008,1.857,2.334
111.261,1,1,shard-1-1,1,0.989000,0.999000,1.000000,54397,52583,0.996,0.9965,111008,1.857,2.778
111.261,1,2,shard-1-2,1,0.992000,0.998000,1.000000,54310,52583,0.996,0.995,111008,1.857,3.222
121.436,0,0,shard-0-0,0,,,,,61423,0.998,,116800,,
121.436,0,1,shard-0-1,1,0.990000,0.997000,1.000000,62460,61423,0.998,,116800,1.116,0.72
121.436,0,2,shard-0-2,1,0.990000,0.998000,1.000000,62491,61423,0.998,,116800,1.116,1.283
121.436,1,0,shard-1-0,0,,,,,55377,1.0,,116800,,
121.436,1,1,shard-1-1,1,0.993000,0.998000,1.000000,56292,55377,1.0,,116800,1.116,1.663
121.436,1,2,shard-1-2,1,0.993000,0.998000,1.000000,56292,55377,1.0,,116800,1.116,2.177
129.794,0,0,shard-0-0,1,0.996000,0.997000,1.000000,63742,63602,0.999,,120928,2.011,0.307
129.794,0,1,shard-0-1,0,,,,,63602,0.999,,120928,,
129.794,0,2,shard-0-2,1,0.995000,0.996000,1.000000,63742,63602,0.999,,120928,2.011,0.662
129.794,1,0,shard-1-0,1,0.999000,0.999000,1.000000,57344,57326,0.997,,120928,2.011,1.129
129.794,1,1,shard-1-1,0,,,,,57326,0.997,,120928,,
