t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
91.877,0,97091,100736,4,green,ok
91.877,1,98309,100736,4,green,ok
91.877,2,97928,100736,4,green,ok
96.945,0,99145,102400,5,yellow,ok
96.945,1,98309,102368,5,yellow,ok
96.945,2,97928,102415,5,yellow,ok
102.042,0,101256,105266,4,yellow,ok
102.042,1,100452,105215,5,yellow,ok
102.042,2,101397,105279,4,yellow,ok
107.388,0,101256,107136,6,yellow,ok
107.388,1,102492,107104,6,yellow,ok
107.388,2,104169,107200,5,yellow,ok
112.42,0,105395,110511,6,yellow,ok
112.42,1,106629,110560,5,yellow,ok
112.42,2,106250,110581,5,yellow,ok
117.829,0,107570,111843,5,yellow,ok
117.829,1,106629,111872,6,yellow,ok
117.829,2,108334,111891,5,yellow,ok
122.929,0,110834,115549,5,yellow,ok
122.929,1,110750,115535,6,yellow,ok
122.929,2,112532,115584,4,green,ok
128.044,0,112893,117440,5,yellow,ok
128.044,1,112834,117504,5,yellow,ok
128.044,2,112532,117487,5,yellow,ok
133.299,0,117144,121888,5,yellow,ok
133.299,1,117055,121888,5,yellow,ok
133.299,2,116749,121888,6,yellow,ok
138.455,0,119166,124192,5,yellow,ok
138.455,1,119125,124224,5,yellow,ok
138.455,2,120888,124234,4,yellow,ok
143.499,0,123602,127168,5,yellow,ok
143.499,1,121199,127060,6,yellow,ok
143.499,2,125173,127168,4,green,ok
148.613,0,125738,129984,5,yellow,ok
148.613,1,123724,130080,5,yellow,ok
148.613,2,125173,130049,6,yellow,ok
153.935,0,130118,136193,5,yellow,ok
153.935,1,125882,136224,6,yellow,ok
153.935,2,129401,136288,6,yellow,ok
159.191,0,132195,138574,5,yellow,ok
159.191,1,128273,138624,6,yellow,ok
159.191,2,131524,138688,6,yellow,ok
164.557,0,135373,140448,6,yellow,ok
164.557,1,136893,140557,6,yellow,ok
164.557,2,136689,140465,6,yellow,ok
169.652,0,137529,142576,5,yellow,ok
169.652,1,136893,142624,7,yellow,ok
169.652,2,138829,142624,6,yellow,ok
175.004,0,141688,146479,5,yellow,ok
175.004,1,140788,146464,6,yellow,ok
175.004,2,140177,146498,6,yellow,ok
180.094,0,143706,149120,6,yellow,ok
180.094,1,142827,149108,6,yellow,ok
180.094,2,144497,149152,5,yellow,ok
185.212,0,145758,151936,6,yellow,ok
185.212,1,146951,151968,5,yellow,ok
185.212,2,146552,152000,6,yellow,ok
190.609,0,150270,154336,5,yellow,ok
190.609,1,149039,154336,6,yellow,ok
190.609,2,148651,154368,6,yellow,ok
195.977,0,152423,157632,6,yellow,ok
195.977,1,153193,157632,5,yellow,ok
195.977,2,152762,157664,5,yellow,ok
201.066,0,154453,161408,6,yellow,ok
201.066,1,155316,161408,6,yellow,ok
201.066,2,154823,161472,6,yellow,ok
206.17,0,156567,162953,6,yellow,ok
206.17,1,157365,162967,6,yellow,ok
206.17,2,156959,162967,6,yellow,ok
211.383,0,161819,166560,7,yellow,ok
211.383,1,161447,166549,6,yellow,ok
211.383,2,161447,166624,6,yellow,ok
