t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
92.826,0,0,shard-0-0,1,0.993000,0.996000,1.000000,53216,53014,0.996,0.997,100800,0.933,0.587
92.826,0,1,shard-0-1,1,0.993000,0.996000,1.000000,53216,53014,0.996,0.996,100800,0.933,1.006
92.826,0,2,shard-0-2,1,0.997000,0.998000,1.000000,53145,53014,0.996,0.995,100800,0.933,1.386
92.826,1,0,shard-1-0,1,0.995000,0.997000,1.000000,47857,47786,0.999333,0.999,100800,0.933,1.905
92.826,1,1,shard-1-1,1,0.994000,0.996000,1.000000,47929,47786,0.999333,0.9995,100800,0.933,2.349
92.826,1,2,shard-1-2,1,0.994000,0.996000,1.000000,47897,47786,0.999333,0.9995,100800,0.933,2.727
101.57,0,0,shard-0-0,0,,,,,54584,0.996,,103776,,
101.57,0,1,shard-0-1,1,0.996000,0.997000,1.000000,54846,54584,0.996,,103776,2.013,0.495
101.57,0,2,shard-0-2,1,0.998000,0.999000,1.000000,54846,54584,0.996,,103776,2.013,0.903
101.57,1,0,shard-1-0,0,,,,,49192,0.998,,103776,,
101.57,1,1,shard-1-1,1,0.995000,0.997000,1.000000,49410,49192,0.998,,103776,2.013,1.295
101.57,1,2,shard-1-2,1,0.995000,0.997000,1.000000,49410,49192,0.998,,103776,2.013,1.652
110.315,0,0,shard-0-0,0,,,,,56220,0.995,,106848,,
110.315,0,1,shard-0-1,1,0.987000,0.996000,1.000000,57934,56220,0.995,,106848,1.33,0.616
110.315,0,2,shard-0-2,1,0.990000,0.999000,1.000000,57967,56220,0.995,,106848,1.33,1.1
110.315,1,0,shard-1-0,0,,,,,50628,0.998,,106848,,
110.315,1,1,shard-1-1,1,0.991000,0.997000,1.000000,52145,50628,0.998,,106848,1.33,1.63
110.315,1,2,shard-1-2,1,0.991000,0.997000,1.000000,52145,50628,0.998,,106848,1.33,2.081
118.802,0,0,shard-0-0,1,0.936000,0.937000,1.000000,58829,58368,0.937,,110880,2.023,0.644
118.802,0,1,shard-0-1,1,0.996000,0.997000,1.000000,58782,58368,0.937,,110880,2.023,1.1
118.802,0,2,shard-0-2,0,,,,,58368,0.937,,110880,,
118.802,1,0,shard-1-0,1,0.995000,0.915000,0.937043,49237,52512,0.912,,110880,2.023,1.642
118.802,1,1,shard-1-1,1,0.995000,0.997000,1.000000,52898,52512,0.912,,110880,2.023,2.068
118.802,1,2,shard-1-2,0,,,,,52512,0.912,,110880,,
127.974,0,0,shard-0-0,1,0.937000,0.940000,1.000000,61455,59320,0.94,0.928,112768,1.837,0.762
127.974,0,1,shard-0-1,1,0.993000,0.997000,1.000000,61386,59320,0.94,0.9525,112768,1.837,1.265
127.974,0,2,shard-0-2,1,0.997000,0.991000,0.988638,58920,59320,0.94,0.9395,112768,1.837,1.783
127.974,1,0,shard-1-0,1,0.995000,0.893000,0.920633,49237,53448,0.912,0.8935,112768,1.837,2.317
