t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
119.672,0,0,shard-0-0,1,0.998000,0.998000,1.000000,52940,52778,0.997333,0.9965,100352,0.838,0.544
119.672,0,1,shard-0-1,1,0.996000,0.996000,1.000000,52925,52778,0.997333,0.9975,100352,0.838,0.973
119.672,0,2,shard-0-2,1,0.997000,0.997000,1.000000,52925,52778,0.997333,0.998,100352,0.838,1.367
119.672,1,0,shard-1-0,1,0.990000,0.995000,1.000000,47744,47574,0.996667,0.9955,100352,0.838,1.828
119.672,1,1,shard-1-1,1,0.992000,0.996000,1.000000,47696,47574,0.996667,0.9975,100352,0.838,2.246
119.672,1,2,shard-1-2,1,0.993000,0.997000,1.000000,47696,47574,0.996667,0.997,100352,0.838,2.655
128.251,0,0,shard-0-0,1,0.995000,0.998000,1.000000,58044,55732,0.997333,0.997,106016,1.534,0.627
128.251,0,1,shard-0-1,1,0.992000,0.996000,1.000000,57992,55732,0.997333,0.9975,106016,1.534,1.099
128.251,0,2,shard-0-2,1,0.992000,0.997000,1.000000,57992,55732,0.997333,0.9975,106016,1.534,1.512
128.251,1,0,shard-1-0,1,0.991000,0.996000,1.000000,52216,50284,0.997333,0.996,106016,1.534,2.059
128.251,1,1,shard-1-1,1,0.992000,0.996000,1.000000,52273,50284,0.997333,0.998,106016,1.534,2.459
128.251,1,2,shard-1-2,1,0.992000,0.996000,1.000000,52228,50284,0.997333,0.998,106016,1.534,2.875
137.764,0,0,shard-0-0,1,0.998000,0.998000,1.000000,62378,60089,0.998667,0.9985,114176,1.816,0.646
137.764,0,1,shard-0-1,1,0.996000,0.996000,1.000000,62305,60089,0.998667,0.9985,114176,1.816,1.188
137.764,0,2,shard-0-2,1,0.997000,0.997000,1.000000,62322,60089,0.998667,0.999,114176,1.816,1.651
137.764,1,0,shard-1-0,1,0.992000,0.997000,1.000000,56159,54087,0.996,0.9955,114176,1.816,2.227
137.764,1,1,shard-1-1,1,0.991000,0.996000,1.000000,56159,54087,0.996,0.996,114176,1.816,2.684
137.764,1,2,shard-1-2,1,0.991000,0.995000,1.000000,56159,54087,0.996,0.9965,114176,1.816,3.137
147.815,0,0,shard-0-0,1,0.992000,0.998000,1.000000,66836,64217,0.996667,0.9955,122080,2.042,0.77
147.815,0,1,shard-0-1,1,0.990000,0.995000,1.000000,66748,64217,0.996667,0.9975,122080,2.042,1.348
147.815,0,2,shard-0-2,1,0.991000,0.995000,1.000000,66711,64217,0.996667,0.997,122080,2.042,1.961
147.815,1,0,shard-1-0,1,0.995000,0.995000,1.000000,60108,57863,0.997333,0.996,122080,2.042,2.558
147.815,1,1,shard-1-1,1,0.997000,0.997000,1.000000,60009,57863,0.997333,0.998,122080,2.042,3.032
147.815,1,2,shard-1-2,1,0.997000,0.997000,1.000000,60080,57863,0.997333,0.998,122080,2.042,3.557
158.552,0,0,shard-0-0,1,0.992000,0.997000,1.000000,69835,68152,0.998,0.9975,129472,1.935,0.764
