t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
99.569,0,0,shard-0-0,1,0.960000,0.970000,1.000000,52975,52778,0.98,0.985,100352,0.687,0.417
99.569,0,1,shard-0-1,1,0.990000,1.000000,1.000000,52975,52778,0.98,0.97,100352,0.687,0.667
99.569,0,2,shard-0-2,1,0.960000,0.970000,1.000000,52995,52778,0.98,0.985,100352,0.687,0.872
99.569,1,0,shard-1-0,1,1.000000,1.000000,1.000000,47715,47574,0.993333,0.995,100352,0.687,1.127
99.569,1,1,shard-1-1,1,1.000000,1.000000,1.000000,47748,47574,0.993333,0.995,100352,0.687,1.309
99.569,1,2,shard-1-2,1,0.990000,0.990000,1.000000,47761,47574,0.993333,0.99,100352,0.687,1.498
106.816,0,0,shard-0-0,1,0.970000,0.970000,1.000000,59328,55579,1.0,1.0,105696,1.611,0.352
106.816,0,1,shard-0-1,1,0.970000,0.970000,1.000000,59328,55579,1.0,1.0,105696,1.611,0.652
106.816,0,2,shard-0-2,1,0.970000,0.970000,1.000000,59328,55579,1.0,1.0,105696,1.611,0.931
106.816,1,0,shard-1-0,1,1.000000,1.000000,1.000000,53408,50117,0.993333,0.995,105696,1.611,1.212
106.816,1,1,shard-1-1,1,1.000000,1.000000,1.000000,53373,50117,0.993333,0.995,105696,1.611,1.42
106.816,1,2,shard-1-2,1,0.990000,0.990000,1.000000,53408,50117,0.993333,0.99,105696,1.611,1.59
115.108,0,0,shard-0-0,1,0.980000,0.980000,1.000000,62455,60980,1.0,1.0,115904,1.392,0.471
115.108,0,1,shard-0-1,1,0.980000,0.980000,1.000000,62340,60980,1.0,1.0,115904,1.392,0.748
115.108,0,2,shard-0-2,1,0.980000,0.980000,1.000000,62494,60980,1.0,1.0,115904,1.392,1.037
115.108,1,0,shard-1-0,1,0.980000,1.000000,1.000000,56280,54924,0.986667,0.99,115904,1.392,1.479
115.108,1,1,shard-1-1,1,1.000000,1.000000,1.000000,56188,54924,0.986667,0.98,115904,1.392,1.734
115.108,1,2,shard-1-2,1,0.980000,1.000000,1.000000,56322,54924,0.986667,0.99,115904,1.392,1.98
123.582,0,0,shard-0-0,1,0.980000,0.980000,1.000000,65731,64399,1.0,1.0,122432,1.244,0.457
123.582,0,1,shard-0-1,1,0.980000,0.980000,1.000000,65694,64399,1.0,1.0,122432,1.244,0.712
123.582,0,2,shard-0-2,1,0.980000,0.980000,1.000000,65731,64399,1.0,1.0,122432,1.244,1.011
123.582,1,0,shard-1-0,1,1.000000,1.000000,1.000000,59197,58033,1.0,1.0,122432,1.244,1.442
123.582,1,1,shard-1-1,1,1.000000,1.000000,1.000000,59197,58033,1.0,1.0,122432,1.244,1.707
123.582,1,2,shard-1-2,1,1.000000,1.000000,1.000000,59197,58033,1.0,1.0,122432,1.244,1.967
131.915,0,0,shard-0-0,1,0.980000,0.980000,1.000000,68062,66970,0.993333,0.995,127200,1.815,0.613
131.915,0,1,shard-0-1,1,0.990000,0.990000,1.000000,68016,66970,0.993333,0.99,127200,1.815,0.896
131.915,0,2,shard-0-2,1,0.980000,0.980000,1.000000,68062,66970,0.993333,0.995,127200,1.815,1.172
131.915,1,0,shard-1-0,1,0.990000,1.000000,1.000000,61273,60230,1.0,1.0,127200,1.815,1.549
131.915,1,1,shard-1-1,1,0.990000,1.000000,1.000000,61300,60230,1.0,1.0,127200,1.815,1.792
131.915,1,2,shard-1-2,1,0.990000,1.000000,1.000000,61238,60230,1.0,1.0,127200,1.815,2.094
140.947,0,0,shard-0-0,1,1.000000,1.000000,1.000000,71737,69902,1.0,1.0,132768,2.409,0.485
140.947,0,1,shard-0-1,1,1.000000,1.000000,1.000000,71819,69902,1.0,1.0,132768,2.409,0.795
140.947,0,2,shard-0-2,1,1.000000,1.000000,1.000000,71753,69902,1.0,1.0,132768,2.409,1.21
140.947,1,0,shard-1-0,1,1.000000,1.000000,1.000000,64426,62866,1.0,1.0,132768,2.409,1.659
140.947,1,1,shard-1-1,1,1.000000,1.000000,1.000000,64426,62866,1.0,1.0,132768,2.409,1.92
140.947,1,2,shard-1-2,1,1.000000,1.000000,1.000000,64471,62866,1.0,1.0,132768,2.409,2.205
150.673,0,0,shard-0-0,1,0.990000,1.000000,1.000000,75470,73568,1.0,1.0,139616,1.849,0.521
150.673,0,1,shard-0-1,1,0.990000,1.000000,1.000000,75395,73568,1.0,1.0,139616,1.849,0.827
150.673,0,2,shard-0-2,1,0.990000,1.000000,1.000000,75470,73568,1.0,1.0,139616,1.849,1.023
150.673,1,0,shard-1-0,1,0.990000,1.000000,1.000000,67740,66048,0.993333,0.995,139616,1.849,1.222
150.673,1,1,shard-1-1,1,0.980000,0.990000,1.000000,67709,66048,0.993333,0.99,139616,1.849,1.455
150.673,1,2,shard-1-2,1,0.990000,1.000000,1.000000,67709,66048,0.993333,0.995,139616,1.849,1.771
159.417,0,0,shard-0-0,1,1.000000,1.000000,1.000000,77929,76525,0.993333,0.995,145248,1.497,0.458
159.417,0,1,shard-0-1,1,0.990000,1.000000,1.000000,78074,76525,0.993333,0.99,145248,1.497,0.791
159.417,0,2,shard-0-2,1,1.000000,1.000000,1.000000,78000,76525,0.993333,0.995,145248,1.497,1.112
159.417,1,0,shard-1-0,1,1.000000,1.000000,1.000000,69975,68723,0.993333,0.99,145248,1.497,1.533
159.417,1,1,shard-1-1,1,0.990000,0.990000,1.000000,69993,68723,0.993333,0.995,145248,1.497,1.822
159.417,1,2,shard-1-2,1,0.990000,0.990000,1.000000,70086,68723,0.993333,0.995,145248,1.497,2.105
168.112,0,0,shard-0-0,1,1.000000,1.000000,1.000000,80892,79289,1.0,1.0,150464,2.018,0.568
168.112,0,1,shard-0-1,1,1.000000,1.000000,1.000000,80980,79289,1.0,1.0,150464,2.018,0.916
168.112,0,2,shard-0-2,1,1.000000,1.000000,1.000000,80908,79289,1.0,1.0,150464,2.018,1.279
168.112,1,0,shard-1-0,1,0.990000,0.990000,1.000000,72538,71175,1.0,1.0,150464,2.018,1.778
168.112,1,1,shard-1-1,1,0.990000,0.990000,1.000000,72596,71175,1.0,1.0,150464,2.018,2.094
168.112,1,2,shard-1-2,1,0.990000,0.990000,1.000000,72596,71175,1.0,1.0,150464,2.018,2.399
177.66,0,0,shard-0-0,1,1.000000,1.000000,1.000000,84668,82017,1.0,1.0,155648,2.098,0.586
177.66,0,1,shard-0-1,1,1.000000,1.000000,1.000000,84727,82017,1.0,1.0,155648,2.098,0.989
177.66,0,2,shard-0-2,1,1.000000,1.000000,1.000000,84759,82017,1.0,1.0,155648,2.098,1.353
177.66,1,0,shard-1-0,1,0.970000,0.990000,1.000000,76040,73631,1.0,1.0,155648,2.098,1.879
177.66,1,1,shard-1-1,1,0.970000,0.990000,1.000000,76125,73631,1.0,1.0,155648,2.098,2.179
177.66,1,2,shard-1-2,1,0.970000,0.990000,1.000000,76100,73631,1.0,1.0,155648,2.098,2.494
187.373,0,0,shard-0-0,1,1.000000,1.000000,1.000000,89086,86929,1.0,1.0,164992,2.002,0.641
187.373,0,1,shard-0-1,1,1.000000,1.000000,1.000000,89059,86929,1.0,1.0,164992,2.002,1.003
187.373,0,2,shard-0-2,1,1.000000,1.000000,1.000000,89059,86929,1.0,1.0,164992,2.002,1.366
187.373,1,0,shard-1-0,1,0.990000,0.990000,1.000000,80098,78063,0.993333,0.99,164992,2.002,1.948
187.373,1,1,shard-1-1,1,1.000000,1.000000,1.000000,80099,78063,0.993333,0.995,164992,2.002,2.27
187.373,1,2,shard-1-2,1,1.000000,1.000000,1.000000,79998,78063,0.993333,0.995,164992,2.002,2.599
197.126,0,0,shard-0-0,1,0.990000,0.990000,1.000000,91764,90198,0.986667,0.99,171232,2.269,0.694
197.126,0,1,shard-0-1,1,1.000000,1.000000,1.000000,91854,90198,0.986667,0.985,171232,2.269,1.077
197.126,0,2,shard-0-2,1,0.980000,0.980000,1.000000,91689,90198,0.986667,0.985,171232,2.269,1.482
197.126,1,0,shard-1-0,1,0.980000,0.990000,1.000000,82383,81034,0.993333,0.99,171232,2.269,2.123
197.126,1,1,shard-1-1,1,0.990000,1.000000,1.000000,82398,81034,0.993333,0.995,171232,2.269,2.477
197.126,1,2,shard-1-2,1,0.990000,1.000000,1.000000,82359,81034,0.993333,0.995,171232,2.269,2.829
207.386,0,0,shard-0-0,1,0.990000,0.990000,1.000000,95562,93146,0.993333,0.99,176800,2.2,0.743
207.386,0,1,shard-0-1,1,0.980000,0.980000,1.000000,95430,93146,0.993333,0.995,176800,2.2,1.17
207.386,0,2,shard-0-2,1,0.980000,0.980000,1.000000,95469,93146,0.993333,0.995,176800,2.2,1.572
207.386,1,0,shard-1-0,1,1.000000,1.000000,1.000000,85694,83654,1.0,1.0,176800,2.2,2.148
207.386,1,1,shard-1-1,1,1.000000,1.000000,1.000000,85626,83654,1.0,1.0,176800,2.2,2.575
207.386,1,2,shard-1-2,1,1.000000,1.000000,1.000000,85574,83654,1.0,1.0,176800,2.2,2.895
217.64,0,0,shard-0-0,1,0.970000,0.970000,1.000000,98761,96771,0.986667,0.985,183584,2.098,0.626
217.64,0,1,shard-0-1,1,0.980000,0.980000,1.000000,99039,96771,0.986667,0.985,183584,2.098,1.038
217.64,0,2,shard-0-2,1,0.980000,0.980000,1.000000,98833,96771,0.986667,0.99,183584,2.098,1.456
217.64,1,0,shard-1-0,1,1.000000,1.000000,1.000000,88679,86813,1.0,1.0,183584,2.098,2.008
217.64,1,1,shard-1-1,1,1.000000,1.000000,1.000000,88731,86813,1.0,1.0,183584,2.098,2.346
217.64,1,2,shard-1-2,1,1.000000,1.000000,1.000000,88731,86813,1.0,1.0,183584,2.098,2.69
