t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
245.196,0,0,shard-0-0,1,1.000000,1.000000,1.000000,106029,105612,1.0,1.0,200352,1.355,0.873
245.196,0,1,shard-0-1,1,1.000000,1.000000,1.000000,106103,105612,1.0,1.0,200352,1.355,1.635
245.196,0,2,shard-0-2,1,1.000000,1.000000,1.000000,106013,105612,1.0,1.0,200352,1.355,2.057
245.196,1,0,shard-1-0,1,0.980000,1.000000,1.000000,95091,94740,1.0,1.0,200352,1.355,2.692
245.196,1,1,shard-1-1,1,0.980000,1.000000,1.000000,95034,94740,1.0,1.0,200352,1.355,3.064
245.196,1,2,shard-1-2,1,0.980000,1.000000,1.000000,95091,94740,1.0,1.0,200352,1.355,3.472
255.17,0,0,shard-0-0,1,0.990000,1.000000,1.000000,111413,108554,0.993333,0.99,205952,2.52,0.707
255.17,0,1,shard-0-1,1,0.980000,0.990000,1.000000,111543,108554,0.993333,0.995,205952,2.52,1.152
255.17,0,2,shard-0-2,1,0.980000,0.990000,1.000000,111556,108554,0.993333,0.995,205952,2.52,1.638
255.17,1,0,shard-1-0,1,0.990000,1.000000,1.000000,99909,97398,1.0,1.0,205952,2.52,2.31
255.17,1,1,shard-1-1,1,0.990000,1.000000,1.000000,99965,97398,1.0,1.0,205952,2.52,2.67
255.17,1,2,shard-1-2,1,0.990000,1.000000,1.000000,100073,97398,1.0,1.0,205952,2.52,3.045
265.92,0,0,shard-0-0,1,0.980000,0.990000,1.000000,115338,113617,1.0,1.0,215520,2.866,0.828
265.92,0,1,shard-0-1,1,0.980000,1.000000,1.000000,115317,113617,1.0,1.0,215520,2.866,1.295
265.92,0,2,shard-0-2,1,0.980000,1.000000,1.000000,115392,113617,1.0,1.0,215520,2.866,1.791
265.92,1,0,shard-1-0,1,1.000000,1.000000,1.000000,103436,101903,0.993333,0.995,215520,2.866,2.56
265.92,1,1,shard-1-1,1,1.000000,1.000000,1.000000,103386,101903,0.993333,0.995,215520,2.866,2.997
265.92,1,2,shard-1-2,1,0.990000,0.990000,1.000000,103478,101903,0.993333,0.99,215520,2.866,3.537
277.521,0,0,shard-0-0,1,1.000000,1.000000,1.000000,118768,117187,1.0,,222336,2.651,0.788
277.521,0,1,shard-0-1,1,1.000000,1.000000,1.000000,118698,117187,1.0,,222336,2.651,1.231
277.521,0,2,shard-0-2,0,,,,,117187,1.0,,222336,,
277.521,1,0,shard-1-0,1,0.990000,1.000000,1.000000,106529,105149,0.99,,222336,2.651,1.811
277.521,1,1,shard-1-1,1,1.000000,0.990000,1.000000,106529,105149,0.99,,222336,2.651,2.164
277.521,1,2,shard-1-2,0,,,,,105149,0.99,,222336,,
287.477,0,0,shard-0-0,1,1.000000,1.000000,1.000000,119243,119017,1.0,,225760,2.019,0.766
287.477,0,1,shard-0-1,1,1.000000,1.000000,1.000000,119243,119017,1.0,,225760,2.019,1.296
287.477,0,2,shard-0-2,0,,,,,119017,1.0,,225760,,
287.477,1,0,shard-1-0,1,0.990000,1.000000,1.000000,106965,106743,1.0,,225760,2.019,2.136
287.477,1,1,shard-1-1,1,0.990000,1.000000,1.000000,106965,106743,1.0,,225760,2.019,2.544
287.477,1,2,shard-1-2,0,,,,,106743,1.0,,225760,,
297.18,0,0,shard-0-0,0,,,,,120877,1.0,,229344,,
297.18,0,1,shard-0-1,1,0.990000,1.000000,1.000000,121585,120877,1.0,,229344,2.339,0.937
297.18,0,2,shard-0-2,1,0.990000,1.000000,1.000000,121585,120877,1.0,,229344,2.339,1.57
297.18,1,0,shard-1-0,0,,,,,108467,0.99,,229344,,
297.18,1,1,shard-1-1,1,1.000000,1.000000,1.000000,109045,108467,0.99,,229344,2.339,2.284
297.18,1,2,shard-1-2,1,0.990000,0.990000,0.992615,107731,108467,0.99,,229344,2.339,2.773
307.459,0,0,shard-0-0,0,,,,,121522,1.0,,230560,,
307.459,0,1,shard-0-1,1,1.000000,1.000000,1.000000,122985,121522,1.0,,230560,2.848,0.783
307.459,0,2,shard-0-2,1,1.000000,1.000000,1.000000,123001,121522,1.0,,230560,2.848,1.449
307.459,1,0,shard-1-0,0,,,,,109038,1.0,,230560,,
307.459,1,1,shard-1-1,1,1.000000,1.000000,1.000000,110314,109038,1.0,,230560,2.848,2.079
307.459,1,2,shard-1-2,1,1.000000,1.000000,1.000000,110375,109038,1.0,,230560,2.848,2.48
317.935,0,0,shard-0-0,1,0.990000,1.000000,1.000000,124676,123320,1.0,1.0,233984,3.865,0.538
317.935,0,1,shard-0-1,1,0.990000,1.000000,1.000000,124824,123320,1.0,1.0,233984,3.865,0.918
317.935,0,2,shard-0-2,1,0.990000,1.000000,1.000000,124806,123320,1.0,1.0,233984,3.865,1.418
317.935,1,0,shard-1-0,1,1.000000,0.980000,0.996440,110381,110664,0.98,0.975,233984,3.865,2.208
317.935,1,1,shard-1-1,1,0.990000,0.990000,1.000000,111932,110664,0.98,0.98,233984,3.865,2.737
317.935,1,2,shard-1-2,1,1.000000,1.000000,1.000000,111904,110664,0.98,0.985,233984,3.865,3.204
330.213,0,0,shard-0-0,1,0.990000,1.000000,1.000000,126306,124891,0.986667,0.99,236992,2.229,0.878
330.213,0,1,shard-0-1,1,0.980000,1.000000,1.000000,126306,124891,0.986667,0.985,236992,2.229,1.416
330.213,0,2,shard-0-2,1,1.000000,1.000000,1.000000,125026,124891,0.986667,0.985,236992,2.229,1.99
330.213,1,0,shard-1-0,1,1.000000,1.000000,0.999643,112126,112101,0.986667,0.99,236992,2.229,2.841
330.213,1,1,shard-1-1,1,0.990000,0.990000,1.000000,113055,112101,0.986667,0.98,236992,2.229,3.356
330.213,1,2,shard-1-2,1,1.000000,1.000000,1.000000,112222,112101,0.986667,0.99,236992,2.229,3.993
341.681,0,0,shard-0-0,1,0.980000,1.000000,1.000000,131306,128765,0.953333,0.965,244096,2.888,1.115
341.681,0,1,shard-0-1,1,0.980000,1.000000,1.000000,131306,128765,0.953333,0.965,244096,2.888,1.774
341.681,0,2,shard-0-2,1,1.000000,0.950000,0.970202,125026,128765,0.953333,0.93,244096,2.888,2.31
341.681,1,0,shard-1-0,1,1.000000,0.970000,0.971647,112126,115331,0.966667,0.975,244096,2.888,3.084
341.681,1,1,shard-1-1,1,0.980000,0.980000,1.000000,117558,115331,0.966667,0.95,244096,2.888,3.758
341.681,1,2,shard-1-2,1,1.000000,0.970000,0.972228,112222,115331,0.966667,0.975,244096,2.888,4.214
353.99,0,0,shard-0-0,1,1.000000,1.000000,1.000000,137429,134691,0.913333,0.935,255168,2.402,0.917
353.99,0,1,shard-0-1,1,1.000000,1.000000,1.000000,137429,134691,0.913333,0.935,255168,2.402,1.351
353.99,0,2,shard-0-2,1,1.000000,0.890000,0.927516,125026,134691,0.913333,0.87,255168,2.402,1.876
353.99,1,0,shard-1-0,1,1.000000,0.920000,0.931182,112398,120477,0.926667,0.945,255168,2.402,2.6
353.99,1,1,shard-1-1,1,0.980000,0.990000,1.000000,122991,120477,0.926667,0.89,255168,2.402,3.061
353.99,1,2,shard-1-2,1,1.000000,0.920000,0.930700,112222,120477,0.926667,0.945,255168,2.402,3.546
365.151,0,0,shard-0-0,1,0.990000,1.000000,1.000000,137799,137263,0.906667,0.93,260160,2.114,0.976
365.151,0,1,shard-0-1,1,0.990000,1.000000,1.000000,137871,137263,0.906667,0.93,260160,2.114,1.59
365.151,0,2,shard-0-2,1,1.000000,0.870000,0.910136,125026,137263,0.906667,0.86,260160,2.114,2.15
365.151,1,0,shard-1-0,1,1.000000,1.000000,1.000000,123473,122897,0.916667,0.935,260160,2.114,3.025
365.151,1,1,shard-1-1,1,0.990000,0.990000,1.000000,123473,122897,0.916667,0.935,260160,2.114,3.566
365.151,1,2,shard-1-2,1,1.000000,0.890000,0.912374,112222,122897,0.916667,0.88,260160,2.114,4.014
