t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
245.226,0,198938,200352,4,green,ok
245.226,1,200352,200370,4,green,ok
245.226,2,200352,200384,4,green,ok
250.276,0,198938,204032,5,yellow,ok
250.276,1,200352,204032,4,green,ok
250.276,2,200352,204032,4,green,ok
255.312,0,203023,210784,5,yellow,ok
255.312,1,202496,210784,6,yellow,ok
255.312,2,202508,210784,6,yellow,ok
260.45,0,205112,213376,5,yellow,ok
260.45,1,204723,213376,5,yellow,ok
260.45,2,204735,213428,5,yellow,ok
265.674,0,207940,217888,7,yellow,ok
265.674,1,207392,217920,7,yellow,ok
265.674,2,207288,217888,7,yellow,ok
270.782,0,212317,219936,7,yellow,ok
270.782,1,212196,219936,6,yellow,ok
270.782,2,212043,219948,7,yellow,ok
276.057,0,214345,224064,6,yellow,ok
276.057,1,212196,224004,7,yellow,ok
276.057,2,212043,224064,7,yellow,ok
281.11,0,216476,225376,7,yellow,ok
281.11,1,216795,225376,7,yellow,ok
286.714,0,224165,226176,6,yellow,ok
286.714,1,225156,226176,6,yellow,ok
293.74,0,225153,229600,5,yellow,ok
293.74,1,225458,229533,5,yellow,ok
293.74,2,225458,229533,5,yellow,ok
298.854,1,227561,230630,5,yellow,ok
298.854,2,219230,230630,7,yellow,ok
304.073,2,221257,230802,6,yellow,ok
310.19,1,229588,233376,5,yellow,ok
310.19,2,230854,233376,6,yellow,ok
317.244,0,231458,235928,5,yellow,ok
317.244,1,231637,236000,5,yellow,ok
317.244,2,231458,235928,5,yellow,ok
322.288,0,229763,237115,8,yellow,ok
322.288,1,233693,237115,5,yellow,ok
322.288,2,231458,237184,6,yellow,ok
327.477,0,235804,237312,6,yellow,ok
327.477,1,235779,237312,4,green,ok
334.412,0,235853,241134,6,yellow,ok
334.412,1,235779,241216,6,yellow,ok
334.412,2,235779,241312,6,yellow,ok
339.898,0,237928,245900,7,yellow,ok
339.898,1,237854,245964,6,yellow,ok
339.898,2,237854,246016,6,yellow,ok
345.005,0,242065,249888,7,yellow,ok
345.005,1,239901,249903,6,yellow,ok
345.005,2,239901,249952,6,yellow,ok
350.305,0,244953,254322,7,yellow,ok
350.305,1,239901,254400,6,yellow,ok
350.305,2,239901,254418,6,yellow,ok
355.425,0,248893,260420,5,yellow,ok
355.425,1,241975,260420,6,yellow,ok
355.425,2,241975,260420,6,yellow,ok
360.657,0,251012,260420,5,yellow,ok
360.657,1,251393,260420,6,yellow,ok
360.657,2,251393,260420,6,yellow,ok
366.224,0,255050,261152,7,yellow,ok
366.224,1,252368,261199,5,yellow,ok
366.224,2,252368,261233,5,yellow,ok
