t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
208.913,0,196515,200288,4,green,ok
208.913,1,196442,200288,4,green,ok
208.913,2,193462,200320,4,green,ok
214.003,0,196515,206272,4,green,ok
214.003,1,196442,206272,4,green,ok
214.003,2,193462,206272,4,green,ok
219.038,0,196515,215392,5,yellow,ok
219.038,1,196442,215392,5,yellow,ok
219.038,2,193462,215392,6,yellow,ok
224.108,0,196515,217007,5,yellow,ok
224.108,1,196442,217024,5,yellow,ok
224.108,2,193462,217088,6,yellow,ok
229.363,0,196515,220448,6,yellow,ok
229.363,1,196442,220448,6,yellow,ok
229.363,2,193462,220448,6,yellow,ok
234.571,0,196515,223264,6,yellow,ok
234.571,1,196442,223360,6,yellow,ok
234.571,2,193462,223392,6,yellow,ok
239.866,0,206547,229088,5,yellow,ok
239.866,1,196442,229088,6,yellow,ok
239.866,2,203532,229137,5,yellow,ok
244.908,0,206547,233248,5,yellow,ok
244.908,1,206524,233266,5,yellow,ok
244.908,2,203532,233274,6,yellow,ok
250.156,0,206547,235409,6,yellow,ok
250.156,1,206524,235424,6,yellow,ok
250.156,2,203532,235424,6,yellow,ok
255.242,0,216585,238739,5,yellow,ok
255.242,1,206524,238688,6,yellow,ok
255.242,2,203532,238784,6,yellow,ok
260.416,0,216585,241164,6,yellow,ok
260.416,1,206524,241280,6,yellow,ok
260.416,2,213592,241280,5,yellow,ok
265.88,0,216585,245365,6,yellow,ok
265.88,1,206524,245376,6,yellow,ok
265.88,2,223600,245376,6,yellow,ok
270.963,0,216585,248896,6,yellow,ok
270.963,1,216594,248884,5,yellow,ok
270.963,2,223600,248896,7,yellow,ok
276.036,0,216585,251104,6,yellow,ok
276.036,1,216594,251104,6,yellow,ok
276.036,2,223600,251104,7,yellow,ok
281.119,0,216585,255328,6,yellow,ok
281.119,1,216594,255362,6,yellow,ok
281.119,2,223600,255360,7,yellow,ok
286.205,0,216585,257696,6,yellow,ok
286.205,1,216594,257664,6,yellow,ok
286.205,2,223600,257728,7,yellow,ok
291.38,0,226692,262240,6,yellow,ok
291.38,1,226663,262240,6,yellow,ok
291.38,2,236932,262240,6,yellow,ok
296.467,0,226692,264672,6,yellow,ok
296.467,1,226663,264672,6,yellow,ok
296.467,2,236932,264735,7,yellow,ok
301.601,0,226692,267296,6,yellow,ok
301.601,1,226663,267328,6,yellow,ok
301.601,2,236932,267328,7,yellow,ok
306.898,0,226692,270272,6,yellow,ok
306.898,1,226663,270304,6,yellow,ok
306.898,2,236932,270321,7,yellow,ok
312.012,0,226692,272160,6,yellow,ok
312.012,1,226663,272172,6,yellow,ok
312.012,2,236932,272237,7,yellow,ok
317.314,0,248131,276064,7,yellow,ok
317.314,1,226663,276110,6,yellow,ok
317.314,2,243554,276128,5,yellow,ok
322.403,0,248131,279009,7,yellow,ok
322.403,1,226663,279040,6,yellow,ok
322.403,2,243554,279007,6,yellow,ok
327.628,0,248131,281760,7,yellow,ok
327.628,1,226663,281760,6,yellow,ok
327.628,2,243554,281792,6,yellow,ok
