t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
151.754,0,0,shard-0-0,1,0.988000,0.997000,1.000000,52976,52679,0.999333,0.999,100160,1.328,0.706
151.754,0,1,shard-0-1,1,0.989000,0.997000,1.000000,52995,52679,0.999333,0.9995,100160,1.328,1.256
151.754,0,2,shard-0-2,1,0.989000,0.997000,1.000000,52995,52679,0.999333,0.9995,100160,1.328,1.733
151.754,1,0,shard-1-0,1,0.994000,0.999000,1.000000,47760,47481,0.997333,0.9965,100160,1.328,2.37
151.754,1,1,shard-1-1,1,0.992000,0.996000,1.000000,47732,47481,0.997333,0.9975,100160,1.328,2.952
151.754,1,2,shard-1-2,1,0.993000,0.997000,1.000000,47760,47481,0.997333,0.998,100160,1.328,3.473
161.662,0,0,shard-0-0,1,0.991000,0.997000,1.000000,57467,55751,0.996667,0.9955,106048,2.398,0.712
161.662,0,1,shard-0-1,1,0.995000,0.998000,1.000000,57366,55751,0.996667,0.9975,106048,2.398,1.345
161.662,0,2,shard-0-2,1,0.994000,0.997000,1.000000,57350,55751,0.996667,0.997,106048,2.398,1.935
161.662,1,0,shard-1-0,1,0.997000,0.999000,1.000000,51752,50297,0.996667,0.997,106048,2.398,2.774
161.662,1,1,shard-1-1,1,0.995000,0.997000,1.000000,51738,50297,0.996667,0.997,106048,2.398,3.398
161.662,1,2,shard-1-2,1,0.993000,0.998000,1.000000,51765,50297,0.996667,0.996,106048,2.398,3.997
173.187,0,0,shard-0-0,1,0.996000,0.998000,1.000000,60781,59871,0.998,0.9975,113760,3.064,0.791
173.187,0,1,shard-0-1,1,0.996000,0.998000,1.000000,60825,59871,0.998,0.9985,113760,3.064,1.374
173.187,0,2,shard-0-2,1,0.995000,0.997000,1.000000,60781,59871,0.998,0.998,113760,3.064,1.899
173.187,1,0,shard-1-0,1,0.996000,0.996000,1.000000,54739,53889,0.998,0.9985,113760,3.064,2.661
173.187,1,1,shard-1-1,1,0.996000,0.996000,1.000000,54739,53889,0.998,0.9985,113760,3.064,3.307
173.187,1,2,shard-1-2,1,0.997000,0.998000,1.000000,54739,53889,0.998,0.997,113760,3.064,3.828
185.186,0,0,shard-0-0,1,0.995000,0.999000,1.000000,63995,62061,0.997333,0.9975,118016,2.616,0.809
185.186,0,1,shard-0-1,1,0.995000,0.998000,1.000000,63946,62061,0.997333,0.9975,118016,2.616,1.512
185.186,0,2,shard-0-2,1,0.992000,0.996000,1.000000,63995,62061,0.997333,0.997,118016,2.616,2.157
185.186,1,0,shard-1-0,1,0.989000,0.996000,1.000000,57555,55955,0.996667,0.997,118016,2.616,2.773
185.186,1,1,shard-1-1,1,0.990000,0.997000,1.000000,57555,55955,0.996667,0.9975,118016,2.616,3.296
185.186,1,2,shard-1-2,1,0.988000,0.997000,1.000000,57622,55955,0.996667,0.9955,118016,2.616,3.805
196.705,0,0,shard-0-0,1,0.992000,0.999000,1.000000,66608,65411,0.995333,0.995,124320,3.398,0.81
196.705,0,1,shard-0-1,1,0.987000,0.995000,1.000000,66711,65411,0.995333,0.9955,124320,3.398,1.586
196.705,0,2,shard-0-2,1,0.989000,0.996000,1.000000,66593,65411,0.995333,0.9955,124320,3.398,2.365
196.705,1,0,shard-1-0,1,0.996000,0.997000,1.000000,59950,58909,0.998,0.998,124320,3.398,3.115
196.705,1,1,shard-1-1,1,0.997000,0.998000,1.000000,59920,58909,0.998,0.9985,124320,3.398,3.71
196.705,1,2,shard-1-2,1,0.997000,0.997000,1.000000,59881,58909,0.998,0.9975,124320,3.398,4.322
209.538,0,0,shard-0-0,0,,,,,68123,,,129408,,
209.538,0,1,shard-0-1,1,0.991000,0.995000,1.000000,69209,68123,,,129408,6.947,1.047
209.538,0,2,shard-0-2,0,,,,,68123,,,129408,,
209.538,1,0,shard-1-0,1,0.994000,0.998000,1.000000,62174,61285,0.999,,129408,6.947,2.005
209.538,1,1,shard-1-1,1,0.995000,0.999000,1.000000,62221,61285,0.999,,129408,6.947,2.82
209.538,1,2,shard-1-2,0,,,,,61285,0.999,,129408,,
224.474,0,0,shard-0-0,1,0.990000,0.996000,1.000000,71321,70045,0.996,0.9965,133024,3.009,1.274
224.474,0,1,shard-0-1,1,0.989000,0.995000,1.000000,71282,70045,0.996,0.997,133024,3.009,2.113
224.474,0,2,shard-0-2,1,0.992000,0.994000,1.000000,71210,70045,0.996,0.9945,133024,3.009,2.847
224.474,1,0,shard-1-0,1,0.991000,0.998000,1.000000,64007,62979,0.998,0.998,133024,3.009,3.862
224.474,1,1,shard-1-1,1,0.992000,0.999000,1.000000,64007,62979,0.998,0.9985,133024,3.009,4.549
224.474,1,2,shard-1-2,1,0.990000,0.999000,1.000000,64078,62979,0.998,0.9975,133024,3.009,5.22
237.851,0,0,shard-0-0,1,0.990000,0.996000,1.000000,74261,72721,0.996667,0.997,138048,3.108,0.987
237.851,0,1,shard-0-1,1,0.989000,0.994000,1.000000,74206,72721,0.996667,0.9965,138048,3.108,1.675
237.851,0,2,shard-0-2,1,0.988000,0.995000,1.000000,74280,72721,0.996667,0.9965,138048,3.108,2.407
