t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
127.245,0,99186,100224,4,green,ok
127.245,1,100224,100288,4,green,ok
127.245,2,100224,100288,4,green,ok
132.339,0,99186,104480,6,yellow,ok
132.339,1,100224,104480,5,yellow,ok
132.339,2,100224,104544,5,yellow,ok
137.438,0,103445,108928,6,yellow,ok
137.438,1,102370,108912,6,yellow,ok
137.438,2,102383,108928,6,yellow,ok
142.498,0,105457,111072,5,yellow,ok
142.498,1,104531,111095,5,yellow,ok
142.498,2,104560,111146,6,yellow,ok
147.564,0,107800,115200,6,yellow,ok
147.564,1,106838,115200,6,yellow,ok
147.564,2,109756,115232,5,yellow,ok
152.704,0,107800,116864,6,yellow,ok
152.704,1,106838,116864,6,yellow,ok
152.704,2,112131,116864,7,yellow,ok
157.845,0,113607,120475,7,yellow,ok
157.845,1,113487,120475,5,yellow,ok
157.845,2,114303,120576,7,yellow,ok
162.9,0,117026,122101,6,yellow,ok
162.9,1,113487,122112,6,yellow,ok
162.9,2,115974,122144,5,yellow,ok
168.093,0,119330,124948,7,yellow,ok
168.093,1,116692,124992,6,yellow,ok
168.093,2,118036,124992,6,yellow,ok
173.178,0,119330,127104,7,yellow,ok
173.178,1,119577,127152,6,yellow,ok
173.178,2,121126,127162,5,yellow,ok
178.355,0,121238,130848,6,yellow,ok
178.355,1,121612,130901,6,yellow,ok
178.355,2,123162,130944,6,yellow,ok
183.648,0,125868,135339,7,yellow,ok
183.648,1,124326,135438,6,yellow,ok
183.648,2,125887,135456,6,yellow,ok
188.899,0,125868,137472,7,yellow,ok
188.899,1,127035,137472,5,yellow,ok
188.899,2,128648,137420,6,yellow,ok
194.015,0,128662,140672,7,yellow,ok
194.015,1,129981,140736,7,yellow,ok
194.015,2,132091,140736,5,yellow,ok
199.363,0,128662,142160,7,yellow,ok
199.363,1,129981,142115,7,yellow,ok
199.363,2,132091,142125,6,yellow,ok
204.533,0,135112,145728,7,yellow,ok
204.533,1,136478,145682,7,yellow,ok
204.533,2,135237,145760,6,yellow,ok
209.883,0,136682,148768,5,yellow,ok
209.883,1,138122,148896,6,yellow,ok
209.883,2,138970,148881,5,yellow,ok
215.033,0,139616,151904,7,yellow,ok
215.033,1,140713,151904,5,yellow,ok
215.033,2,138970,151824,6,yellow,ok
220.088,0,141750,155808,7,yellow,ok
220.088,1,140713,155808,6,yellow,ok
220.088,2,144642,155808,7,yellow,ok
225.202,0,141750,157440,7,yellow,ok
225.202,1,144526,157488,5,yellow,ok
225.202,2,144642,157472,7,yellow,ok
230.335,0,141750,160608,7,yellow,ok
230.335,1,145572,160574,6,yellow,ok
230.335,2,147584,160605,7,yellow,ok
235.63,0,151975,161824,8,yellow,ok
235.63,1,153015,161824,7,yellow,ok
235.63,2,144692,161853,7,yellow,ok
240.896,0,151975,164780,8,yellow,ok
240.896,1,155280,164802,7,yellow,ok
240.896,2,155425,164832,6,yellow,ok
246.01,0,155420,167989,8,yellow,ok
246.01,1,155114,167968,7,yellow,ok
246.01,2,155425,167986,7,yellow,ok
251.187,0,155420,169173,8,yellow,ok
251.187,1,155114,169201,7,yellow,ok
251.187,2,155425,169248,7,yellow,ok
256.579,0,155420,172254,8,yellow,ok
256.579,1,162826,172245,9,yellow,ok
256.579,2,160079,172269,7,yellow,ok
261.649,0,163634,174549,8,yellow,ok
261.649,1,161251,174656,7,yellow,ok
261.649,2,162284,174656,7,yellow,ok
266.699,0,163634,176384,8,yellow,ok
266.699,1,163385,176458,5,yellow,ok
266.699,2,162284,176458,7,yellow,ok
272.157,0,167149,178944,8,yellow,ok
272.157,1,166736,178944,7,yellow,ok
272.157,2,162284,179040,7,yellow,ok
277.296,0,167149,180544,8,yellow,ok
277.296,1,169450,180608,7,yellow,ok
277.296,2,169921,180608,7,yellow,ok
282.506,0,167149,181792,8,yellow,ok
282.506,1,169450,181792,7,yellow,ok
282.506,2,169921,181811,7,yellow,ok
287.607,0,174052,185265,7,yellow,ok
287.607,1,169450,185280,7,yellow,ok
287.607,2,171911,185235,6,yellow,ok
292.754,0,174052,186540,7,yellow,ok
292.754,1,176804,186592,7,yellow,ok
292.754,2,174886,186624,7,yellow,ok
297.997,0,178997,188480,7,yellow,ok
297.997,1,176804,188544,7,yellow,ok
297.997,2,177103,188544,7,yellow,ok
303.081,0,178997,190752,7,yellow,ok
303.081,1,181681,190769,7,yellow,ok
303.081,2,177103,190769,7,yellow,ok
