t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
148.343,0,0,shard-0-0,1,0.991000,0.997000,1.000000,53232,52883,0.996,0.996,100544,1.633,0.82
148.343,0,1,shard-0-1,1,0.990000,0.996000,1.000000,53159,52883,0.996,0.9965,100544,1.633,1.61
148.343,0,2,shard-0-2,1,0.986000,0.994000,1.000000,53250,52883,0.996,0.9955,100544,1.633,2.328
148.343,1,0,shard-1-0,1,0.991000,0.993000,1.000000,47897,47661,0.995333,0.9955,100544,1.633,3.032
148.343,1,1,shard-1-1,1,0.992000,0.994000,1.000000,47929,47661,0.995333,0.996,100544,1.633,3.649
148.343,1,2,shard-1-2,1,0.993000,0.995000,1.000000,47959,47661,0.995333,0.9945,100544,1.633,4.199
159.27,0,0,shard-0-0,1,0.985000,0.998000,1.000000,56506,55507,0.997333,0.996,105536,3.46,1.038
159.27,0,1,shard-0-1,1,0.985000,0.996000,1.000000,56386,55507,0.997333,0.998,105536,3.46,1.775
159.27,0,2,shard-0-2,1,0.985000,0.996000,1.000000,56386,55507,0.997333,0.998,105536,3.46,2.412
159.27,1,0,shard-1-0,1,0.990000,0.994000,1.000000,50891,50029,0.996,0.996,105536,3.46,3.095
159.27,1,1,shard-1-1,1,0.990000,0.994000,1.000000,50814,50029,0.996,0.997,105536,3.46,3.602
159.27,1,2,shard-1-2,1,0.991000,0.996000,1.000000,50931,50029,0.996,0.995,105536,3.46,4.206
172.05,0,0,shard-0-0,0,,,,,58604,0.996,,111328,,
172.05,0,1,shard-0-1,1,0.995000,0.996000,1.000000,59534,58604,0.996,,111328,2.355,0.845
172.05,0,2,shard-0-2,1,0.994000,0.994000,1.000000,59534,58604,0.996,,111328,2.355,1.503
172.05,1,0,shard-1-0,0,,,,,52724,0.996,,111328,,
172.05,1,1,shard-1-1,1,0.992000,0.995000,1.000000,53586,52724,0.996,,111328,2.355,2.226
172.05,1,2,shard-1-2,1,0.994000,0.997000,1.000000,53586,52724,0.996,,111328,2.355,2.789
182.284,0,0,shard-0-0,0,,,,,59618,0.996,,113280,,
182.284,0,1,shard-0-1,1,0.989000,0.996000,1.000000,60344,59618,0.996,,113280,2.276,0.912
182.284,0,2,shard-0-2,1,0.986000,0.993000,1.000000,60259,59618,0.996,,113280,2.276,1.642
182.284,1,0,shard-1-0,0,,,,,53662,0.993,,113280,,
182.284,1,1,shard-1-1,1,0.984000,0.996000,1.000000,54160,53662,0.993,,113280,2.276,2.341
182.284,1,2,shard-1-2,1,0.984000,0.996000,1.000000,54175,53662,0.993,,113280,2.276,3.009
192.659,0,0,shard-0-0,1,0.997000,0.999000,1.000000,61470,61326,0.997,,116640,2.687,0.887
192.659,0,1,shard-0-1,1,0.996000,0.996000,1.000000,61470,61326,0.997,,116640,2.687,1.635
192.659,0,2,shard-0-2,0,,,,,61326,0.997,,116640,,
192.659,1,0,shard-1-0,1,0.992000,0.985000,0.984145,54451,55314,0.986,,116640,2.687,2.411
192.659,1,1,shard-1-1,1,0.996000,0.996000,1.000000,55410,55314,0.986,,116640,2.687,3.03
192.659,1,2,shard-1-2,0,,,,,55314,0.986,,116640,,
203.493,0,0,shard-0-0,1,0.995000,0.997000,1.000000,63459,62687,0.998,,119200,2.011,0.953
203.493,0,1,shard-0-1,1,0.993000,0.995000,1.000000,63459,62687,0.998,,119200,2.011,1.628
203.493,0,2,shard-0-2,0,,,,,62687,0.998,,119200,,
203.493,1,0,shard-1-0,1,0.992000,0.994000,1.000000,57213,56513,0.998,,119200,2.011,2.389
203.493,1,1,shard-1-1,1,0.994000,0.996000,1.000000,57213,56513,0.998,,119200,2.011,3.07
203.493,1,2,shard-1-2,0,,,,,56513,0.998,,119200,,
213.691,0,0,shard-0-0,1,0.990000,0.996000,1.000000,65706,64674,0.995,,122976,3.145,0.884
213.691,0,1,shard-0-1,0,,,,,64674,0.995,,122976,,
213.691,0,2,shard-0-2,1,0.988000,0.993000,1.000000,65664,64674,0.995,,122976,3.145,1.569
213.691,1,0,shard-1-0,1,0.991000,0.994000,1.000000,59088,58302,0.943,,122976,3.145,2.44
213.691,1,1,shard-1-1,0,,,,,58302,0.943,,122976,,
213.691,1,2,shard-1-2,1,0.996000,0.956000,0.949573,55376,58302,0.943,,122976,3.145,3.046
224.975,0,0,shard-0-0,1,0.994000,0.997000,1.000000,67032,65799,0.995333,0.996,125056,4.754,1.149
224.975,0,1,shard-0-1,1,0.992000,0.996000,1.000000,66286,65799,0.995333,0.9945,125056,4.754,1.92
224.975,0,2,shard-0-2,1,0.991000,0.994000,1.000000,66968,65799,0.995333,0.9955,125056,4.754,2.643
224.975,1,0,shard-1-0,1,0.992000,0.994000,1.000000,60359,59257,0.98,0.984,125056,4.754,3.453
224.975,1,1,shard-1-1,1,0.996000,0.989000,0.996152,59073,59257,0.98,0.9735,125056,4.754,4.174
224.975,1,2,shard-1-2,1,0.995000,0.997000,1.000000,60359,59257,0.98,0.9825,125056,4.754,4.861
239.729,0,0,shard-0-0,1,0.990000,0.997000,1.000000,68407,67654,0.997333,0.9965,128608,4.296,1.297
239.729,0,1,shard-0-1,1,0.988000,0.995000,1.000000,68438,67654,0.997333,0.998,128608,4.296,2.348
239.729,0,2,shard-0-2,1,0.987000,0.995000,1.000000,68438,67654,0.997333,0.9975,128608,4.296,3.375
239.729,1,0,shard-1-0,1,0.989000,0.993000,1.000000,61576,60954,0.995333,0.995,128608,4.296,4.422
239.729,1,1,shard-1-1,1,0.990000,0.996000,1.000000,61576,60954,0.995333,0.996,128608,4.296,5.253
239.729,1,2,shard-1-2,1,0.993000,0.998000,1.000000,61576,60954,0.995333,0.995,128608,4.296,6.236
255.408,0,0,shard-0-0,1,0.994000,0.996000,1.000000,70273,69813,0.998,0.998,132672,2.54,0.914
255.408,0,1,shard-0-1,1,0.993000,0.994000,1.000000,70273,69813,0.998,0.998,132672,2.54,1.625
255.408,0,2,shard-0-2,1,0.993000,0.994000,1.000000,70273,69813,0.998,0.998,132672,2.54,2.34
255.408,1,0,shard-1-0,1,0.991000,0.994000,1.000000,63249,62859,0.997333,0.9975,132672,2.54,3.239
255.408,1,1,shard-1-1,1,0.992000,0.995000,1.000000,63206,62859,0.997333,0.998,132672,2.54,3.887
255.408,1,2,shard-1-2,1,0.995000,0.998000,1.000000,63189,62859,0.997333,0.9965,132672,2.54,4.57
267.64,0,0,shard-0-0,1,0.996000,0.996000,1.000000,71521,70821,0.997333,0.997,134528,1.862,0.489
267.64,0,1,shard-0-1,1,0.993000,0.994000,1.000000,71542,70821,0.997333,0.9975,134528,1.862,1.017
267.64,0,2,shard-0-2,1,0.993000,0.994000,1.000000,71542,70821,0.997333,0.9975,134528,1.862,1.999
267.64,1,0,shard-1-0,1,0.991000,0.994000,1.000000,64297,63707,0.996,0.9965,134528,1.862,2.874
267.64,1,1,shard-1-1,1,0.992000,0.995000,1.000000,64297,63707,0.996,0.9965,134528,1.862,3.585
267.64,1,2,shard-1-2,1,0.996000,0.998000,1.000000,64256,63707,0.996,0.995,134528,1.862,4.126
278.764,0,0,shard-0-0,1,0.995000,0.996000,1.000000,72344,72058,0.997333,0.997,136832,1.511,0.839
278.764,0,1,shard-0-1,1,0.993000,0.994000,1.000000,72344,72058,0.997333,0.998,136832,1.511,1.68
278.764,0,2,shard-0-2,1,0.991000,0.993000,1.000000,72366,72058,0.997333,0.997,136832,1.511,2.243
278.764,1,0,shard-1-0,1,0.993000,0.994000,1.000000,64992,64774,0.996,0.9965,136832,1.511,3.071
278.764,1,1,shard-1-1,1,0.993000,0.995000,1.000000,64982,64774,0.996,0.996,136832,1.511,3.95
278.764,1,2,shard-1-2,1,0.997000,0.998000,1.000000,64957,64774,0.996,0.9955,136832,1.511,4.918
290.373,0,0,shard-0-0,1,0.995000,0.996000,1.000000,73010,72779,0.997333,0.997,138208,0.791,0.437
290.373,0,1,shard-0-1,1,0.994000,0.994000,1.000000,72962,72779,0.997333,0.9975,138208,0.791,0.977
290.373,0,2,shard-0-2,1,0.992000,0.993000,1.000000,72991,72779,0.997333,0.9975,138208,0.791,1.594
290.373,1,0,shard-1-0,1,0.994000,0.993000,1.000000,65585,65429,0.996667,0.997,138208,0.791,2.543
290.373,1,1,shard-1-1,1,0.995000,0.994000,1.000000,65600,65429,0.996667,0.997,138208,0.791,3.124
290.373,1,2,shard-1-2,1,0.998000,0.997000,1.000000,65585,65429,0.996667,0.996,138208,0.791,3.877
300.196,0,0,shard-0-0,1,0.991000,0.996000,1.000000,74420,73409,0.998,0.997,139424,3.815,2.031
300.196,0,1,shard-0-1,1,0.988000,0.993000,1.000000,74358,73409,0.998,0.9985,139424,3.815,3.258
300.196,0,2,shard-0-2,1,0.988000,0.993000,1.000000,74382,73409,0.998,0.9985,139424,3.815,4.938
300.196,1,0,shard-1-0,1,0.992000,0.993000,1.000000,66825,66015,0.994667,0.9955,139424,3.815,5.884
