t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
99.273,0,97660,100288,4,green,ok
99.273,1,97479,100320,4,green,ok
99.273,2,97097,100320,4,green,ok
104.334,0,97660,102218,5,yellow,ok
104.334,1,97479,102242,5,yellow,ok
104.334,2,97097,102240,6,yellow,ok
109.364,0,101185,106707,6,yellow,ok
109.364,1,101623,106816,6,yellow,ok
109.364,2,101185,106816,6,yellow,ok
114.754,0,103824,109728,6,yellow,ok
114.754,1,103703,109712,6,yellow,ok
114.754,2,103241,109744,6,yellow,ok
119.878,0,107890,112096,5,yellow,ok
119.878,1,107755,112173,5,yellow,ok
119.878,2,107496,112224,5,yellow,ok
125.092,1,112421,114624,4,green,ok
125.092,2,112057,114624,5,yellow,ok
132.206,0,114379,116740,4,green,ok
132.206,1,114435,116704,4,green,ok
132.206,2,114379,116768,4,green,ok
137.373,0,118559,119584,6,yellow,ok
137.373,1,116511,119584,5,yellow,ok
144.449,0,119053,124192,6,yellow,ok
144.449,1,120744,124258,5,yellow,ok
144.449,2,119053,124258,6,yellow,ok
149.827,2,175434,124520,7,grey,ok
158.922,0,123613,126422,4,green,ok
158.922,1,123613,126422,4,green,ok
163.972,0,123613,126422,4,green,ok
163.972,1,123613,126422,4,green,ok
170.696,0,125740,129729,5,yellow,ok
170.696,1,125029,129796,5,yellow,ok
170.696,2,125740,129823,5,yellow,ok
175.91,0,127841,130189,4,green,ok
175.91,1,127220,130189,4,green,ok
175.91,2,127220,130257,4,green,ok
181.095,0,128777,132896,5,yellow,ok
181.095,1,129289,132981,5,yellow,ok
181.095,2,127045,133024,7,yellow,ok
186.253,0,130933,133056,4,green,ok
186.253,1,131398,133088,4,green,ok
186.253,2,132561,133152,5,yellow,ok
191.299,0,133090,139232,7,yellow,ok
191.299,1,133491,139247,6,yellow,ok
191.299,2,128198,139311,7,yellow,ok
196.4,0,137100,141728,5,yellow,ok
196.4,1,135585,141728,6,yellow,ok
196.4,2,133965,141760,8,yellow,ok
201.677,0,139174,146272,5,yellow,ok
201.677,1,137658,146263,5,yellow,ok
201.677,2,137213,146304,7,yellow,ok
206.75,0,141229,148128,5,yellow,ok
206.75,1,139752,148128,5,yellow,ok
206.75,2,137213,148128,7,yellow,ok
211.881,0,144371,150848,5,yellow,ok
211.881,1,142153,150848,7,yellow,ok
211.881,2,137213,150816,7,yellow,ok
217.025,0,147507,153312,5,yellow,ok
217.025,1,147624,153312,7,yellow,ok
217.025,2,142210,153290,7,yellow,ok
222.165,0,150316,155921,5,yellow,ok
222.165,1,149019,155936,5,yellow,ok
222.165,2,143793,155947,5,yellow,ok
227.206,0,152424,159737,6,yellow,ok
227.206,1,151146,159732,6,yellow,ok
227.206,2,152174,159776,6,yellow,ok
232.402,0,154824,161792,6,yellow,ok
232.402,1,154366,161792,5,yellow,ok
232.402,2,152174,161792,7,yellow,ok
237.593,0,157873,164608,6,yellow,ok
237.593,1,154366,164576,6,yellow,ok
237.593,2,153472,164576,6,yellow,ok
242.651,0,162752,166496,5,yellow,ok
242.651,1,157830,166496,6,yellow,ok
242.651,2,156138,166576,7,yellow,ok
247.914,0,164791,168928,5,yellow,ok
247.914,1,160821,168915,5,yellow,ok
247.914,2,156138,168945,7,yellow,ok
253.272,0,166918,172928,6,yellow,ok
253.272,1,163862,172960,6,yellow,ok
253.272,2,162338,172902,7,yellow,ok
259.287,1,166284,174166,7,yellow,ok
259.287,2,164457,174176,7,yellow,ok
266.758,0,171012,175951,5,yellow,ok
266.758,1,171286,175950,6,yellow,ok
266.758,2,167488,175979,7,yellow,ok
271.954,0,173439,177920,5,yellow,ok
271.954,1,171286,177920,7,yellow,ok
271.954,2,172611,177935,6,yellow,ok
277.016,0,174382,178784,5,yellow,ok
277.016,1,173202,178784,6,yellow,ok
277.016,2,174388,178784,5,yellow,ok
282.066,0,175595,179522,5,yellow,ok
282.066,1,175359,179506,7,yellow,ok
282.066,2,176548,179524,4,yellow,ok
288.749,0,177825,180832,4,green,ok
288.749,1,178091,180832,6,yellow,ok
288.749,2,176548,180800,5,yellow,ok
293.833,0,177825,182257,5,yellow,ok
293.833,1,179034,182257,4,green,ok
293.833,2,178739,182255,5,yellow,ok
299.114,0,177825,182912,6,yellow,ok
299.114,1,179034,182912,4,green,ok
