t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
15.002,0,0,shard-0-0,1,1.000000,1.000000,1.000000,10505,8597,1.0,1.0,16384,0.935,0.094
15.002,0,1,shard-0-1,1,1.000000,1.000000,1.000000,10505,8597,1.0,1.0,16384,0.935,0.17
15.002,0,2,shard-0-2,1,1.000000,1.000000,1.000000,10505,8597,1.0,1.0,16384,0.935,0.308
15.002,1,0,shard-1-0,1,1.000000,1.000000,1.000000,9495,7787,1.0,1.0,16384,0.935,0.608
15.002,1,1,shard-1-1,1,1.000000,1.000000,1.000000,9495,7787,1.0,1.0,16384,0.935,0.737
15.002,1,2,shard-1-2,1,1.000000,1.000000,1.000000,9495,7787,1.0,1.0,16384,0.935,0.832
21.786,0,0,shard-0-0,1,1.000000,1.000000,1.000000,10505,10505,1.0,1.0,20000,0.325,0.105
21.786,0,1,shard-0-1,1,1.000000,1.000000,1.000000,10505,10505,1.0,1.0,20000,0.325,0.155
21.786,0,2,shard-0-2,1,1.000000,1.000000,1.000000,10505,10505,1.0,1.0,20000,0.325,0.202
21.786,1,0,shard-1-0,1,1.000000,1.000000,1.000000,9495,9495,1.0,1.0,20000,0.325,0.263
21.786,1,1,shard-1-1,1,1.000000,1.000000,1.000000,9495,9495,1.0,1.0,20000,0.325,0.302
21.786,1,2,shard-1-2,1,1.000000,1.000000,1.000000,9495,9495,1.0,1.0,20000,0.325,0.343
27.47,0,0,shard-0-0,1,1.000000,1.000000,1.000000,10505,10505,1.0,1.0,20000,0.175,0.069
27.47,0,1,shard-0-1,1,1.000000,1.000000,1.000000,10505,10505,1.0,1.0,20000,0.175,0.099
27.47,0,2,shard-0-2,1,1.000000,1.000000,1.000000,10505,10505,1.0,1.0,20000,0.175,0.131
27.47,1,0,shard-1-0,1,1.000000,1.000000,1.000000,9495,9495,1.0,1.0,20000,0.175,0.165
27.47,1,1,shard-1-1,1,1.000000,1.000000,1.000000,9495,9495,1.0,1.0,20000,0.175,0.194
27.47,1,2,shard-1-2,1,1.000000,1.000000,1.000000,9495,9495,1.0,1.0,20000,0.175,0.222
