t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
15.01,0,0,shard-0-0,1,0.993000,1.000000,1.000000,12970,9884,0.998667,0.998,18816,1.211,0.154
15.01,0,1,shard-0-1,1,0.995000,1.000000,1.000000,12970,9884,0.998667,0.999,18816,1.211,0.278
15.01,0,2,shard-0-2,1,0.995000,1.000000,1.000000,12970,9884,0.998667,0.999,18816,1.211,0.409
15.01,1,0,shard-1-0,1,0.994000,1.000000,1.000000,11702,8932,0.996,0.997,18816,1.211,0.54
15.01,1,1,shard-1-1,1,0.988000,1.000000,1.000000,11702,8932,0.996,0.994,18816,1.211,0.649
15.01,1,2,shard-1-2,1,0.994000,1.000000,1.000000,11702,8932,0.996,0.997,18816,1.211,0.719
21.971,0,0,shard-0-0,1,0.992000,1.000000,1.000000,18732,15440,0.997333,0.996,29408,0.849,0.21
21.971,0,1,shard-0-1,1,0.988000,1.000000,1.000000,18732,15440,0.997333,0.998,29408,0.849,0.547
21.971,0,2,shard-0-2,1,0.988000,1.000000,1.000000,18732,15440,0.997333,0.998,29408,0.849,0.77
21.971,1,0,shard-1-0,1,0.998000,1.000000,1.000000,16980,13968,0.997333,0.9965,29408,0.849,0.945
21.971,1,1,shard-1-1,1,0.995000,1.000000,1.000000,16980,13968,0.997333,0.998,29408,0.849,1.126
21.971,1,2,shard-1-2,1,0.994000,1.000000,1.000000,16980,13968,0.997333,0.9975,29408,0.849,1.342
29.206,0,0,shard-0-0,1,0.998000,1.000000,1.000000,24310,21039,1.0,1.0,40032,0.896,0.269
29.206,0,1,shard-0-1,1,0.998000,1.000000,1.000000,24310,21039,1.0,1.0,40032,0.896,0.469
29.206,0,2,shard-0-2,1,0.998000,1.000000,1.000000,24310,21039,1.0,1.0,40032,0.896,0.656
29.206,1,0,shard-1-0,1,0.993000,1.000000,1.000000,21945,18993,0.999333,0.9995,40032,0.896,0.876
29.206,1,1,shard-1-1,1,0.992000,1.000000,1.000000,21996,18993,0.999333,0.999,40032,0.896,1.088
29.206,1,2,shard-1-2,1,0.993000,1.000000,1.000000,21930,18993,0.999333,0.9995,40032,0.896,1.251
36.374,0,0,shard-0-0,1,0.999000,1.000000,1.000000,32069,28472,0.999333,0.9995,54272,0.602,0.39
36.374,0,1,shard-0-1,1,0.998000,1.000000,1.000000,32069,28472,0.999333,0.999,54272,0.602,0.642
36.374,0,2,shard-0-2,1,0.999000,1.000000,1.000000,32069,28472,0.999333,0.9995,54272,0.602,0.851
36.374,1,0,shard-1-0,1,0.998000,1.000000,1.000000,29018,25800,1.0,1.0,54272,0.602,1.157
36.374,1,1,shard-1-1,1,0.998000,1.000000,1.000000,29051,25800,1.0,1.0,54272,0.602,1.377
36.374,1,2,shard-1-2,1,0.998000,1.000000,1.000000,29051,25800,1.0,1.0,54272,0.602,1.615
43.628,0,0,shard-0-0,0,,,,,35655,1.0,,67872,,
43.628,0,1,shard-0-1,1,0.998000,1.000000,1.000000,35843,35655,1.0,,67872,2.021,0.32
43.628,0,2,shard-0-2,1,0.998000,1.000000,1.000000,35843,35655,1.0,,67872,2.021,0.725
43.628,1,0,shard-1-0,0,,,,,32217,1.0,,67872,,
43.628,1,1,shard-1-1,1,1.000000,1.000000,1.000000,32349,32217,1.0,,67872,2.021,1.192
43.628,1,2,shard-1-2,1,1.000000,1.000000,1.000000,32349,32217,1.0,,67872,2.021,1.478
52.16,0,0,shard-0-0,1,0.992000,1.000000,1.000000,40242,38399,0.998667,0.999,73088,1.41,0.561
52.16,0,1,shard-0-1,1,0.990000,1.000000,1.000000,40304,38399,0.998667,0.998,73088,1.41,0.892
52.16,0,2,shard-0-2,1,0.992000,1.000000,1.000000,40256,38399,0.998667,0.999,73088,1.41,1.28
52.16,1,0,shard-1-0,1,0.991000,1.000000,1.000000,36353,34689,0.998667,0.999,73088,1.41,1.686
52.16,1,1,shard-1-1,1,0.992000,1.000000,1.000000,36334,34689,0.998667,0.9985,73088,1.41,2.002
52.16,1,2,shard-1-2,1,0.992000,1.000000,1.000000,36352,34689,0.998667,0.9985,73088,1.41,2.309
60.922,0,0,shard-0-0,1,0.994000,1.000000,1.000000,42953,41558,0.998667,0.9985,79072,1.544,0.517
60.922,0,1,shard-0-1,1,0.993000,1.000000,1.000000,42992,41558,0.998667,0.999,79072,1.544,0.901
60.922,0,2,shard-0-2,1,0.992000,1.000000,1.000000,43025,41558,0.998667,0.9985,79072,1.544,1.283
60.922,1,0,shard-1-0,1,0.998000,1.000000,1.000000,38711,37514,0.999333,0.999,79072,1.544,1.729
60.922,1,1,shard-1-1,1,0.997000,1.000000,1.000000,38711,37514,0.999333,0.9995,79072,1.544,2.099
