t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
15.001,0,0,shard-0-0,1,0.996000,1.000000,1.000000,13341,10945,0.998667,0.998,20832,0.772,0.121
15.001,0,1,shard-0-1,1,0.994000,1.000000,1.000000,13341,10945,0.998667,0.999,20832,0.772,0.246
15.001,0,2,shard-0-2,1,0.994000,1.000000,1.000000,13341,10945,0.998667,0.999,20832,0.772,0.378
15.001,1,0,shard-1-0,1,0.993000,1.000000,1.000000,12067,9887,0.998,0.998,20832,0.772,0.572
15.001,1,1,shard-1-1,1,0.994000,1.000000,1.000000,12067,9887,0.998,0.9985,20832,0.772,0.667
15.001,1,2,shard-1-2,1,0.996000,1.000000,1.000000,12067,9887,0.998,0.9975,20832,0.772,0.757
21.546,0,0,shard-0-0,1,0.990000,1.000000,1.000000,19786,16309,0.996667,0.9975,31104,0.777,0.196
21.546,0,1,shard-0-1,1,0.989000,1.000000,1.000000,19786,16309,0.996667,0.997,31104,0.777,0.384
21.546,0,2,shard-0-2,1,0.994000,1.000000,1.000000,19786,16309,0.996667,0.9955,31104,0.777,0.542
21.546,1,0,shard-1-0,1,0.997000,1.000000,1.000000,17910,14795,1.0,1.0,31104,0.777,0.707
21.546,1,1,shard-1-1,1,0.997000,1.000000,1.000000,17910,14795,1.0,1.0,31104,0.777,0.831
21.546,1,2,shard-1-2,1,0.997000,1.000000,1.000000,17910,14795,1.0,1.0,31104,0.777,0.98
28.337,0,0,shard-0-0,1,0.994000,1.000000,1.000000,26302,22983,0.998667,0.9985,43680,0.834,0.346
28.337,0,1,shard-0-1,1,0.993000,1.000000,1.000000,26336,22983,0.998667,0.999,43680,0.834,0.584
28.337,0,2,shard-0-2,1,0.992000,1.000000,1.000000,26379,22983,0.998667,0.9985,43680,0.834,0.795
28.337,1,0,shard-1-0,1,0.994000,1.000000,1.000000,23840,20697,0.998,0.998,43680,0.834,1.042
28.337,1,1,shard-1-1,1,0.997000,1.000000,1.000000,23796,20697,0.998,0.9975,43680,0.834,1.285
28.337,1,2,shard-1-2,1,0.995000,1.000000,1.000000,23840,20697,0.998,0.9985,43680,0.834,1.51
35.72,0,0,shard-0-0,1,0.996000,1.000000,1.000000,31290,29245,1.0,1.0,55712,1.272,0.401
35.72,0,1,shard-0-1,1,0.996000,1.000000,1.000000,31252,29245,1.0,1.0,55712,1.272,0.773
35.72,0,2,shard-0-2,1,0.996000,1.000000,1.000000,31237,29245,1.0,1.0,55712,1.272,1.0
35.72,1,0,shard-1-0,1,0.994000,1.000000,1.000000,28328,26467,0.997333,0.9965,55712,1.272,1.236
35.72,1,1,shard-1-1,1,0.990000,1.000000,1.000000,28308,26467,0.997333,0.9975,55712,1.272,1.507
35.72,1,2,shard-1-2,1,0.991000,1.000000,1.000000,28347,26467,0.997333,0.998,55712,1.272,1.726
43.757,0,0,shard-0-0,0,,,,,33520,1.0,,63872,,
43.757,0,1,shard-0-1,1,0.999000,1.000000,1.000000,33588,33520,1.0,,63872,2.013,0.392
43.757,0,2,shard-0-2,1,0.999000,1.000000,1.000000,33588,33520,1.0,,63872,2.013,0.85
43.757,1,0,shard-1-0,0,,,,,30352,1.0,,63872,,
43.757,1,1,shard-1-1,1,1.000000,1.000000,1.000000,30412,30352,1.0,,63872,2.013,1.293
43.757,1,2,shard-1-2,1,1.000000,1.000000,1.000000,30412,30352,1.0,,63872,2.013,1.678
52.494,0,0,shard-0-0,0,,,,,35050,1.0,,66752,,
52.494,0,1,shard-0-1,1,1.000000,1.000000,1.000000,35901,35050,1.0,,66752,2.017,0.238
52.494,0,2,shard-0-2,1,1.000000,1.000000,1.000000,35901,35050,1.0,,66752,2.017,0.429
52.494,1,0,shard-1-0,0,,,,,31702,1.0,,66752,,
52.494,1,1,shard-1-1,1,1.000000,1.000000,1.000000,32451,31702,1.0,,66752,2.017,0.691
52.494,1,2,shard-1-2,1,1.000000,1.000000,1.000000,32451,31702,1.0,,66752,2.017,0.937
60.499,0,0,shard-0-0,0,,,,,36909,1.0,,70272,,
60.499,0,1,shard-0-1,1,1.000000,1.000000,1.000000,39093,36909,1.0,,70272,2.012,0.334
60.499,0,2,shard-0-2,1,1.000000,1.000000,1.000000,39093,36909,1.0,,70272,2.012,0.566
60.499,1,0,shard-1-0,0,,,,,33363,1.0,,70272,,
60.499,1,1,shard-1-1,1,1.000000,1.000000,1.000000,35339,33363,1.0,,70272,2.012,0.753
60.499,1,2,shard-1-2,1,1.000000,1.000000,1.000000,35339,33363,1.0,,70272,2.012,0.892
68.439,0,0,shard-0-0,1,1.000000,0.856000,0.858234,33823,39410,0.887333,0.831,75008,1.827,0.504
68.439,0,1,shard-0-1,1,0.994000,1.000000,1.000000,40633,39410,0.887333,0.9155,75008,1.827,0.916
68.439,0,2,shard-0-2,1,0.994000,1.000000,1.000000,40588,39410,0.887333,0.9155,75008,1.827,1.269
68.439,1,0,shard-1-0,1,1.000000,0.883000,0.861706,30675,35598,0.904,0.857,75008,1.827,1.616
68.439,1,1,shard-1-1,1,0.995000,1.000000,1.000000,36649,35598,0.904,0.927,75008,1.827,1.908
68.439,1,2,shard-1-2,1,0.997000,1.000000,1.000000,36625,35598,0.904,0.928,75008,1.827,2.246
77.564,0,0,shard-0-0,1,1.000000,0.911000,0.907616,37085,40808,0.939333,0.9095,77632,1.23,0.372
77.564,0,1,shard-0-1,1,0.998000,0.999000,1.000000,40924,40808,0.939333,0.9545,77632,1.23,0.687
77.564,0,2,shard-0-2,1,0.997000,0.999000,1.000000,41001,40808,0.939333,0.954,77632,1.23,1.003
77.564,1,0,shard-1-0,1,1.000000,0.852000,0.833017,30675,36824,0.9,0.85,77632,1.23,1.331
77.564,1,1,shard-1-1,1,0.998000,1.000000,1.000000,36983,36824,0.9,0.925,77632,1.23,1.612
77.564,1,2,shard-1-2,1,0.998000,1.000000,1.000000,36983,36824,0.9,0.925,77632,1.23,1.919
85.773,0,0,shard-0-0,1,0.996000,1.000000,1.000000,41191,40808,0.999333,0.999,77632,2.057,0.44
85.773,0,1,shard-0-1,1,0.995000,0.999000,1.000000,41227,40808,0.999333,0.9995,77632,2.057,0.879
85.773,0,2,shard-0-2,1,0.995000,0.999000,1.000000,41227,40808,0.999333,0.9995,77632,2.057,1.223
85.773,1,0,shard-1-0,1,1.000000,0.852000,0.833017,30675,36824,0.896,0.844,77632,2.057,1.595
85.773,1,1,shard-1-1,1,0.997000,1.000000,1.000000,37205,36824,0.896,0.922,77632,2.057,1.879
85.773,1,2,shard-1-2,1,0.997000,1.000000,1.000000,37205,36824,0.896,0.922,77632,2.057,2.187
95.072,0,0,shard-0-0,1,0.996000,0.998000,1.000000,42244,41508,0.998,0.998,78976,2.881,0.802
95.072,0,1,shard-0-1,1,0.996000,0.998000,1.000000,42244,41508,0.998,0.998,78976,2.881,1.188
95.072,0,2,shard-0-2,1,0.996000,0.998000,1.000000,42244,41508,0.998,0.998,78976,2.881,1.666
95.072,1,0,shard-1-0,1,1.000000,0.838000,0.826065,30951,37468,0.880333,0.8235,78976,2.881,2.107
95.072,1,1,shard-1-1,1,0.998000,1.000000,1.000000,38047,37468,0.880333,0.91,78976,2.881,2.499
95.072,1,2,shard-1-2,1,0.992000,1.000000,1.000000,38108,37468,0.880333,0.9075,78976,2.881,2.87
105.892,0,0,shard-0-0,1,0.995000,0.998000,1.000000,42310,41984,0.998,0.998,79872,2.795,0.474
105.892,0,1,shard-0-1,1,0.995000,0.998000,1.000000,42310,41984,0.998,0.998,79872,2.795,0.792
105.892,0,2,shard-0-2,1,0.995000,0.998000,1.000000,42310,41984,0.998,0.998,79872,2.795,1.141
105.892,1,0,shard-1-0,1,0.996000,0.893000,0.886033,33619,37888,0.921667,0.887,79872,2.795,1.527
105.892,1,1,shard-1-1,1,0.998000,1.000000,1.000000,38047,37888,0.921667,0.941,79872,2.795,1.857
105.892,1,2,shard-1-2,1,0.989000,1.000000,1.000000,38170,37888,0.921667,0.937,79872,2.795,2.166
115.949,0,0,shard-0-0,1,0.991000,0.998000,1.000000,43240,42174,0.998,0.998,80256,2.268,0.493
115.949,0,1,shard-0-1,1,0.991000,0.998000,1.000000,43204,42174,0.998,0.998,80256,2.268,0.896
115.949,0,2,shard-0-2,1,0.992000,0.998000,1.000000,43225,42174,0.998,0.998,80256,2.268,1.234
115.949,1,0,shard-1-0,1,0.987000,1.000000,1.000000,39035,38082,1.0,1.0,80256,2.268,1.649
115.949,1,1,shard-1-1,1,0.987000,1.000000,1.000000,38972,38082,1.0,1.0,80256,2.268,1.991
115.949,1,2,shard-1-2,1,0.987000,1.000000,1.000000,38960,38082,1.0,1.0,80256,2.268,2.315
125.608,0,0,shard-0-0,1,0.988000,0.998000,1.000000,45518,43958,0.992,0.9915,83648,2.335,0.544
125.608,0,1,shard-0-1,1,0.987000,0.995000,1.000000,45485,43958,0.992,0.9925,83648,2.335,1.085
125.608,0,2,shard-0-2,1,0.993000,0.998000,1.000000,45374,43958,0.992,0.992,83648,2.335,1.591
125.608,1,0,shard-1-0,1,0.984000,1.000000,1.000000,41107,39690,1.0,1.0,83648,2.335,2.04
125.608,1,1,shard-1-1,1,0.984000,1.000000,1.000000,41068,39690,1.0,1.0,83648,2.335,2.447
125.608,1,2,shard-1-2,1,0.984000,1.000000,1.000000,41053,39690,1.0,1.0,83648,2.335,2.89
135.931,0,0,shard-0-0,1,0.992000,0.998000,1.000000,47389,46198,0.994667,0.994,87936,2.669,0.541
135.931,0,1,shard-0-1,1,0.991000,0.995000,1.000000,47389,46198,0.994667,0.994,87936,2.669,0.998
135.931,0,2,shard-0-2,1,0.992000,0.998000,1.000000,47389,46198,0.994667,0.996,87936,2.669,1.382
135.931,1,0,shard-1-0,1,0.991000,1.000000,1.000000,42755,41738,1.0,1.0,87936,2.669,1.859
135.931,1,1,shard-1-1,1,0.991000,1.000000,1.000000,42755,41738,1.0,1.0,87936,2.669,2.217
135.931,1,2,shard-1-2,1,0.991000,1.000000,1.000000,42737,41738,1.0,1.0,87936,2.669,2.563
146.245,0,0,shard-0-0,1,0.992000,0.997000,1.000000,49748,48386,0.996667,0.9965,92096,3.513,1.312
146.245,0,1,shard-0-1,1,0.990000,0.995000,1.000000,49748,48386,0.996667,0.9965,92096,3.513,1.991
146.245,0,2,shard-0-2,1,0.992000,0.998000,1.000000,49783,48386,0.996667,0.997,92096,3.513,2.448
146.245,1,0,shard-1-0,1,0.991000,1.000000,1.000000,44940,43710,0.995333,0.9955,92096,3.513,3.0
146.245,1,1,shard-1-1,1,0.984000,1.000000,1.000000,45000,43710,0.995333,0.994,92096,3.513,3.372
146.245,1,2,shard-1-2,1,0.989000,1.000000,1.000000,45000,43710,0.995333,0.9965,92096,3.513,3.747
158.606,0,0,shard-0-0,1,0.988000,0.997000,1.000000,51783,50524,0.996,0.996,96128,2.283,0.567
158.606,0,1,shard-0-1,1,0.985000,0.995000,1.000000,51783,50524,0.996,0.9955,96128,2.283,0.948
158.606,0,2,shard-0-2,1,0.988000,0.998000,1.000000,51783,50524,0.996,0.9965,96128,2.283,1.525
158.606,1,0,shard-1-0,1,0.989000,1.000000,1.000000,46710,45604,0.997333,0.998,96128,2.283,2.228
158.606,1,1,shard-1-1,1,0.986000,1.000000,1.000000,46745,45604,0.997333,0.9965,96128,2.283,2.838
158.606,1,2,shard-1-2,1,0.988000,0.999000,1.000000,46745,45604,0.997333,0.9975,96128,2.283,3.255
169.243,0,0,shard-0-0,1,0.994000,0.997000,1.000000,53548,52517,0.996667,0.9965,99936,4.097,0.767
169.243,0,1,shard-0-1,1,0.992000,0.995000,1.000000,53583,52517,0.996667,0.9965,99936,4.097,1.309
169.243,0,2,shard-0-2,1,0.994000,0.998000,1.000000,53533,52517,0.996667,0.997,99936,4.097,1.871
169.243,1,0,shard-1-0,1,0.988000,0.999000,1.000000,48291,47419,0.997333,0.9975,99936,4.097,2.728
169.243,1,1,shard-1-1,1,0.989000,0.999000,1.000000,48291,47419,0.997333,0.998,99936,4.097,3.216
169.243,1,2,shard-1-2,1,0.990000,0.999000,1.000000,48246,47419,0.997333,0.9965,99936,4.097,3.966
182.468,0,0,shard-0-0,1,0.991000,0.997000,1.000000,55435,54267,0.996,0.9955,103296,2.965,0.662
182.468,0,1,shard-0-1,1,0.989000,0.996000,1.000000,55435,54267,0.996,0.9965,103296,2.965,1.142
182.468,0,2,shard-0-2,1,0.989000,0.998000,1.000000,55470,54267,0.996,0.996,103296,2.965,1.669
182.468,1,0,shard-1-0,1,0.991000,0.999000,1.000000,50037,49029,0.998,0.998,103296,2.965,2.305
182.468,1,1,shard-1-1,1,0.992000,0.999000,1.000000,50066,49029,0.998,0.9985,103296,2.965,2.755
182.468,1,2,shard-1-2,1,0.991000,0.999000,1.000000,50095,49029,0.998,0.9975,103296,2.965,3.279
193.848,0,0,shard-0-0,1,0.988000,0.997000,1.000000,57356,56188,0.995333,0.996,106848,3.729,0.592
193.848,0,1,shard-0-1,1,0.982000,0.996000,1.000000,57411,56188,0.995333,0.994,106848,3.729,1.041
193.848,0,2,shard-0-2,1,0.987000,0.998000,1.000000,57296,56188,0.995333,0.996,106848,3.729,1.482
193.848,1,0,shard-1-0,1,0.988000,0.997000,1.000000,51668,50660,0.997333,0.997,106848,3.729,2.088
193.848,1,1,shard-1-1,1,0.990000,0.999000,1.000000,51683,50660,0.997333,0.998,106848,3.729,2.461
193.848,1,2,shard-1-2,1,0.991000,0.999000,1.000000,51655,50660,0.997333,0.997,106848,3.729,2.868
205.551,0,0,shard-0-0,1,0.995000,0.998000,1.000000,59514,58349,0.996667,0.997,110944,2.456,0.669
205.551,0,1,shard-0-1,1,0.992000,0.996000,1.000000,59567,58349,0.996667,0.9965,110944,2.456,1.151
205.551,0,2,shard-0-2,1,0.994000,0.998000,1.000000,59499,58349,0.996667,0.9965,110944,2.456,1.63
205.551,1,0,shard-1-0,1,0.987000,0.997000,1.000000,53727,52595,0.996667,0.997,110944,2.456,2.224
205.551,1,1,shard-1-1,1,0.988000,0.999000,1.000000,53713,52595,0.996667,0.9965,110944,2.456,3.066
205.551,1,2,shard-1-2,1,0.990000,0.999000,1.000000,53670,52595,0.996667,0.9965,110944,2.456,3.644
