t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
15.002,0,0,shard-0-0,1,0.983000,1.000000,1.000000,15694,12440,0.996667,0.997,23648,0.895,0.196
15.002,0,1,shard-0-1,1,0.986000,1.000000,1.000000,15632,12440,0.996667,0.9965,23648,0.895,0.342
15.002,0,2,shard-0-2,1,0.984000,1.000000,1.000000,15694,12440,0.996667,0.9965,23648,0.895,0.473
15.002,1,0,shard-1-0,1,0.991000,1.000000,1.000000,14226,11208,0.998667,0.999,23648,0.895,0.648
15.002,1,1,shard-1-1,1,0.991000,1.000000,1.000000,14179,11208,0.998667,0.999,23648,0.895,0.821
15.002,1,2,shard-1-2,1,0.989000,1.000000,1.000000,14226,11208,0.998667,0.998,23648,0.895,0.96
21.882,0,0,shard-0-0,1,0.987000,1.000000,1.000000,22480,18699,0.998667,0.998,35648,0.749,0.249
21.882,0,1,shard-0-1,1,0.989000,1.000000,1.000000,22513,18699,0.998667,0.999,35648,0.749,0.429
21.882,0,2,shard-0-2,1,0.989000,1.000000,1.000000,22513,18699,0.998667,0.999,35648,0.749,0.605
21.882,1,0,shard-1-0,1,0.989000,1.000000,1.000000,20303,16949,0.999333,0.999,35648,0.749,0.922
21.882,1,1,shard-1-1,1,0.990000,1.000000,1.000000,20303,16949,0.999333,0.9995,35648,0.749,1.135
21.882,1,2,shard-1-2,1,0.990000,1.000000,1.000000,20303,16949,0.999333,0.9995,35648,0.749,1.307
28.966,0,0,shard-0-0,1,0.995000,1.000000,1.000000,28999,25511,0.998,0.9975,48672,0.861,0.322
28.966,0,1,shard-0-1,1,0.993000,1.000000,1.000000,29087,25511,0.998,0.9985,48672,0.861,0.642
28.966,0,2,shard-0-2,1,0.992000,1.000000,1.000000,29087,25511,0.998,0.998,48672,0.861,0.89
28.966,1,0,shard-1-0,1,0.995000,1.000000,1.000000,26277,23161,1.0,1.0,48672,0.861,1.157
28.966,1,1,shard-1-1,1,0.995000,1.000000,1.000000,26277,23161,1.0,1.0,48672,0.861,1.348
28.966,1,2,shard-1-2,1,0.995000,1.000000,1.000000,26305,23161,1.0,1.0,48672,0.861,1.536
36.391,0,0,shard-0-0,1,0.994000,1.000000,1.000000,35796,32007,1.0,1.0,60992,1.103,0.426
36.391,0,1,shard-0-1,1,0.994000,1.000000,1.000000,35868,32007,1.0,1.0,60992,1.103,0.72
36.391,0,2,shard-0-2,1,0.994000,1.000000,1.000000,35817,32007,1.0,1.0,60992,1.103,1.05
36.391,1,0,shard-1-0,1,0.994000,1.000000,1.000000,32332,28985,1.0,1.0,60992,1.103,1.406
36.391,1,1,shard-1-1,1,0.994000,1.000000,1.000000,32388,28985,1.0,1.0,60992,1.103,1.653
36.391,1,2,shard-1-2,1,0.994000,1.000000,1.000000,32332,28985,1.0,1.0,60992,1.103,1.862
44.406,0,0,shard-0-0,0,,,,,38194,1.0,,72672,,
44.406,0,1,shard-0-1,1,0.999000,1.000000,1.000000,38287,38194,1.0,,72672,1.525,0.378
44.406,0,2,shard-0-2,1,0.999000,1.000000,1.000000,38287,38194,1.0,,72672,1.525,0.681
44.406,1,0,shard-1-0,0,,,,,34478,1.0,,72672,,
44.406,1,1,shard-1-1,1,0.999000,1.000000,1.000000,34577,34478,1.0,,72672,1.525,1.035
44.406,1,2,shard-1-2,1,0.999000,1.000000,1.000000,34577,34478,1.0,,72672,1.525,1.256
52.226,0,0,shard-0-0,1,0.998000,1.000000,1.000000,40838,40163,0.998667,0.998,76448,2.165,0.566
52.226,0,1,shard-0-1,1,1.000000,1.000000,1.000000,41044,40163,0.998667,0.999,76448,2.165,0.926
52.226,0,2,shard-0-2,1,1.000000,1.000000,1.000000,40977,40163,0.998667,0.999,76448,2.165,1.316
52.226,1,0,shard-1-0,1,1.000000,0.971000,0.966047,35227,36285,0.975333,0.963,76448,2.165,1.804
52.226,1,1,shard-1-1,1,0.998000,1.000000,1.000000,37036,36285,0.975333,0.9815,76448,2.165,2.153
52.226,1,2,shard-1-2,1,0.998000,1.000000,1.000000,37036,36285,0.975333,0.9815,76448,2.165,2.51
61.986,0,0,shard-0-0,1,0.995000,1.000000,1.000000,42357,41716,0.998667,0.999,79360,4.317,0.749
61.986,0,1,shard-0-1,1,0.995000,1.000000,1.000000,42357,41716,0.998667,0.999,79360,4.317,1.694
61.986,0,2,shard-0-2,1,0.997000,1.000000,1.000000,42321,41716,0.998667,0.998,79360,4.317,3.283
61.986,1,0,shard-1-0,1,0.997000,1.000000,1.000000,38116,37644,1.0,1.0,79360,4.317,5.284
61.986,1,1,shard-1-1,1,0.997000,1.000000,1.000000,38088,37644,1.0,1.0,79360,4.317,6.522
61.986,1,2,shard-1-2,1,0.997000,1.000000,1.000000,38127,37644,1.0,1.0,79360,4.317,7.21
78.621,0,0,shard-0-0,1,0.993000,0.999000,1.000000,44482,43583,0.998667,0.9985,82848,3.55,0.721
78.621,0,1,shard-0-1,1,0.994000,1.000000,1.000000,44371,43583,0.998667,0.999,82848,3.55,1.246
78.621,0,2,shard-0-2,1,0.993000,0.999000,1.000000,44482,43583,0.998667,0.9985,82848,3.55,1.737
78.621,1,0,shard-1-0,1,0.996000,1.000000,1.000000,40062,39265,0.997333,0.997,82848,3.55,2.184
78.621,1,1,shard-1-1,1,1.000000,1.000000,1.000000,40023,39265,0.997333,0.997,82848,3.55,2.534
78.621,1,2,shard-1-2,1,0.998000,1.000000,1.000000,40062,39265,0.997333,0.998,82848,3.55,3.07
90.401,0,0,shard-0-0,1,0.997000,0.999000,1.000000,45557,45412,0.997,,86304,2.019,0.66
90.401,0,1,shard-0-1,0,,,,,45412,0.997,,86304,,
90.401,0,2,shard-0-2,1,0.996000,0.999000,1.000000,45557,45412,0.997,,86304,2.019,0.998
90.401,1,0,shard-1-0,1,1.000000,1.000000,1.000000,41035,40892,0.999,,86304,2.019,1.442
90.401,1,1,shard-1-1,0,,,,,40892,0.999,,86304,,
90.401,1,2,shard-1-2,1,0.999000,1.000000,1.000000,41053,40892,0.999,,86304,2.019,1.812
99.288,0,0,shard-0-0,1,0.999000,0.999000,1.000000,47207,46650,0.99,0.992,88640,4.377,0.685
99.288,0,1,shard-0-1,1,0.998000,1.000000,0.998885,46683,46650,0.99,0.986,88640,4.377,1.152
99.288,0,2,shard-0-2,1,0.999000,0.999000,1.000000,47277,46650,0.99,0.992,88640,4.377,1.958
99.288,1,0,shard-1-0,1,0.998000,0.999000,1.000000,42515,41990,0.968,0.9755,88640,4.377,2.783
99.288,1,1,shard-1-1,1,1.000000,0.960000,0.966992,40619,41990,0.968,0.9525,88640,4.377,3.206
99.288,1,2,shard-1-2,1,0.999000,1.000000,1.000000,42515,41990,0.968,0.976,88640,4.377,3.582
112.343,0,0,shard-0-0,1,0.998000,0.999000,1.000000,48667,48352,0.998,0.998,91840,2.786,0.636
112.343,0,1,shard-0-1,1,0.998000,1.000000,1.000000,48718,48352,0.998,0.998,91840,2.786,1.033
112.343,0,2,shard-0-2,1,0.998000,0.999000,1.000000,48667,48352,0.998,0.998,91840,2.786,1.419
112.343,1,0,shard-1-0,1,0.994000,0.999000,1.000000,43748,43488,0.997333,0.9975,91840,2.786,1.89
112.343,1,1,shard-1-1,1,0.996000,1.000000,1.000000,43750,43488,0.997333,0.9975,91840,2.786,2.395
112.343,1,2,shard-1-2,1,0.993000,1.000000,1.000000,43808,43488,0.997333,0.997,91840,2.786,2.94
123.174,0,0,shard-0-0,1,0.998000,0.999000,1.000000,50608,49657,0.998,0.9975,94336,4.206,0.693
123.174,0,1,shard-0-1,1,0.998000,1.000000,1.000000,50647,49657,0.998,0.9985,94336,4.206,1.075
123.174,0,2,shard-0-2,1,0.997000,0.999000,1.000000,50608,49657,0.998,0.998,94336,4.206,1.499
123.174,1,0,shard-1-0,1,0.990000,0.998000,1.000000,45534,44679,0.998,0.997,94336,4.206,2.045
123.174,1,1,shard-1-1,1,0.990000,1.000000,1.000000,45589,44679,0.998,0.9985,94336,4.206,2.497
123.174,1,2,shard-1-2,1,0.990000,1.000000,1.000000,45607,44679,0.998,0.9985,94336,4.206,2.905
135.38,0,0,shard-0-0,1,0.998000,0.999000,1.000000,51224,51140,0.999,,97152,2.037,0.887
135.38,0,1,shard-0-1,1,0.999000,1.000000,1.000000,51224,51140,0.999,,97152,2.037,1.467
135.38,0,2,shard-0-2,0,,,,,51140,0.999,,97152,,
135.38,1,0,shard-1-0,1,0.998000,0.998000,1.000000,46088,46012,0.998,,97152,2.037,2.096
135.38,1,1,shard-1-1,1,1.000000,1.000000,1.000000,46075,46012,0.998,,97152,2.037,2.966
135.38,1,2,shard-1-2,0,,,,,46012,0.998,,97152,,
145.525,0,0,shard-0-0,1,0.995000,0.999000,1.000000,51948,51285,0.998667,0.9985,97408,5.481,0.799
145.525,0,1,shard-0-1,1,0.996000,1.000000,1.000000,51888,51285,0.998667,0.999,97408,5.481,1.341
145.525,0,2,shard-0-2,1,0.995000,0.999000,1.000000,51868,51285,0.998667,0.9985,97408,5.481,2.051
145.525,1,0,shard-1-0,1,0.992000,0.998000,1.000000,46740,46123,0.988667,0.991,97408,5.481,2.691
145.525,1,1,shard-1-1,1,0.993000,0.999000,1.000000,46727,46123,0.988667,0.9915,97408,5.481,3.24
145.525,1,2,shard-1-2,1,1.000000,0.998000,0.997593,46115,46123,0.988667,0.9835,97408,5.481,3.657
159.798,0,0,shard-0-0,1,0.990000,0.999000,1.000000,53521,52441,0.994667,0.9955,99616,2.625,0.885
159.798,0,1,shard-0-1,1,0.991000,1.000000,1.000000,53538,52441,0.994667,0.996,99616,2.625,1.494
159.798,0,2,shard-0-2,1,0.984000,0.999000,1.000000,53741,52441,0.994667,0.9925,99616,2.625,2.071
159.798,1,0,shard-1-0,1,0.995000,0.998000,1.000000,48143,47175,0.997333,0.9975,99616,2.625,2.708
159.798,1,1,shard-1-1,1,0.996000,0.999000,1.000000,48130,47175,0.997333,0.998,99616,2.625,3.285
159.798,1,2,shard-1-2,1,0.995000,1.000000,1.000000,48216,47175,0.997333,0.9965,99616,2.625,3.786
171.321,0,0,shard-0-0,1,0.990000,0.999000,1.000000,55804,54774,0.996,0.9955,104096,4.203,0.771
171.321,0,1,shard-0-1,1,0.987000,1.000000,1.000000,55895,54774,0.996,0.996,104096,4.203,1.295
171.321,0,2,shard-0-2,1,0.988000,0.999000,1.000000,55829,54774,0.996,0.9965,104096,4.203,1.856
171.321,1,0,shard-1-0,1,0.991000,0.998000,1.000000,50180,49322,0.998,0.9975,104096,4.203,2.634
171.321,1,1,shard-1-1,1,0.993000,0.999000,1.000000,50283,49322,0.998,0.9985,104096,4.203,2.983
