t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
20.018,0,0,shard-0-0,1,0.987000,1.000000,1.000000,13135,12182,0.997333,0.998,23168,2.48,1.0
20.018,0,1,shard-0-1,1,0.986000,1.000000,1.000000,13153,12182,0.997333,0.9975,23168,2.48,1.248
20.018,0,2,shard-0-2,1,0.984000,1.000000,1.000000,13166,12182,0.997333,0.9965,23168,2.48,1.454
20.018,1,0,shard-1-0,1,0.974000,1.000000,1.000000,11890,10986,0.998,0.997,23168,2.48,1.806
20.018,1,1,shard-1-1,1,0.977000,1.000000,1.000000,11890,10986,0.998,0.9985,23168,2.48,2.107
20.018,1,2,shard-1-2,1,0.977000,1.000000,1.000000,11890,10986,0.998,0.9985,23168,2.48,2.504
31.085,0,0,shard-0-0,1,0.993000,0.999000,1.000000,16760,15472,0.999333,0.9995,29472,2.08,0.408
31.085,0,1,shard-0-1,1,0.993000,0.999000,1.000000,16742,15472,0.999333,0.9995,29472,2.08,0.718
31.085,0,2,shard-0-2,1,0.992000,0.999000,1.000000,16760,15472,0.999333,0.999,29472,2.08,1.146
31.085,1,0,shard-1-0,1,0.993000,0.999000,1.000000,15208,14000,0.996,0.9955,29472,2.08,1.499
31.085,1,1,shard-1-1,1,0.992000,1.000000,1.000000,15208,14000,0.996,0.997,29472,2.08,1.687
31.085,1,2,shard-1-2,1,0.989000,1.000000,1.000000,15218,14000,0.996,0.9955,29472,2.08,1.917
41.167,0,0,shard-0-0,1,0.994000,1.000000,1.000000,21916,19730,0.999333,0.9995,37568,2.561,0.792
41.167,0,1,shard-0-1,1,0.994000,1.000000,1.000000,21947,19730,0.999333,0.9995,37568,2.561,1.518
41.167,0,2,shard-0-2,1,0.993000,1.000000,1.000000,21947,19730,0.999333,0.999,37568,2.561,2.066
41.167,1,0,shard-1-0,1,0.988000,1.000000,1.000000,19797,17838,1.0,1.0,37568,2.561,2.72
41.167,1,1,shard-1-1,1,0.988000,1.000000,1.000000,19812,17838,1.0,1.0,37568,2.561,3.398
41.167,1,2,shard-1-2,1,0.988000,1.000000,1.000000,19845,17838,1.0,1.0,37568,2.561,3.677
53.481,0,0,shard-0-0,1,0.996000,0.999000,1.000000,26592,24837,0.998,0.9985,47296,3.49,0.892
53.481,0,1,shard-0-1,1,0.996000,1.000000,1.000000,26592,24837,0.998,0.9985,47296,3.49,1.608
53.481,0,2,shard-0-2,1,0.993000,1.000000,1.000000,26622,24837,0.998,0.997,47296,3.49,2.232
53.481,1,0,shard-1-0,1,0.992000,1.000000,1.000000,24066,22459,0.999333,0.9995,47296,3.49,2.645
53.481,1,1,shard-1-1,1,0.992000,1.000000,1.000000,24066,22459,0.999333,0.9995,47296,3.49,3.513
53.481,1,2,shard-1-2,1,0.993000,1.000000,1.000000,24032,22459,0.999333,0.999,47296,3.49,4.396
67.503,0,0,shard-0-0,1,0.991000,1.000000,1.000000,28473,27410,0.972667,0.9795,52224,3.691,0.595
67.503,0,1,shard-0-1,1,0.991000,1.000000,1.000000,28506,27410,0.972667,0.9795,52224,3.691,2.191
67.503,0,2,shard-0-2,1,0.993000,0.985000,0.979934,27134,27410,0.972667,0.959,52224,3.691,4.325
67.503,1,0,shard-1-0,1,0.993000,1.000000,1.000000,25767,24814,0.964,0.973,52224,3.691,6.382
67.503,1,1,shard-1-1,1,0.993000,1.000000,1.000000,25767,24814,0.964,0.973,52224,3.691,6.953
67.503,1,2,shard-1-2,1,0.997000,0.985000,0.979608,24546,24814,0.964,0.946,52224,3.691,7.666
85.099,0,0,shard-0-0,1,0.994000,1.000000,1.000000,32306,30370,0.954,0.9655,57920,2.255,0.784
85.099,0,1,shard-0-1,1,0.992000,0.986000,0.980013,30022,30370,0.954,0.932,57920,2.255,1.18
85.099,0,2,shard-0-2,1,0.992000,0.999000,1.000000,32340,30370,0.954,0.9645,57920,2.255,1.478
85.099,1,0,shard-1-0,1,0.996000,1.000000,1.000000,29276,27550,0.891667,0.8825,57920,2.255,1.934
85.099,1,1,shard-1-1,1,1.000000,0.974000,0.980218,27304,27550,0.891667,0.917,57920,2.255,2.201
85.099,1,2,shard-1-2,1,1.000000,0.898000,0.903376,24903,27550,0.891667,0.8755,57920,2.255,2.533
96.004,0,0,shard-0-0,1,0.997000,1.000000,1.000000,32306,32289,0.996,,61536,2.074,1.2
96.004,0,1,shard-0-1,0,,,,,32289,0.996,,61536,,
96.004,0,2,shard-0-2,1,0.993000,1.000000,1.000000,32385,32289,0.996,,61536,2.074,1.957
96.004,1,0,shard-1-0,1,0.999000,1.000000,1.000000,29343,29247,1.0,,61536,2.074,2.969
96.004,1,1,shard-1-1,0,,,,,29247,1.0,,61536,,
96.004,1,2,shard-1-2,1,0.999000,1.000000,1.000000,29343,29247,1.0,,61536,2.074,3.56
107.699,0,0,shard-0-0,1,0.993000,1.000000,1.000000,33365,33088,0.954,,63040,2.047,0.583
107.699,0,1,shard-0-1,1,0.997000,0.962000,0.962071,31850,33088,0.954,,63040,2.047,0.951
107.699,0,2,shard-0-2,0,,,,,33088,0.954,,63040,,
