t_rel,node,indexed_vectors_count,points_count,segments_count,status,optimizer_status
20.103,0,0,24768,4,green,ok
20.103,1,0,24800,4,green,ok
20.103,2,0,24832,4,green,ok
26.625,0,0,28352,4,green,ok
26.625,1,0,28416,4,green,ok
26.625,2,0,28480,4,green,ok
32.766,0,0,32050,4,green,ok
32.766,1,0,32010,4,green,ok
32.766,2,0,32096,4,green,ok
39.114,0,0,38560,4,green,ok
39.114,1,0,38583,4,green,ok
39.114,2,0,38643,4,green,ok
45.179,0,0,43040,4,green,ok
45.179,1,0,43040,4,green,ok
45.179,2,0,43104,4,green,ok
51.314,0,0,48145,4,green,ok
51.314,1,0,48160,4,green,ok
51.314,2,0,48192,4,green,ok
57.446,0,0,51104,4,green,ok
57.446,1,0,51184,4,green,ok
63.812,0,0,52000,4,green,ok
63.812,1,0,52000,4,green,ok
70.869,0,0,54400,4,green,ok
70.869,1,0,54415,4,green,ok
70.869,2,0,51693,4,green,ok
77.274,0,0,56722,4,green,ok
77.274,2,0,56864,4,green,ok
83.642,0,0,59658,4,green,ok
83.642,1,0,58593,4,green,ok
83.642,2,0,59762,4,green,ok
89.717,0,0,61628,4,green,ok
89.717,2,0,61696,4,green,ok
97.778,0,0,61662,4,green,ok
97.778,2,0,61773,4,green,ok
105.867,0,0,63424,4,green,ok
105.867,1,0,63360,4,green,ok
105.867,2,0,63360,4,green,ok
111.904,0,0,63616,4,green,ok
111.904,1,0,63616,4,green,ok
119.936,0,0,69344,4,green,ok
119.936,1,0,69280,4,green,ok
119.936,2,0,69280,4,green,ok
126.219,0,0,71022,4,green,ok
126.219,1,0,71026,4,green,ok
126.219,2,0,71026,4,green,ok
132.256,0,0,72864,4,green,ok
132.256,1,0,72942,4,green,ok
132.256,2,0,72972,4,green,ok
138.649,0,0,76142,4,yellow,ok
138.649,1,0,76178,4,yellow,ok
138.649,2,0,76160,4,yellow,ok
144.993,0,0,77696,5,yellow,ok
144.993,1,0,77732,5,yellow,ok
144.993,2,0,77807,5,yellow,ok
152.063,0,0,78454,5,yellow,ok
152.063,1,0,78440,5,yellow,ok
152.063,2,0,78488,5,yellow,ok
158.446,0,0,80114,5,yellow,ok
158.446,1,20006,80160,5,yellow,ok
158.446,2,0,80163,5,yellow,ok
164.677,0,20011,82304,5,yellow,ok
164.677,1,20006,82304,5,yellow,ok
164.677,2,20000,82336,5,yellow,ok
170.988,0,20011,83936,5,yellow,ok
170.988,1,20006,83984,5,yellow,ok
170.988,2,20000,84000,5,yellow,ok
